record_type,record_id,actual,spark_result,python_result,spark_python_match,numerical_difference,spark_confidence,python_confidence,confidence_measure,final_consistency_status
customer,CUST0000271,Occasional,Occasional,Occasional,Match,N/A,1.1763,1.1816,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000276,Occasional,Occasional,Occasional,Match,N/A,0.9175,0.915,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000279,Promotion-Driven,Promotion-Driven,Promotion-Driven,Match,N/A,2.6245,2.6238,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000281,Frequent,At-Risk,At-Risk,Match,N/A,1.4577,1.4745,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000283,New,Occasional,Occasional,Match,N/A,0.6887,0.684,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000286,Occasional,Occasional,Occasional,Match,N/A,2.7693,2.7394,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000293,Occasional,Occasional,Occasional,Match,N/A,0.7744,0.7765,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000302,Frequent,At-Risk,At-Risk,Match,N/A,0.9144,0.957,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000303,At-Risk,At-Risk,At-Risk,Match,N/A,1.2421,1.1962,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000313,Occasional,Occasional,Occasional,Match,N/A,0.4956,0.4901,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000316,Frequent,High-Value Loyal,High-Value Loyal,Match,N/A,0.9472,0.9385,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000319,Occasional,Occasional,Occasional,Match,N/A,1.6865,1.6561,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000323,Occasional,Occasional,Occasional,Match,N/A,0.8138,0.8082,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000324,High-Value Loyal,High-Value Loyal,High-Value Loyal,Match,N/A,0.9436,0.9882,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000330,At-Risk,Promotion-Driven,Promotion-Driven,Match,N/A,1.7554,1.7554,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000337,Promotion-Driven,Promotion-Driven,Promotion-Driven,Match,N/A,1.7705,1.7715,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000346,Promotion-Driven,Promotion-Driven,Promotion-Driven,Match,N/A,1.9417,1.9409,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000348,Occasional,Occasional,Occasional,Match,N/A,0.9406,0.9395,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000352,Frequent,High-Value Loyal,High-Value Loyal,Match,N/A,1.0136,1.0288,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000355,Promotion-Driven,Promotion-Driven,Promotion-Driven,Match,N/A,2.626,2.6252,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000363,High-Value Loyal,High-Value Loyal,High-Value Loyal,Match,N/A,1.0675,1.0429,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000374,At-Risk,At-Risk,At-Risk,Match,N/A,0.6413,0.5941,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000375,Occasional,At-Risk,At-Risk,Match,N/A,1.2341,1.2535,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000388,Promotion-Driven,Promotion-Driven,Promotion-Driven,Match,N/A,0.5511,0.551,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000392,Occasional,Occasional,Occasional,Match,N/A,0.5889,0.5854,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000395,Occasional,Occasional,Occasional,Match,N/A,0.8057,0.8063,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000396,Occasional,Occasional,Occasional,Match,N/A,1.2424,1.2391,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000399,Promotion-Driven,Promotion-Driven,Promotion-Driven,Match,N/A,1.7183,1.7174,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000401,Occasional,Occasional,Occasional,Match,N/A,1.11,1.1149,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000406,Promotion-Driven,Promotion-Driven,Promotion-Driven,Match,N/A,0.9482,0.9476,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000407,At-Risk,Occasional,Occasional,Match,N/A,1.5968,1.6283,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000422,New,Occasional,Occasional,Match,N/A,0.8924,0.8869,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000423,New,Occasional,Occasional,Match,N/A,1.4564,1.453,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000425,New,Promotion-Driven,Promotion-Driven,Match,N/A,0.8455,0.8454,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000426,New,Promotion-Driven,Promotion-Driven,Match,N/A,1.4797,1.4798,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000432,High-Value Loyal,High-Value Loyal,High-Value Loyal,Match,N/A,0.5842,0.615,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000433,Occasional,Occasional,Occasional,Match,N/A,0.7565,0.725,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000442,At-Risk,Occasional,Occasional,Match,N/A,1.3356,1.3703,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000443,Frequent,At-Risk,At-Risk,Match,N/A,0.7789,0.7816,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000452,Promotion-Driven,Promotion-Driven,Promotion-Driven,Match,N/A,1.1587,1.1582,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000456,Occasional,Occasional,Occasional,Match,N/A,1.8344,1.8334,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000459,New,Occasional,Occasional,Match,N/A,0.1568,0.1536,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000465,Occasional,Occasional,Occasional,Match,N/A,0.6689,0.6642,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000470,Occasional,At-Risk,At-Risk,Match,N/A,1.1129,1.1334,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000473,At-Risk,Occasional,Occasional,Match,N/A,0.4926,0.5061,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000474,New,Occasional,Occasional,Match,N/A,1.4531,1.4517,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000480,At-Risk,At-Risk,At-Risk,Match,N/A,0.9969,0.9863,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000486,Promotion-Driven,Promotion-Driven,Promotion-Driven,Match,N/A,1.5695,1.5691,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000487,High-Value Loyal,At-Risk,At-Risk,Match,N/A,0.9627,1.0002,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000493,Promotion-Driven,Promotion-Driven,Promotion-Driven,Match,N/A,2.2255,2.2248,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000506,High-Value Loyal,High-Value Loyal,High-Value Loyal,Match,N/A,0.5218,0.5443,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000509,New,Occasional,Occasional,Match,N/A,1.3945,1.3957,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000516,New,Occasional,Occasional,Match,N/A,0.8106,0.8084,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000526,Promotion-Driven,Occasional,Occasional,Match,N/A,3.1786,3.1809,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000527,Occasional,Occasional,Occasional,Match,N/A,0.746,0.7448,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000530,Occasional,Occasional,Occasional,Match,N/A,0.4419,0.4417,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000544,High-Value Loyal,High-Value Loyal,High-Value Loyal,Match,N/A,0.8602,0.8986,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000548,Promotion-Driven,Promotion-Driven,Promotion-Driven,Match,N/A,2.7664,2.7656,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000574,Occasional,Occasional,Occasional,Match,N/A,0.8592,0.8605,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000582,High-Value Loyal,Promotion-Driven,Promotion-Driven,Match,N/A,2.1672,2.1682,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000592,Promotion-Driven,Promotion-Driven,Promotion-Driven,Match,N/A,1.7221,1.7229,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000593,At-Risk,At-Risk,At-Risk,Match,N/A,1.5916,1.5422,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000594,Occasional,Occasional,Occasional,Match,N/A,1.5933,1.5951,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000599,Occasional,Occasional,Occasional,Match,N/A,2.4612,2.4613,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000600,Occasional,Occasional,Occasional,Match,N/A,1.1949,1.1941,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000601,Occasional,Occasional,Occasional,Match,N/A,2.113,2.1105,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000604,High-Value Loyal,High-Value Loyal,High-Value Loyal,Match,N/A,0.5238,0.5465,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000606,High-Value Loyal,High-Value Loyal,High-Value Loyal,Match,N/A,0.5319,0.5666,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000609,At-Risk,At-Risk,At-Risk,Match,N/A,1.1747,1.1206,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000610,Occasional,Occasional,Occasional,Match,N/A,1.5068,1.4777,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000618,High-Value Loyal,High-Value Loyal,High-Value Loyal,Match,N/A,0.8046,0.8356,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000638,Occasional,Occasional,Occasional,Match,N/A,1.0278,1.0293,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000640,Occasional,Occasional,Occasional,Match,N/A,1.2841,1.2881,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000642,At-Risk,Occasional,Occasional,Match,N/A,1.3226,1.3512,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000644,High-Value Loyal,High-Value Loyal,High-Value Loyal,Match,N/A,1.4398,1.4161,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000645,At-Risk,Occasional,Occasional,Match,N/A,0.868,0.8959,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000648,At-Risk,Occasional,Occasional,Match,N/A,1.1321,1.1671,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000651,New,Occasional,Occasional,Match,N/A,1.2322,1.2272,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000654,High-Value Loyal,At-Risk,At-Risk,Match,N/A,1.1255,1.1636,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000676,At-Risk,Occasional,Occasional,Match,N/A,0.974,1.0004,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000677,Promotion-Driven,Promotion-Driven,Promotion-Driven,Match,N/A,1.4895,1.4905,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000678,Promotion-Driven,Promotion-Driven,Promotion-Driven,Match,N/A,1.6331,1.6329,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000685,New,Occasional,Occasional,Match,N/A,1.3601,1.3614,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000688,Occasional,Occasional,Occasional,Match,N/A,0.3473,0.3455,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000699,Occasional,Occasional,Occasional,Match,N/A,0.7416,0.736,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000701,Promotion-Driven,Promotion-Driven,Promotion-Driven,Match,N/A,1.4588,1.4594,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000704,At-Risk,Occasional,Occasional,Match,N/A,1.3449,1.3432,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000711,Occasional,Occasional,Occasional,Match,N/A,0.5226,0.4882,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000712,Promotion-Driven,Promotion-Driven,Promotion-Driven,Match,N/A,1.8904,1.8911,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000715,High-Value Loyal,Promotion-Driven,Promotion-Driven,Match,N/A,2.119,2.1199,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000717,High-Value Loyal,High-Value Loyal,High-Value Loyal,Match,N/A,0.9421,0.975,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000720,Occasional,Occasional,Occasional,Match,N/A,1.4599,1.4299,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000723,Occasional,Occasional,Occasional,Match,N/A,0.7473,0.7459,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000724,Occasional,Occasional,Occasional,Match,N/A,1.4224,1.4225,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000726,High-Value Loyal,Promotion-Driven,Promotion-Driven,Match,N/A,2.1395,2.1401,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000727,Occasional,Occasional,Occasional,Match,N/A,0.3527,0.3573,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000728,Occasional,Occasional,Occasional,Match,N/A,0.9913,0.9871,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000736,Occasional,Occasional,Occasional,Match,N/A,0.7318,0.7309,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000740,Promotion-Driven,Promotion-Driven,Promotion-Driven,Match,N/A,1.4387,1.439,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000741,Occasional,Occasional,Occasional,Match,N/A,2.3024,2.302,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000745,High-Value Loyal,High-Value Loyal,High-Value Loyal,Match,N/A,1.2106,1.1859,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000755,High-Value Loyal,High-Value Loyal,High-Value Loyal,Match,N/A,1.7042,1.7491,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000757,Promotion-Driven,Promotion-Driven,Promotion-Driven,Match,N/A,1.2267,1.226,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000760,Occasional,Occasional,Occasional,Match,N/A,0.6194,0.6146,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000766,At-Risk,Occasional,Occasional,Match,N/A,0.9302,0.9527,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000768,New,Occasional,Occasional,Match,N/A,1.148,1.1429,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000770,Occasional,Occasional,Occasional,Match,N/A,1.297,1.3009,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000789,High-Value Loyal,High-Value Loyal,High-Value Loyal,Match,N/A,0.969,0.9428,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000793,New,Promotion-Driven,Promotion-Driven,Match,N/A,1.8225,1.822,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000803,Frequent,At-Risk,At-Risk,Match,N/A,0.9655,0.9722,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000805,Frequent,High-Value Loyal,High-Value Loyal,Match,N/A,1.0085,0.9779,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000808,Frequent,At-Risk,At-Risk,Match,N/A,1.3974,1.4225,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000819,Frequent,High-Value Loyal,High-Value Loyal,Match,N/A,0.7539,0.7311,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000834,At-Risk,Occasional,Occasional,Match,N/A,0.9898,1.0185,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000839,High-Value Loyal,High-Value Loyal,High-Value Loyal,Match,N/A,2.7736,2.7639,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000842,At-Risk,Promotion-Driven,Promotion-Driven,Match,N/A,0.9341,0.9346,distance to assigned centroid in standardized space (lower = closer),Consistent: both wrong
customer,CUST0000858,At-Risk,At-Risk,At-Risk,Match,N/A,1.389,1.3492,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
customer,CUST0000865,Promotion-Driven,Promotion-Driven,Promotion-Driven,Match,N/A,1.6968,1.696,distance to assigned centroid in standardized space (lower = closer),Consistent: both correct
