table,rule,row_key,column,original_value,injected_value
Customers,invalid_date,CUST0033229,signup_date,2025-09-11,07/15/2025
Customers,invalid_date,CUST0033292,signup_date,2025-04-29,15-07-2025
Customers,invalid_date,CUST0033305,signup_date,2025-04-24,2025-13-07
Customers,invalid_date,CUST0033324,signup_date,2021-10-18,1900-01-01
Customers,invalid_date,CUST0033508,signup_date,2023-11-04,2025-13-07
Customers,invalid_date,CUST0033587,signup_date,2025-03-28,15-07-2025
Customers,invalid_date,CUST0033751,signup_date,2022-01-22,2025/06/31
Customers,invalid_date,CUST0033848,signup_date,2022-09-19,not_a_date
Customers,invalid_date,CUST0034047,signup_date,2024-01-03,15-07-2025
Customers,invalid_date,CUST0034456,signup_date,2023-09-23,15-07-2025
Customers,invalid_date,CUST0034678,signup_date,2025-10-17,20250612
Customers,invalid_date,CUST0034867,signup_date,2025-11-25,15-07-2025
Customers,invalid_date,CUST0034991,signup_date,2025-10-18,15-07-2025
Customers,invalid_date,CUST0034999,signup_date,2025-10-04,2025-02-30
Customers,invalid_date,CUST0035998,signup_date,2022-03-24,2031-07-22
Customers,invalid_date,CUST0036125,signup_date,2025-01-28,2099-12-31
Customers,invalid_date,CUST0036196,signup_date,2024-05-24,2025-02-30
Customers,invalid_date,CUST0036514,signup_date,2022-08-14,2025-13-07
Customers,invalid_date,CUST0036765,signup_date,2023-10-23,2031-07-22
Customers,invalid_date,CUST0036829,signup_date,2022-04-06,20250612
Customers,invalid_date,CUST0037239,signup_date,2025-03-04,2025/06/31
Customers,invalid_date,CUST0037464,signup_date,2025-11-13,2025-13-07
Customers,invalid_date,CUST0038663,signup_date,2025-08-25,20250612
Customers,invalid_date,CUST0038769,signup_date,2025-12-15,not_a_date
Customers,invalid_date,CUST0038775,signup_date,2025-07-29,2025-13-07
Customers,invalid_date,CUST0038847,signup_date,2023-07-17,1900-01-01
Customers,invalid_date,CUST0038939,signup_date,2024-06-25,2025-13-07
Customers,invalid_date,CUST0038943,signup_date,2025-01-26,20250612
Customers,invalid_date,CUST0039096,signup_date,2025-02-02,15-07-2025
Customers,invalid_date,CUST0039167,signup_date,2022-01-18,20250612
Customers,invalid_date,CUST0039325,signup_date,2025-02-06,2099-12-31
Customers,invalid_date,CUST0039349,signup_date,2022-04-17,2025-13-07
Customers,invalid_date,CUST0039532,signup_date,2021-01-11,1970-01-01
Customers,invalid_date,CUST0040140,signup_date,2024-03-10,1900-01-01
Customers,invalid_date,CUST0040387,signup_date,2023-04-25,20250612
Customers,invalid_date,CUST0041165,signup_date,2025-10-27,07/15/2025
Customers,invalid_date,CUST0041396,signup_date,2022-12-24,2031-07-22
Customers,invalid_date,CUST0041558,signup_date,2024-05-23,2025-13-07
Customers,invalid_date,CUST0041564,signup_date,2022-10-19,1970-01-01
Customers,invalid_date,CUST0041604,signup_date,2023-05-11,2027-11-05
Customers,invalid_date,CUST0041729,signup_date,2023-01-03,2031-07-22
Customers,invalid_date,CUST0041740,signup_date,2024-09-01,1970-01-01
Customers,invalid_date,CUST0041852,signup_date,2024-12-06,1900-01-01
Customers,invalid_date,CUST0042024,signup_date,2023-10-01,1900-01-01
Customers,invalid_date,CUST0042157,signup_date,2024-10-29,2099-12-31
Customers,invalid_date,CUST0042417,signup_date,2023-01-13,2025-02-30
Customers,invalid_date,CUST0042657,signup_date,2022-07-12,15-07-2025
Customers,invalid_date,CUST0042885,signup_date,2023-08-13,15-07-2025
Customers,invalid_date,CUST0043043,signup_date,2024-04-08,1900-01-01
Customers,invalid_date,CUST0043183,signup_date,2023-06-19,2025-13-07
Customers,invalid_date,CUST0043273,signup_date,2025-04-16,1970-01-01
Customers,invalid_date,CUST0043293,signup_date,2024-09-04,2099-12-31
Customers,invalid_date,CUST0043348,signup_date,2022-09-07,2025-13-07
Customers,invalid_date,CUST0043373,signup_date,2025-08-08,2025-13-07
Customers,invalid_date,CUST0043525,signup_date,2025-11-22,2099-12-31
Customers,invalid_date,CUST0043707,signup_date,2022-09-25,2027-11-05
Customers,invalid_date,CUST0043990,signup_date,2022-11-30,07/15/2025
Customers,invalid_date,CUST0044158,signup_date,2023-08-08,2025-02-30
Customers,invalid_date,CUST0044164,signup_date,2022-06-20,2031-07-22
Customers,invalid_date,CUST0044448,signup_date,2024-03-10,not_a_date
Customers,invalid_date,CUST0044470,signup_date,2025-05-01,2027-11-05
Customers,invalid_date,CUST0044612,signup_date,2022-05-17,07/15/2025
Customers,invalid_date,CUST0044645,signup_date,2023-09-27,not_a_date
Customers,invalid_date,CUST0044687,signup_date,2025-11-23,2025/06/31
Customers,invalid_date,CUST0044901,signup_date,2023-04-05,2025-02-30
Customers,invalid_date,CUST0044994,signup_date,2025-08-14,2099-12-31
Customers,invalid_date,CUST0045220,signup_date,2023-09-26,2025-13-07
Customers,invalid_date,CUST0045344,signup_date,2025-06-27,20250612
Customers,invalid_date,CUST0045448,signup_date,2022-12-01,not_a_date
Customers,invalid_date,CUST0045758,signup_date,2023-08-05,not_a_date
Customers,invalid_date,CUST0045856,signup_date,2022-02-17,2027-11-05
Customers,invalid_date,CUST0045967,signup_date,2024-05-05,2025-13-07
Customers,invalid_date,CUST0046307,signup_date,2025-04-07,2099-12-31
Customers,invalid_date,CUST0046638,signup_date,2024-03-19,1900-01-01
Customers,invalid_date,CUST0046907,signup_date,2023-08-03,2027-11-05
Customers,invalid_date,CUST0047368,signup_date,2024-12-18,1970-01-01
Customers,invalid_date,CUST0048189,signup_date,2022-11-13,15-07-2025
Customers,invalid_date,CUST0048272,signup_date,2021-04-20,1970-01-01
Customers,invalid_date,CUST0048367,signup_date,2022-02-07,2099-12-31
Customers,invalid_date,CUST0048724,signup_date,2025-03-27,1900-01-01
Customers,invalid_date,CUST0048842,signup_date,2023-06-01,2099-12-31
Customers,invalid_date,CUST0048847,signup_date,2023-10-12,20250612
Customers,invalid_date,CUST0048911,signup_date,2022-06-04,1970-01-01
Customers,invalid_date,CUST0049515,signup_date,2023-08-08,20250612
Customers,invalid_date,CUST0049576,signup_date,2024-06-16,1900-01-01
Customers,invalid_date,CUST0049669,signup_date,2023-05-23,1970-01-01
Customers,invalid_date,CUST0049761,signup_date,2023-11-17,not_a_date
Customers,invalid_date,CUST0050587,signup_date,2024-10-27,2025-02-30
Customers,invalid_date,CUST0050825,signup_date,2024-09-10,2025-13-07
Customers,invalid_date,CUST0051105,signup_date,2025-03-16,1970-01-01
Customers,invalid_date,CUST0051568,signup_date,2022-02-23,20250612
Customers,invalid_date,CUST0051886,signup_date,2025-01-02,2025/06/31
Customers,invalid_date,CUST0051979,signup_date,2025-10-21,not_a_date
Customers,invalid_date,CUST0052071,signup_date,2024-07-01,2099-12-31
Customers,invalid_date,CUST0052130,signup_date,2025-04-10,1900-01-01
Customers,invalid_date,CUST0052262,signup_date,2025-09-14,1900-01-01
Customers,invalid_date,CUST0052288,signup_date,2024-09-30,1970-01-01
Customers,invalid_date,CUST0052317,signup_date,2024-09-10,2099-12-31
Customers,invalid_date,CUST0052394,signup_date,2022-06-18,not_a_date
Customers,invalid_date,CUST0052406,signup_date,2023-05-25,2025-13-07
Customers,invalid_date,CUST0052450,signup_date,2024-01-28,2027-11-05
Customers,invalid_date,CUST0052543,signup_date,2023-10-03,1970-01-01
Customers,invalid_date,CUST0052566,signup_date,2025-11-03,not_a_date
Customers,invalid_date,CUST0052777,signup_date,2023-05-03,2025/06/31
Customers,invalid_date,CUST0053041,signup_date,2025-02-27,1970-01-01
Customers,invalid_date,CUST0053062,signup_date,2025-12-19,2027-11-05
Customers,invalid_date,CUST0053535,signup_date,2024-03-10,2025-13-07
Customers,invalid_date,CUST0053873,signup_date,2022-02-24,2099-12-31
Customers,invalid_date,CUST0053963,signup_date,2022-09-03,not_a_date
Customers,invalid_date,CUST0054498,signup_date,2025-11-23,1970-01-01
Customers,invalid_date,CUST0054575,signup_date,2024-07-01,1970-01-01
Customers,invalid_date,CUST0054949,signup_date,2024-03-03,2027-11-05
Customers,invalid_date,CUST0054955,signup_date,2025-12-04,07/15/2025
Customers,orphan_foreign_key,CUST0000176,home_location_id,LOC0011,LOC8680
Customers,orphan_foreign_key,CUST0000223,home_location_id,LOC0013,LOC3166
Customers,orphan_foreign_key,CUST0000258,home_location_id,,LOC6168
Customers,orphan_foreign_key,CUST0000397,home_location_id,LOC0015,LOC0264
Customers,orphan_foreign_key,CUST0000690,home_location_id,LOC0016,LOC1673
Customers,orphan_foreign_key,CUST0000852,home_location_id,LOC0014,LOC8836
Customers,orphan_foreign_key,CUST0000867,home_location_id,LOC0021,LOC9937
Customers,orphan_foreign_key,CUST0001378,home_location_id,LOC0005,LOC7073
Customers,orphan_foreign_key,CUST0001653,home_location_id,,LOC6378
Customers,orphan_foreign_key,CUST0001700,home_location_id,LOC0003,LOC7663
Customers,orphan_foreign_key,CUST0001753,home_location_id,LOC0018,LOC4730
Customers,orphan_foreign_key,CUST0002237,home_location_id,LOC0025,LOC9482
Customers,orphan_foreign_key,CUST0002383,home_location_id,LOC0019,LOC5411
Customers,orphan_foreign_key,CUST0002617,home_location_id,LOC0008,LOC9126
Customers,orphan_foreign_key,CUST0002710,home_location_id,LOC0013,LOC0505
Customers,orphan_foreign_key,CUST0003494,home_location_id,LOC0017,LOC1257
Customers,orphan_foreign_key,CUST0003766,home_location_id,,LOC1338
Customers,orphan_foreign_key,CUST0004130,home_location_id,LOC0012,LOC7523
Customers,orphan_foreign_key,CUST0004325,home_location_id,LOC0015,LOC6329
Customers,orphan_foreign_key,CUST0004386,home_location_id,LOC0008,LOC8704
Customers,orphan_foreign_key,CUST0004444,home_location_id,,LOC7115
Customers,orphan_foreign_key,CUST0004647,home_location_id,LOC0023,LOC5393
Customers,orphan_foreign_key,CUST0004675,home_location_id,LOC0013,LOC9413
Customers,orphan_foreign_key,CUST0004879,home_location_id,LOC0008,LOC3434
Customers,orphan_foreign_key,CUST0005126,home_location_id,LOC0001,LOC2339
Customers,orphan_foreign_key,CUST0005134,home_location_id,LOC0003,LOC1125
Customers,orphan_foreign_key,CUST0005274,home_location_id,LOC0003,LOC7612
Customers,orphan_foreign_key,CUST0005525,home_location_id,LOC0015,LOC8892
Customers,orphan_foreign_key,CUST0005749,home_location_id,LOC0020,LOC6135
Customers,orphan_foreign_key,CUST0006562,home_location_id,LOC0022,LOC4646
Customers,orphan_foreign_key,CUST0006673,home_location_id,,LOC4667
Customers,orphan_foreign_key,CUST0006678,home_location_id,LOC0012,LOC3497
Customers,orphan_foreign_key,CUST0006943,home_location_id,LOC0001,LOC8917
Customers,orphan_foreign_key,CUST0006945,home_location_id,LOC0020,LOC8544
Customers,orphan_foreign_key,CUST0007033,home_location_id,,LOC9753
Customers,orphan_foreign_key,CUST0007132,home_location_id,,LOC2886
Customers,orphan_foreign_key,CUST0007480,home_location_id,LOC0003,LOC8349
Customers,orphan_foreign_key,CUST0007868,home_location_id,LOC0018,LOC5038
Customers,orphan_foreign_key,CUST0007903,home_location_id,LOC0001,LOC0331
Customers,orphan_foreign_key,CUST0008134,home_location_id,LOC0008,LOC0275
Customers,orphan_foreign_key,CUST0008304,home_location_id,LOC0011,LOC8850
Customers,orphan_foreign_key,CUST0008369,home_location_id,LOC0003,LOC4470
Customers,orphan_foreign_key,CUST0008412,home_location_id,LOC0018,LOC5839
Customers,orphan_foreign_key,CUST0008613,home_location_id,LOC0004,LOC3799
Customers,orphan_foreign_key,CUST0008810,home_location_id,LOC0010,LOC1586
Customers,orphan_foreign_key,CUST0008865,home_location_id,LOC0002,LOC4088
Customers,orphan_foreign_key,CUST0008896,home_location_id,LOC0010,LOC1015
Customers,orphan_foreign_key,CUST0009082,home_location_id,LOC0011,LOC0070
Customers,orphan_foreign_key,CUST0009138,home_location_id,LOC0008,LOC7792
Customers,orphan_foreign_key,CUST0009222,home_location_id,LOC0006,LOC7348
Customers,orphan_foreign_key,CUST0009413,home_location_id,LOC0003,LOC6579
Customers,orphan_foreign_key,CUST0009745,home_location_id,LOC0020,LOC4381
Customers,orphan_foreign_key,CUST0009796,home_location_id,LOC0022,LOC3349
Customers,orphan_foreign_key,CUST0009883,home_location_id,LOC0003,LOC1429
Customers,orphan_foreign_key,CUST0009915,home_location_id,LOC0008,LOC7677
Customers,orphan_foreign_key,CUST0010212,home_location_id,LOC0014,LOC8600
Customers,orphan_foreign_key,CUST0010231,home_location_id,LOC0004,LOC1991
Customers,orphan_foreign_key,CUST0010290,home_location_id,LOC0023,LOC6852
Customers,orphan_foreign_key,CUST0010362,home_location_id,LOC0017,LOC8392
Customers,orphan_foreign_key,CUST0010481,home_location_id,LOC0006,LOC5584
Customers,orphan_foreign_key,CUST0010545,home_location_id,LOC0010,LOC9456
Customers,orphan_foreign_key,CUST0010766,home_location_id,LOC0002,LOC3936
Customers,orphan_foreign_key,CUST0011160,home_location_id,LOC0015,LOC4474
Customers,orphan_foreign_key,CUST0011212,home_location_id,LOC0003,LOC7960
Customers,orphan_foreign_key,CUST0011258,home_location_id,LOC0014,LOC0894
Customers,orphan_foreign_key,CUST0011341,home_location_id,LOC0017,LOC5771
Customers,orphan_foreign_key,CUST0011409,home_location_id,,LOC1977
Customers,orphan_foreign_key,CUST0011643,home_location_id,LOC0003,LOC8862
Customers,orphan_foreign_key,CUST0011761,home_location_id,LOC0014,LOC1041
Customers,orphan_foreign_key,CUST0012775,home_location_id,LOC0018,LOC2479
Customers,orphan_foreign_key,CUST0013375,home_location_id,LOC0012,LOC8051
Customers,orphan_foreign_key,CUST0013394,home_location_id,LOC0016,LOC9969
Customers,orphan_foreign_key,CUST0013661,home_location_id,LOC0004,LOC5838
Customers,orphan_foreign_key,CUST0013791,home_location_id,,LOC2724
Customers,orphan_foreign_key,CUST0014253,home_location_id,,LOC1639
Customers,orphan_foreign_key,CUST0014270,home_location_id,LOC0009,LOC7196
Customers,orphan_foreign_key,CUST0014354,home_location_id,LOC0003,LOC0242
Customers,orphan_foreign_key,CUST0014904,home_location_id,LOC0014,LOC2678
Customers,orphan_foreign_key,CUST0015062,home_location_id,LOC0007,LOC4159
Customers,orphan_foreign_key,CUST0015241,home_location_id,LOC0004,LOC5499
Customers,orphan_foreign_key,CUST0015340,home_location_id,LOC0024,LOC1169
Customers,orphan_foreign_key,CUST0015359,home_location_id,,LOC8034
Customers,orphan_foreign_key,CUST0015364,home_location_id,LOC0014,LOC2795
Customers,orphan_foreign_key,CUST0015496,home_location_id,LOC0001,LOC6644
Customers,orphan_foreign_key,CUST0015585,home_location_id,LOC0018,LOC0154
Customers,orphan_foreign_key,CUST0015653,home_location_id,LOC0018,LOC9248
Customers,orphan_foreign_key,CUST0015760,home_location_id,LOC0007,LOC1224
Customers,orphan_foreign_key,CUST0016684,home_location_id,LOC0019,LOC3262
Customers,orphan_foreign_key,CUST0016794,home_location_id,LOC0011,LOC9373
Customers,orphan_foreign_key,CUST0017194,home_location_id,LOC0004,LOC8957
Customers,orphan_foreign_key,CUST0017763,home_location_id,LOC0014,LOC3292
Customers,orphan_foreign_key,CUST0017856,home_location_id,LOC0018,LOC2730
Customers,orphan_foreign_key,CUST0018317,home_location_id,LOC0013,LOC7001
Customers,orphan_foreign_key,CUST0018373,home_location_id,LOC0017,LOC7636
Customers,orphan_foreign_key,CUST0018409,home_location_id,LOC0014,LOC3796
Customers,orphan_foreign_key,CUST0018726,home_location_id,LOC0016,LOC8045
Customers,orphan_foreign_key,CUST0018782,home_location_id,LOC0005,LOC0326
Customers,orphan_foreign_key,CUST0018839,home_location_id,LOC0016,LOC3371
Customers,orphan_foreign_key,CUST0019174,home_location_id,,LOC2766
Customers,orphan_foreign_key,CUST0019230,home_location_id,LOC0023,LOC6695
Customers,orphan_foreign_key,CUST0019764,home_location_id,LOC0018,LOC5049
Customers,orphan_foreign_key,CUST0020390,home_location_id,LOC0003,LOC2523
Customers,orphan_foreign_key,CUST0020424,home_location_id,LOC0002,LOC8618
Customers,orphan_foreign_key,CUST0020504,home_location_id,LOC0009,LOC7131
Customers,orphan_foreign_key,CUST0020546,home_location_id,LOC0015,LOC7230
Customers,orphan_foreign_key,CUST0020641,home_location_id,LOC0005,LOC0194
Customers,orphan_foreign_key,CUST0020650,home_location_id,LOC0016,LOC1820
Customers,orphan_foreign_key,CUST0020883,home_location_id,LOC0010,LOC0222
