inventory_id,item_id,location_id,date,opening_stock,received_stock,prepared_quantity,consumed_stock,closing_stock,unit,quarantine_reason
INV00022790,ITEM1273,LOC0019,2025-01-07,0.170,0.000,0.130,0.000,0.170,liters,orphan_foreign_key
INV00022958,ITEM9422,LOC0020,2025-01-07,2.870,5.400,2.920,2.000,6.270,kg,orphan_foreign_key
INV00023870,ITEM1375,LOC0002,2025-01-08,1.000,2.000,1.000,0.000,3.000,pcs,orphan_foreign_key
INV00023906,ITEM6092,LOC0002,2025-01-08,0.950,0.000,0.240,0.000,0.950,kg,orphan_foreign_key
INV00024858,ITEM3959,LOC0009,2025-01-08,2.270,0.000,0.690,0.400,1.870,kg,orphan_foreign_key
INV00025096,ITEM6998,LOC0011,2025-01-08,5.000,0.000,1.000,0.000,5.000,pcs,orphan_foreign_key
INV00025117,ITEM1365,LOC0011,2025-01-08,0.510,3.890,1.500,1.500,2.900,kg,orphan_foreign_key
INV00025356,ITEM7207,LOC0013,2025-01-08,2.000,0.000,1.000,0.000,2.000,pcs,orphan_foreign_key
INV00025380,ITEM1286,LOC0013,2025-01-08,0.860,0.000,0.250,0.000,0.860,kg,orphan_foreign_key
INV00025988,ITEM2557,LOC0017,2025-01-08,2.000,0.000,1.000,0.000,2.000,pcs,orphan_foreign_key
INV00026097,ITEM7643,LOC0018,2025-01-08,6.000,0.000,2.000,0.000,6.000,pcs,orphan_foreign_key
INV00026525,ITEM0517,LOC0021,2025-01-08,3.000,0.000,1.000,0.000,3.000,pcs,orphan_foreign_key
INV00026772,ITEM1288,LOC0023,2025-01-08,14.000,0.000,11.000,6.000,8.000,pcs,orphan_foreign_key
INV00027987,ITEM6860,LOC0007,2025-01-09,1.440,0.000,0.160,0.000,1.440,kg,orphan_foreign_key
INV00028987,ITEM8001,LOC0014,2025-01-09,4.910,0.000,1.570,1.050,3.860,liters,orphan_foreign_key
INV00029332,ITEM5612,LOC0017,2025-01-09,4.600,0.000,0.440,0.000,4.600,kg,orphan_foreign_key
INV00029594,ITEM5251,LOC0019,2025-01-09,2.100,0.000,1.500,1.500,0.600,kg,orphan_foreign_key
INV00030443,ITEM7278,LOC0025,2025-01-09,9.000,0.000,1.000,0.000,9.000,pcs,orphan_foreign_key
INV00030684,ITEM2772,LOC0002,2025-01-10,3.350,5.300,3.110,2.000,5.810,kg,orphan_foreign_key
INV00031241,ITEM0812,LOC0006,2025-01-10,2.540,0.000,0.800,0.800,1.740,kg,orphan_foreign_key
INV00031476,ITEM3162,LOC0008,2025-01-10,2.230,2.750,1.950,1.500,3.480,liters,orphan_foreign_key
INV00031637,ITEM6553,LOC0009,2025-01-10,0.300,0.720,0.400,0.400,0.620,kg,orphan_foreign_key
INV00031842,ITEM5923,LOC0010,2025-01-10,0.390,0.000,0.060,0.000,0.390,liters,orphan_foreign_key
INV00032233,ITEM6789,LOC0013,2025-01-10,2.190,0.000,0.650,0.250,1.940,liters,orphan_foreign_key
INV00032269,ITEM3739,LOC0014,2025-01-10,3.000,7.000,4.000,3.000,7.000,pcs,orphan_foreign_key
INV00032372,ITEM0193,LOC0014,2025-01-10,0.800,0.000,0.100,0.000,0.800,liters,orphan_foreign_key
INV00032682,ITEM3231,LOC0017,2025-01-10,7.000,0.000,1.000,0.000,7.000,pcs,orphan_foreign_key
INV00032758,ITEM6044,LOC0017,2025-01-10,3.000,0.000,1.000,0.000,3.000,pcs,orphan_foreign_key
INV00033277,ITEM0203,LOC0021,2025-01-10,1.980,0.000,0.400,0.400,1.580,kg,orphan_foreign_key
INV00033716,ITEM8939,LOC0024,2025-01-10,3.000,0.000,1.000,1.000,2.000,pcs,orphan_foreign_key
INV00034018,ITEM9878,LOC0001,2025-01-11,1.470,0.000,0.140,0.000,1.470,liters,orphan_foreign_key
INV00034278,ITEM1604,LOC0003,2025-01-11,1.900,5.670,3.000,3.000,4.570,liters,orphan_foreign_key
INV00034510,ITEM8368,LOC0005,2025-01-11,3.000,19.000,9.000,9.000,13.000,pcs,orphan_foreign_key
INV00035803,ITEM0248,LOC0015,2025-01-11,0.420,1.180,0.600,0.600,1.000,liters,orphan_foreign_key
INV00035805,ITEM2351,LOC0015,2025-01-11,0.270,0.750,0.360,0.300,0.720,liters,orphan_foreign_key
INV00035923,ITEM5857,LOC0015,2025-01-11,2.000,0.000,1.000,0.000,2.000,pcs,orphan_foreign_key
INV00036036,ITEM2216,LOC0016,2025-01-11,1.790,0.000,1.000,1.000,0.790,liters,orphan_foreign_key
INV00036210,ITEM8035,LOC0018,2025-01-11,7.000,0.000,1.000,0.000,7.000,pcs,orphan_foreign_key
INV00037336,ITEM9121,LOC0001,2025-01-12,0.730,0.000,0.130,0.000,0.730,kg,orphan_foreign_key
INV00037426,ITEM5690,LOC0002,2025-01-12,4.000,0.000,1.000,0.000,4.000,pcs,orphan_foreign_key
INV00037808,ITEM5140,LOC0004,2025-01-12,0.680,0.980,0.680,0.500,1.160,liters,orphan_foreign_key
INV00038133,ITEM0625,LOC0007,2025-01-12,2.270,2.230,1.920,1.800,2.630,kg,orphan_foreign_key
INV00038635,ITEM6788,LOC0010,2025-01-12,5.000,0.000,3.000,2.000,3.000,pcs,orphan_foreign_key
INV00038756,ITEM0263,LOC0011,2025-01-12,0.630,0.000,0.060,0.000,0.630,liters,orphan_foreign_key
INV00038944,ITEM6985,LOC0013,2025-01-12,1.600,0.000,0.140,0.000,1.600,kg,orphan_foreign_key
INV00039964,ITEM8672,LOC0020,2025-01-12,3.000,0.000,1.000,0.000,3.000,pcs,orphan_foreign_key
INV00040023,ITEM3817,LOC0021,2025-01-12,1.000,2.000,1.000,0.000,2.000,pcs,orphan_foreign_key
INV00040105,ITEM8781,LOC0021,2025-01-12,6.000,0.000,1.000,0.000,6.000,pcs,orphan_foreign_key
INV00041334,ITEM3520,LOC0005,2025-01-13,4.310,0.000,1.860,1.750,2.560,liters,orphan_foreign_key
INV00041352,ITEM0640,LOC0005,2025-01-13,4.000,0.000,3.000,3.000,1.000,pcs,orphan_foreign_key
INV00041686,ITEM2228,LOC0008,2025-01-13,13.000,0.000,7.000,5.000,8.000,pcs,orphan_foreign_key
INV00041859,ITEM5620,LOC0009,2025-01-13,3.000,0.000,1.000,1.000,2.000,pcs,orphan_foreign_key
INV00041911,ITEM0790,LOC0010,2025-01-13,2.000,0.000,1.000,0.000,2.000,pcs,orphan_foreign_key
INV00042223,ITEM2370,LOC0012,2025-01-13,3.000,0.000,1.000,0.000,3.000,pcs,orphan_foreign_key
INV00043004,ITEM5172,LOC0018,2025-01-13,1.000,2.000,1.000,0.000,3.000,pcs,orphan_foreign_key
INV00043062,ITEM2526,LOC0018,2025-01-13,8.730,0.000,0.570,0.000,8.730,kg,orphan_foreign_key
INV00043116,ITEM8110,LOC0019,2025-01-13,3.000,0.000,2.000,0.000,3.000,pcs,orphan_foreign_key
INV00043169,ITEM1057,LOC0019,2025-01-13,0.380,0.000,0.180,0.000,0.380,kg,orphan_foreign_key
INV00043389,ITEM4298,LOC0020,2025-01-13,17.000,0.000,6.000,6.000,11.000,pcs,orphan_foreign_key
INV00043732,ITEM2981,LOC0023,2025-01-13,11.000,0.000,4.000,2.000,9.000,pcs,orphan_foreign_key
INV00043790,ITEM8016,LOC0023,2025-01-13,1.000,4.000,2.000,0.000,5.000,pcs,orphan_foreign_key
INV00043967,ITEM5278,LOC0025,2025-01-13,1.830,0.000,0.180,0.000,1.660,kg,orphan_foreign_key
INV00044260,ITEM0960,LOC0002,2025-01-14,2.930,0.000,0.210,0.000,2.930,kg,orphan_foreign_key
INV00044262,ITEM5244,LOC0002,2025-01-14,1.710,0.000,0.430,0.400,1.310,kg,orphan_foreign_key
INV00045543,ITEM7933,LOC0011,2025-01-14,3.000,0.000,1.000,1.000,2.000,pcs,orphan_foreign_key
INV00045585,ITEM1298,LOC0012,2025-01-14,1.720,0.000,0.600,0.600,1.120,kg,orphan_foreign_key
INV00045631,ITEM4923,LOC0012,2025-01-14,3.000,0.000,1.000,0.000,3.000,pcs,orphan_foreign_key
INV00046172,ITEM9564,LOC0016,2025-01-14,4.000,0.000,1.000,0.000,4.000,pcs,orphan_foreign_key
INV00046346,ITEM1169,LOC0017,2025-01-14,0.290,0.000,0.140,0.000,0.240,liters,orphan_foreign_key
INV00047347,ITEM0671,LOC0025,2025-01-14,0.550,0.000,0.140,0.000,0.530,liters,orphan_foreign_key
INV00047352,ITEM3995,LOC0025,2025-01-14,2.000,0.000,1.000,0.000,2.000,pcs,orphan_foreign_key
INV00047438,ITEM3801,LOC0025,2025-01-14,3.670,0.000,1.050,1.050,2.620,liters,orphan_foreign_key
INV00047644,ITEM8821,LOC0002,2025-01-15,2.190,0.000,0.170,0.000,2.190,kg,orphan_foreign_key
INV00047977,ITEM3507,LOC0004,2025-01-15,2.220,0.000,0.670,0.500,1.720,liters,orphan_foreign_key
INV00047989,ITEM9990,LOC0004,2025-01-15,2.670,0.000,1.170,0.700,1.970,liters,orphan_foreign_key
INV00048825,ITEM6987,LOC0011,2025-01-15,2.000,0.000,1.000,1.000,1.000,pcs,orphan_foreign_key
INV00049411,ITEM2254,LOC0015,2025-01-15,13.000,0.000,5.000,4.000,9.000,pcs,orphan_foreign_key
INV00049738,ITEM4621,LOC0017,2025-01-15,1.670,0.000,0.400,0.250,1.420,liters,orphan_foreign_key
INV00049753,ITEM3435,LOC0017,2025-01-15,4.000,0.000,2.000,1.000,3.000,pcs,orphan_foreign_key
INV00049776,ITEM3256,LOC0018,2025-01-15,0.950,0.000,0.080,0.000,0.950,liters,orphan_foreign_key
INV00050214,ITEM1758,LOC0021,2025-01-15,0.160,0.310,0.190,0.000,0.380,kg,orphan_foreign_key
INV00050830,ITEM4088,LOC0025,2025-01-15,0.880,0.000,0.350,0.000,0.880,liters,orphan_foreign_key
INV00051020,ITEM4611,LOC0002,2025-01-16,1.280,0.000,0.290,0.000,1.080,kg,orphan_foreign_key
INV00051141,ITEM4100,LOC0003,2025-01-16,1.810,0.000,0.530,0.300,1.510,liters,orphan_foreign_key
INV00051297,ITEM9900,LOC0004,2025-01-16,2.600,0.000,0.680,0.000,2.600,kg,orphan_foreign_key
INV00051387,ITEM6489,LOC0004,2025-01-16,2.000,18.000,8.000,6.000,14.000,pcs,orphan_foreign_key
INV00051614,ITEM9961,LOC0006,2025-01-16,1.620,0.000,0.020,0.000,1.620,kg,orphan_foreign_key
INV00051908,ITEM8822,LOC0008,2025-01-16,0.420,2.180,0.980,0.700,1.900,liters,orphan_foreign_key
INV00052511,ITEM2195,LOC0013,2025-01-16,6.860,13.790,7.010,4.500,14.140,kg,orphan_foreign_key
INV00053699,ITEM5077,LOC0022,2025-01-16,5.000,0.000,1.000,0.000,5.000,pcs,orphan_foreign_key
INV00054117,ITEM8920,LOC0025,2025-01-16,3.000,0.000,1.000,0.000,3.000,pcs,orphan_foreign_key
INV00054303,ITEM6366,LOC0001,2025-01-17,8.000,0.000,1.000,0.000,8.000,pcs,orphan_foreign_key
INV00054306,ITEM6893,LOC0001,2025-01-17,4.000,0.000,3.000,3.000,1.000,pcs,orphan_foreign_key
INV00054308,ITEM7258,LOC0001,2025-01-17,4.000,0.000,1.000,0.000,4.000,pcs,orphan_foreign_key
INV00054442,ITEM0801,LOC0002,2025-01-17,3.000,0.000,2.000,2.000,1.000,pcs,orphan_foreign_key
INV00054517,ITEM9940,LOC0003,2025-01-17,3.000,0.000,1.000,0.000,3.000,pcs,orphan_foreign_key
INV00054600,ITEM1859,LOC0003,2025-01-17,1.250,0.000,0.070,0.000,1.250,kg,orphan_foreign_key
INV00054754,ITEM2682,LOC0004,2025-01-17,0.680,0.000,0.500,0.500,0.180,liters,orphan_foreign_key
INV00056006,ITEM2957,LOC0014,2025-01-17,2.030,0.000,0.160,0.000,2.030,liters,orphan_foreign_key
INV00056286,ITEM8393,LOC0016,2025-01-17,0.320,0.450,0.360,0.300,0.470,liters,orphan_foreign_key
INV00056298,ITEM4867,LOC0016,2025-01-17,0.530,1.910,1.190,0.900,1.540,kg,orphan_foreign_key
INV00056444,ITEM2534,LOC0017,2025-01-17,0.850,0.000,0.200,0.000,0.850,kg,orphan_foreign_key
INV00056713,ITEM8890,LOC0019,2025-01-17,0.720,1.270,0.860,0.500,1.330,kg,orphan_foreign_key
INV00056735,ITEM1966,LOC0019,2025-01-17,2.000,0.000,1.000,0.000,2.000,pcs,orphan_foreign_key
INV00056939,ITEM8597,LOC0020,2025-01-17,1.800,3.860,2.450,2.450,3.210,liters,orphan_foreign_key
INV00057276,ITEM4233,LOC0023,2025-01-17,1.070,2.960,2.000,2.000,2.030,kg,orphan_foreign_key
INV00057313,ITEM5649,LOC0023,2025-01-17,3.860,0.000,0.070,0.000,3.860,kg,orphan_foreign_key
INV00057889,ITEM6098,LOC0002,2025-01-18,1.470,0.000,0.460,0.350,1.120,liters,orphan_foreign_key
INV00058048,ITEM5605,LOC0004,2025-01-18,3.910,0.000,2.310,1.800,2.110,liters,orphan_foreign_key
INV00058399,ITEM0635,LOC0006,2025-01-18,0.410,0.000,0.030,0.000,0.410,kg,orphan_foreign_key
INV00058693,ITEM3482,LOC0008,2025-01-18,0.700,11.730,4.900,4.900,7.530,liters,orphan_foreign_key
INV00059577,ITEM0569,LOC0015,2025-01-18,1.940,0.000,0.210,0.000,1.940,kg,orphan_foreign_key
INV00059897,ITEM6477,LOC0017,2025-01-18,6.000,0.000,2.000,2.000,4.000,pcs,orphan_foreign_key
INV00060683,ITEM5473,LOC0023,2025-01-18,5.000,0.000,3.000,2.000,3.000,pcs,orphan_foreign_key
INV00061486,ITEM7698,LOC0004,2025-01-19,0.780,1.170,0.800,0.800,1.150,kg,orphan_foreign_key
INV00061668,ITEM3315,LOC0005,2025-01-19,0.180,2.680,1.000,1.000,1.860,liters,orphan_foreign_key
INV00061862,ITEM3147,LOC0007,2025-01-19,0.790,0.000,0.140,0.000,0.790,kg,orphan_foreign_key
INV00061887,ITEM4614,LOC0007,2025-01-19,1.150,1.520,1.200,1.200,1.470,kg,orphan_foreign_key
INV00062086,ITEM1023,LOC0008,2025-01-19,4.000,6.000,4.000,4.000,6.000,pcs,orphan_foreign_key
INV00062128,ITEM0634,LOC0009,2025-01-19,0.180,1.040,0.600,0.600,0.620,kg,orphan_foreign_key
INV00062886,ITEM9733,LOC0014,2025-01-19,0.490,0.000,0.150,0.000,0.490,liters,orphan_foreign_key
INV00063171,ITEM0630,LOC0016,2025-01-19,49.000,0.000,38.000,28.000,21.000,pcs,orphan_foreign_key
INV00063566,ITEM8077,LOC0019,2025-01-19,2.430,0.000,0.750,0.750,1.680,liters,orphan_foreign_key
INV00063708,ITEM7244,LOC0020,2025-01-19,0.130,0.170,0.110,0.000,0.300,liters,orphan_foreign_key
INV00064483,ITEM7558,LOC0001,2025-01-20,4.000,0.000,2.000,1.000,3.000,pcs,orphan_foreign_key
INV00064845,ITEM9508,LOC0004,2025-01-20,1.050,0.000,0.250,0.000,1.050,kg,orphan_foreign_key
INV00065148,ITEM7929,LOC0006,2025-01-20,3.000,0.000,1.000,0.000,3.000,pcs,orphan_foreign_key
INV00065814,ITEM6092,LOC0011,2025-01-20,0.610,0.000,0.120,0.000,0.610,kg,orphan_foreign_key
INV00065927,ITEM7670,LOC0012,2025-01-20,1.560,0.000,0.140,0.000,1.560,kg,orphan_foreign_key
INV00066101,ITEM3571,LOC0013,2025-01-20,5.000,0.000,2.000,2.000,3.000,pcs,orphan_foreign_key
INV00066828,ITEM7560,LOC0018,2025-01-20,0.790,0.000,0.160,0.000,0.790,liters,orphan_foreign_key
INV00066846,ITEM8460,LOC0019,2025-01-20,5.000,0.000,2.000,0.000,5.000,pcs,orphan_foreign_key
INV00067598,ITEM5422,LOC0024,2025-01-20,2.000,0.000,1.000,0.000,2.000,pcs,orphan_foreign_key
INV00067984,ITEM5586,LOC0002,2025-01-21,1.690,0.000,0.170,0.000,1.690,kg,orphan_foreign_key
INV00068532,ITEM8950,LOC0006,2025-01-21,0.510,0.000,0.080,0.000,0.510,kg,orphan_foreign_key
INV00068776,ITEM9080,LOC0008,2025-01-21,1.800,0.000,1.060,0.900,0.900,kg,orphan_foreign_key
INV00068786,ITEM1693,LOC0008,2025-01-21,2.670,10.760,5.590,5.000,8.430,kg,orphan_foreign_key
INV00068979,ITEM7657,LOC0009,2025-01-21,3.000,0.000,1.000,0.000,3.000,pcs,orphan_foreign_key
INV00069145,ITEM9885,LOC0010,2025-01-21,3.000,0.000,1.000,0.000,3.000,pcs,orphan_foreign_key
INV00069426,ITEM9116,LOC0013,2025-01-21,2.000,0.000,1.000,0.000,2.000,pcs,orphan_foreign_key
INV00069612,ITEM9104,LOC0014,2025-01-21,0.690,0.000,0.460,0.000,0.690,kg,orphan_foreign_key
INV00069909,ITEM5359,LOC0016,2025-01-21,3.000,0.000,1.000,0.000,3.000,pcs,orphan_foreign_key
INV00069935,ITEM4540,LOC0016,2025-01-21,1.350,0.000,0.070,0.000,1.350,liters,orphan_foreign_key
INV00070544,ITEM3017,LOC0021,2025-01-21,1.170,0.000,0.300,0.300,0.870,kg,orphan_foreign_key
INV00071194,ITEM4097,LOC0001,2025-01-22,2.000,4.000,2.000,1.000,5.000,pcs,orphan_foreign_key
INV00071374,ITEM9859,LOC0002,2025-01-22,1.690,0.000,1.000,1.000,0.690,kg,orphan_foreign_key
INV00072055,ITEM0825,LOC0007,2025-01-22,6.440,0.000,1.010,0.800,5.640,kg,orphan_foreign_key
INV00072107,ITEM3705,LOC0007,2025-01-22,4.000,0.000,1.000,0.000,4.000,pcs,orphan_foreign_key
INV00072153,ITEM5704,LOC0008,2025-01-22,0.430,0.000,0.040,0.000,0.430,liters,orphan_foreign_key
INV00072234,ITEM4247,LOC0008,2025-01-22,3.000,0.000,1.000,0.000,3.000,pcs,orphan_foreign_key
INV00072259,ITEM1715,LOC0008,2025-01-22,5.000,0.000,3.000,2.000,2.000,pcs,orphan_foreign_key
INV00072456,ITEM1411,LOC0010,2025-01-22,0.890,0.000,0.050,0.000,0.890,kg,orphan_foreign_key
INV00072900,ITEM5263,LOC0013,2025-01-22,1.390,0.000,1.050,1.050,0.340,kg,orphan_foreign_key
INV00073064,ITEM0450,LOC0014,2025-01-22,2.320,0.000,0.110,0.000,2.320,liters,orphan_foreign_key
INV00073338,ITEM1966,LOC0016,2025-01-22,3.230,0.000,2.100,2.100,1.130,liters,orphan_foreign_key
INV00075108,ITEM4724,LOC0004,2025-01-23,1.920,0.000,0.200,0.000,1.920,liters,orphan_foreign_key
INV00075225,ITEM9438,LOC0005,2025-01-23,1.340,0.000,0.590,0.000,1.340,liters,orphan_foreign_key
INV00075483,ITEM3642,LOC0007,2025-01-23,0.580,0.000,0.040,0.000,0.580,kg,orphan_foreign_key
INV00075528,ITEM5030,LOC0007,2025-01-23,8.000,0.000,6.000,6.000,2.000,pcs,orphan_foreign_key
INV00075682,ITEM9156,LOC0009,2025-01-23,1.960,0.000,1.380,0.900,0.820,kg,orphan_foreign_key
INV00075981,ITEM4054,LOC0011,2025-01-23,0.450,1.430,0.800,0.800,1.080,kg,orphan_foreign_key
INV00076046,ITEM9989,LOC0011,2025-01-23,4.730,0.000,0.060,0.000,4.730,liters,orphan_foreign_key
