order_id,customer_id,location_id,order_datetime,order_channel,order_status,promotion_id,subtotal,discount_amount,tax_amount,total_amount,payment_method,quarantine_reason
ORD00006068,CUST0002017,LOC5774,2025-01-12 13:14:57,Dine-in,Completed,PROMO002,7420.00,140.00,1164.80,8444.80,Wallet,invalid_restaurant_id
ORD00006159,,LOC0015,2025-01-12 14:55:20,Website,Completed,,3270.00,0.00,523.20,3793.20,Online,missing_value
ORD00006163,CUST0021172,LOC0023,2025-01-12 15:03:30,Dine-in,Completed,,3150.00,7763.09,472.50,3622.50,Wallet,discount_exceeds_subtotal
ORD00006256,CUST0034911,LOC7264,2025-01-12 18:57:00,App,Completed,,2410.00,0.00,361.50,2771.50,Online,invalid_restaurant_id
ORD00006312,CUST9856421,LOC0008,2025-01-12 20:01:18,ThirdPartyDelivery,Completed,,1790.00,0.00,286.40,2076.40,Cash,orphan_foreign_key
ORD00006414,,LOC0014,2025-01-12 21:32:06,Dine-in,Completed,,11060.00,0.00,1659.00,12719.00,Cash,missing_value
ORD00006550,CUST0006630,LOC0003,2025-01-13 11:31:09,App,Completed,,5450.00,0.00,817.50,6267.50,Card,orphan_foreign_key
ORD00006903,,LOC0019,2025-01-13 22:35:07,Dine-in,Completed,,6590.00,0.00,1054.40,7644.40,Card,missing_value
ORD00006994,CUST0024873,LOC0004,2025-01-14 13:05:11,Dine-in,Completed,,8510.00,0.00,1276.50,9786.50,Card,orphan_foreign_key
ORD00007083,CUST0048886,LOC0004,2099-12-31 10:52:00,Takeaway,Completed,PROMO002,2100.00,88.00,301.80,2313.80,Cash,invalid_date
ORD00007570,CUST0004149,LOC0023,2025-01-15 19:08:09,Takeaway,Completed,,2650.00,0.00,397.50,3047.50,Card,orphan_foreign_key
ORD00007602,CUST0051886,LOC0005,2025-01-15 20:04:14,Website,Completed,PROMO002,6240.00,96.00,921.60,7065.60,Online,orphan_foreign_key
ORD00007616,CUST0020448,LOC0005,2025-01-15 20:12:43,App,Completed,,1790.00,0.00,268.50,2058.50,Online,orphan_foreign_key
ORD00007645,CUST0009309,LOC8841,2025-01-15 20:36:24,App,Completed,,7240.00,0.00,1086.00,8326.00,Online,invalid_restaurant_id
ORD00007772,CUST0038041,LOC5311,2025-01-16 12:00:04,Takeaway,Completed,,10370.00,0.00,1659.20,12029.20,Cash,invalid_restaurant_id
ORD00007835,,LOC0005,2025-01-16 13:25:15,Dine-in,Completed,,6450.00,0.00,967.50,7417.50,Card,missing_value
ORD00007930,CUST0004444,LOC0020,2025-01-16 17:18:10,App,Completed,,5610.00,0.00,841.50,6451.50,Card,orphan_foreign_key
ORD00008396,,LOC0011,2025-01-17 15:35:31,Dine-in,Completed,,8300.00,0.00,1328.00,9628.00,Wallet,missing_value
ORD00008481,CUST0051392,LOC0007,2025-01-17 18:56:34,Dine-in,Completed,,14150.00,0.00,2264.00,16414.00,Card,orphan_foreign_key
ORD00008553,,LOC0001,2025-01-17 20:12:17,Dine-in,Completed,,12830.00,0.00,1924.50,14754.50,Cash,missing_value
ORD00008570,CUST0052867,LOC0019,1970-01-01 21:29:00,App,Completed,,8080.00,0.00,1292.80,9372.80,Online,invalid_date
ORD00008694,CUST0026953,LOC0005,2025-01-17 22:10:39,App,Completed,,4145.00,0.00,621.75,4766.75,Online,orphan_foreign_key
ORD00009004,,LOC0002,2025-01-18 14:49:25,Website,Completed,,3540.00,0.00,531.00,4071.00,Online,missing_value
ORD00009472,,LOC0024,2025-01-19 11:07:29,Dine-in,Completed,,8750.00,0.00,1400.00,10150.00,Card,missing_value
ORD00009603,CUST1726017,LOC0007,2025-01-19 13:36:39,Takeaway,Completed,,6570.00,0.00,1051.20,7621.20,Card,orphan_foreign_key
ORD00009659,,LOC0002,2025-01-19 14:48:47,ThirdPartyDelivery,Completed,,5960.00,0.00,894.00,6854.00,Cash,missing_value
ORD00010225,,LOC0023,2025-01-20 19:08:38,ThirdPartyDelivery,Completed,PROMO002,2540.00,118.00,363.30,2785.30,Cash,missing_value
ORD00010828,CUST0016684,LOC0025,2025-01-21 22:30:43,Dine-in,Completed,,6640.00,0.00,996.00,7636.00,Card,orphan_foreign_key
ORD00010834,CUST0012970,LOC0013,,Dine-in,Completed,,4050.00,0.00,607.50,4657.50,Card,invalid_date
ORD00011112,CUST0049751,LOC0003,2025-01-22 19:57:36,Takeaway,Completed,,2600.00,0.00,390.00,2990.00,Wallet,orphan_foreign_key
ORD00011193,,LOC0007,2025-01-22 21:36:49,Dine-in,Completed,,6300.00,0.00,1008.00,7308.00,Card,missing_value
ORD00011221,CUST0024895,LOC0013,2025-01-22 22:29:59,App,Completed,,3790.00,0.00,568.50,4358.50,Card,orphan_foreign_key
ORD00011279,CUST0027573,LOC0013,2025-01-23 11:12:10,Takeaway,Completed,,10760.00,0.00,1614.00,12374.00,Cash,orphan_foreign_key
ORD00011407,,LOC0006,2025-01-23 14:00:20,Dine-in,Completed,,3140.00,0.00,471.00,3611.00,Cash,missing_value
ORD00011528,CUST0039532,LOC0004,2025-01-23 19:14:03,Dine-in,Completed,PROMO002,11090.00,156.00,1640.10,12574.10,Card,orphan_foreign_key
ORD00011686,CUST4151900,LOC0008,2025-01-23 22:03:42,App,Completed,,3380.00,0.00,540.80,3920.80,Wallet,orphan_foreign_key
ORD00011759,,LOC0019,2025-01-24 11:03:57,ThirdPartyDelivery,Completed,,7910.00,0.00,1265.60,9175.60,Cash,missing_value
ORD00011914,CUST3572916,LOC0019,2025-01-24 13:54:39,Takeaway,Completed,,14700.00,0.00,2352.00,17052.00,Cash,orphan_foreign_key
ORD00012216,CUST0025145,LOC4832,2025-01-24 21:20:08,ThirdPartyDelivery,Cancelled,,6990.00,0.00,1048.50,8038.50,Cash,invalid_restaurant_id
ORD00012237,CUST0010072,LOC0011,2027-11-05 20:35:00,ThirdPartyDelivery,Completed,,4330.00,0.00,692.80,5022.80,Cash,invalid_date
ORD00012325,CUST2046896,LOC0021,2025-01-24 23:39:23,App,Completed,,4250.00,0.00,637.50,4887.50,Card,orphan_foreign_key
ORD00012338,CUST0048077,LOC0005,2025-01-25 00:16:05,Dine-in,Completed,,3890.00,6482.30,583.50,4473.50,Card,discount_exceeds_subtotal
ORD00012423,CUST0044158,LOC0008,2025-01-25 12:37:12,App,Completed,PROMO002,2430.00,100.00,372.80,2702.80,Wallet,orphan_foreign_key
ORD00012698,CUST0043483,LOC0018,2025-01-25 19:32:00,Dine-in,Completed,,10800.00,18008.61,1728.00,12528.00,Card,discount_exceeds_subtotal
ORD00013394,,LOC0013,2025-01-26 20:00:53,ThirdPartyDelivery,Completed,,5880.00,0.00,882.00,6762.00,Online,missing_value
ORD00013689,CUST0707959,LOC0008,2025-01-27 12:53:59,Dine-in,Completed,,4230.00,0.00,676.80,4906.80,Wallet,orphan_foreign_key
ORD00013717,,LOC0004,2025-01-27 13:19:12,ThirdPartyDelivery,Completed,,7550.00,0.00,1132.50,8682.50,Online,missing_value
ORD00013830,CUST0014191,LOC0004,2025-01-27 18:46:31,Website,Completed,PROMO002,7060.00,282.00,1016.70,7794.70,Wallet,orphan_foreign_key
ORD00013935,,LOC0015,2025-01-27 20:52:11,Takeaway,Completed,PROMO002,4300.00,34.00,682.56,4948.56,Card,missing_value
ORD00013940,CUST0010414,LOC0019,,Dine-in,Completed,,11790.00,0.00,1886.40,13676.40,Cash,invalid_date
ORD00014038,CUST4684016,LOC0010,2025-01-27 23:54:40,App,Completed,,1850.00,0.00,296.00,2146.00,Online,orphan_foreign_key
ORD00014150,CUST6153794,LOC0023,2025-01-28 13:29:46,ThirdPartyDelivery,Completed,PROMO002,2620.00,30.00,388.50,2978.50,Online,orphan_foreign_key
ORD00014215,CUST0035895,LOC0018,2025-01-28 15:30:19,Takeaway,Completed,,750.00,1612.97,120.00,870.00,Card,discount_exceeds_subtotal
ORD00014783,,LOC0007,2025-01-29 21:15:57,App,Completed,,16480.00,0.00,2636.80,19116.80,Online,missing_value
ORD00014849,CUST0048367,LOC0019,2025-01-29 22:57:41,Takeaway,Completed,,2580.00,0.00,412.80,2992.80,Card,orphan_foreign_key
ORD00014901,CUST0043043,LOC0008,2025-01-30 12:05:10,ThirdPartyDelivery,Completed,,3680.00,0.00,588.80,4268.80,Online,orphan_foreign_key
ORD00015025,CUST0043578,LOC0025,2025-01-30 15:15:54,Takeaway,Completed,PROMO002,6580.00,110.00,970.50,7440.50,Cash,orphan_foreign_key
ORD00015067,CUST5391468,LOC0014,2025-01-30 17:33:10,App,Completed,,3980.00,0.00,597.00,4577.00,Wallet,orphan_foreign_key
ORD00015373,CUST7262680,LOC0016,2025-01-31 12:05:41,Takeaway,Completed,,9870.00,0.00,1579.20,11449.20,Cash,orphan_foreign_key
ORD00015485,CUST8922685,LOC0003,2025-01-31 13:34:25,App,Completed,,5050.00,0.00,757.50,5807.50,Online,orphan_foreign_key
ORD00015509,CUST0011761,LOC0014,2025-01-31 13:53:43,Dine-in,Completed,PROMO002,9460.00,424.00,1355.40,10391.40,Card,orphan_foreign_key
ORD00015777,CUST0006945,LOC0005,2025-01-31 20:44:17,ThirdPartyDelivery,Completed,,7510.00,0.00,1126.50,8636.50,Online,orphan_foreign_key
ORD00015898,,LOC0021,2025-01-31 23:25:09,Dine-in,Completed,,2960.00,0.00,444.00,3404.00,Card,missing_value
ORD00015934,CUST0025024,LOC0019,2025-02-01 10:36:46,Dine-in,Completed,,9825.00,23340.64,1572.00,11397.00,Card,discount_exceeds_subtotal
ORD00015969,CUST0034779,LOC0023,2025-02-01 12:08:31,Dine-in,Completed,PROMO002,14680.00,516.00,2124.60,16288.60,Card,orphan_foreign_key
ORD00015977,,LOC0011,2025-02-01 12:14:13,Dine-in,Completed,,3945.00,0.00,631.20,4576.20,Cash,missing_value
ORD00015992,CUST3028782,LOC0001,2025-02-01 12:26:15,Website,Completed,,20950.00,0.00,3142.50,24092.50,Card,orphan_foreign_key
ORD00016175,,LOC0010,2025-02-01 17:18:02,Takeaway,Completed,,3140.00,0.00,502.40,3642.40,Card,missing_value
ORD00016247,CUST2383508,LOC0018,2025-02-01 19:21:43,Dine-in,Completed,,10650.00,0.00,1704.00,12354.00,Cash,orphan_foreign_key
ORD00016483,CUST0022419,LOC0007,2025-02-01 22:34:21,Takeaway,Completed,,5550.00,0.00,888.00,6438.00,Cash,orphan_foreign_key
ORD00016553,CUST0006661,LOC0020,2027-11-05 15:47:00,App,Completed,,3845.00,0.00,576.75,4421.75,Wallet,invalid_date
ORD00016667,,LOC0005,2025-02-02 13:27:01,Dine-in,Completed,,8785.00,0.00,1317.75,10102.75,Wallet,missing_value
ORD00017013,,LOC0002,2025-02-02 21:03:02,ThirdPartyDelivery,Completed,,5140.00,0.00,771.00,5911.00,Online,missing_value
ORD00017145,CUST0053336,LOC0005,2025-02-02 23:42:45,Dine-in,Completed,,6970.00,8108.00,1045.50,8015.50,Cash,discount_exceeds_subtotal
ORD00017152,,LOC0020,2025-02-02 23:58:57,App,Completed,,1740.00,0.00,261.00,2001.00,Online,missing_value
ORD00017327,CUST0001965,LOC0345,2025-02-03 15:33:32,Dine-in,Completed,,5290.00,0.00,846.40,6136.40,Cash,invalid_restaurant_id
ORD00017509,CUST9534691,LOC0022,2025-02-03 21:42:41,Takeaway,Completed,,8220.00,0.00,1233.00,9453.00,Cash,orphan_foreign_key
ORD00017616,CUST8080190,LOC0008,2025-02-04 12:07:15,Dine-in,Completed,,6100.00,0.00,976.00,7076.00,Card,orphan_foreign_key
ORD00017634,CUST0021338,LOC0665,2025-02-04 12:33:59,Dine-in,Completed,,7980.00,0.00,1197.00,9177.00,Cash,invalid_restaurant_id
ORD00017763,,LOC0018,2025-02-04 17:31:30,Takeaway,Completed,,6620.00,0.00,1059.20,7679.20,Card,missing_value
ORD00018069,,LOC0009,2025-02-05 13:09:43,Dine-in,Completed,,5220.00,0.00,835.20,6055.20,Card,missing_value
ORD00018122,CUST0020134,LOC0016,,Dine-in,Completed,,4900.00,0.00,784.00,5684.00,Cash,invalid_date
ORD00018404,,LOC0004,2025-02-05 22:59:21,Dine-in,Completed,,12860.00,0.00,1929.00,14789.00,Card,missing_value
ORD00018682,CUST0029354,LOC2014,2025-02-06 19:20:43,Dine-in,Completed,,10310.00,0.00,1546.50,11856.50,Wallet,invalid_restaurant_id
ORD00018849,CUST0007120,LOC0175,2025-02-06 23:37:57,Dine-in,Completed,PROMO002,4160.00,68.00,613.80,4705.80,Cash,invalid_restaurant_id
ORD00018863,,LOC0007,2025-02-07 00:45:13,App,Completed,,3840.00,0.00,614.40,4454.40,Cash,missing_value
ORD00019616,CUST0037140,LOC0018,2025-02-08 12:51:29,App,Completed,,4290.00,10287.10,686.40,4976.40,Wallet,discount_exceeds_subtotal
ORD00019684,CUST0026953,LOC0005,2025-02-08 13:39:51,Dine-in,Completed,,15360.00,0.00,2304.00,17664.00,Card,orphan_foreign_key
ORD00019787,CUST0027422,LOC1586,2025-02-08 16:06:35,Takeaway,Completed,,2870.00,0.00,430.50,3300.50,Card,invalid_restaurant_id
ORD00019917,CUST0003021,LOC0016,2099-12-31 19:01:00,App,Completed,,3130.00,0.00,500.80,3630.80,Online,invalid_date
ORD00020344,CUST0003914,LOC9814,2025-02-09 15:10:00,Dine-in,Completed,,9550.00,0.00,1432.50,10982.50,Card,invalid_restaurant_id
ORD00020372,CUST0003773,LOC0015,2025-02-09 16:40:19,Takeaway,Completed,,3685.00,0.00,589.60,4274.60,Cash,orphan_foreign_key
ORD00020382,CUST0039532,LOC0009,2025-02-09 17:17:01,ThirdPartyDelivery,Completed,,4930.00,0.00,788.80,5718.80,Cash,orphan_foreign_key
ORD00020489,CUST0011232,LOC0004,2025-02-09 19:57:10,ThirdPartyDelivery,Completed,,7560.00,0.00,1134.00,8694.00,Cash,orphan_foreign_key
ORD00020504,CUST5113728,LOC0002,2025-02-09 20:11:50,Dine-in,Completed,,7590.00,0.00,1138.50,8728.50,Cash,orphan_foreign_key
ORD00020537,CUST0027470,LOC7502,2025-02-09 20:36:04,App,Completed,,10180.00,0.00,1628.80,11808.80,Online,invalid_restaurant_id
ORD00020735,,LOC0007,2025-02-10 10:39:43,Takeaway,Completed,,12570.00,0.00,2011.20,14581.20,Cash,missing_value
ORD00020855,,LOC0022,2025-02-10 14:09:35,App,Completed,,1070.00,0.00,160.50,1230.50,Online,missing_value
ORD00020865,,LOC0004,2025-02-10 14:39:35,Dine-in,Completed,,8780.00,0.00,1317.00,10097.00,Card,missing_value
ORD00020995,,LOC0004,2025-02-10 19:59:46,Takeaway,Completed,,4700.00,0.00,705.00,5405.00,Cash,missing_value
ORD00021026,,LOC0003,2025-02-10 20:26:24,Dine-in,Completed,,8500.00,0.00,1275.00,9775.00,Card,missing_value
ORD00021231,,LOC0005,2025-02-11 12:32:57,ThirdPartyDelivery,Completed,PROMO002,11355.00,96.00,1688.85,12947.85,Cash,missing_value
ORD00021280,CUST2851596,LOC0021,2025-02-11 13:20:14,App,Completed,PROMO002,3670.00,96.00,536.10,4110.10,Online,orphan_foreign_key
ORD00021400,CUST0010545,LOC0010,2025-02-11 18:40:36,Website,Completed,,6630.00,0.00,1060.80,7690.80,Online,orphan_foreign_key
ORD00021474,CUST0797876,LOC0013,2025-02-11 20:32:25,Dine-in,Completed,,15060.00,0.00,2259.00,17319.00,Cash,orphan_foreign_key
ORD00021548,CUST0042656,LOC5087,2025-02-11 21:36:18,Dine-in,Completed,,6640.00,0.00,996.00,7636.00,Card,invalid_restaurant_id
ORD00021574,CUST3736966,LOC0015,2025-02-11 22:10:20,ThirdPartyDelivery,Completed,,4170.00,0.00,667.20,4837.20,Cash,orphan_foreign_key
ORD00021591,CUST5199258,LOC0017,2025-02-11 22:33:56,Dine-in,Completed,,6760.00,0.00,1081.60,7841.60,Card,orphan_foreign_key
ORD00021941,CUST0016684,LOC0007,2025-02-12 20:15:28,Dine-in,Completed,,4610.00,0.00,737.60,5347.60,Cash,orphan_foreign_key
ORD00022008,CUST0003773,LOC0015,2025-02-12 21:29:34,Takeaway,Completed,PROMO002,10460.00,258.00,1632.32,11834.32,Cash,orphan_foreign_key
ORD00022386,CUST0011797,LOC0018,2025-02-13 19:12:44,Dine-in,Completed,,7520.00,9928.26,1203.20,8723.20,Cash,discount_exceeds_subtotal
ORD00022492,,LOC0003,2025-02-13 21:01:32,App,Cancelled,,3120.00,0.00,468.00,3588.00,Online,missing_value
ORD00022548,CUST0040367,LOC0021,,Dine-in,Completed,,6380.00,0.00,957.00,7337.00,Cash,invalid_date
ORD00022609,,LOC0013,2025-02-13 22:53:58,ThirdPartyDelivery,Completed,,2880.00,0.00,432.00,3312.00,Online,missing_value
ORD00022618,CUST0016499,LOC0021,2025-02-13 23:04:58,Dine-in,Completed,,10280.00,17447.37,1542.00,11822.00,Cash,discount_exceeds_subtotal
ORD00022678,CUST0030038,LOC1880,2025-02-14 11:06:47,Takeaway,Completed,,9830.00,0.00,1474.50,11304.50,Wallet,invalid_restaurant_id
ORD00022757,CUST0016684,LOC0006,2025-02-14 12:27:12,Takeaway,Completed,,4820.00,0.00,723.00,5543.00,Cash,orphan_foreign_key
ORD00022777,CUST0488418,LOC0003,2025-02-14 12:44:45,Dine-in,Completed,PROMO002,4070.00,108.00,594.30,4556.30,Cash,orphan_foreign_key
ORD00023644,CUST0214761,LOC0004,2025-02-15 11:49:05,Dine-in,Completed,,6450.00,0.00,967.50,7417.50,Wallet,orphan_foreign_key
ORD00023687,CUST0053873,LOC0003,2025-02-15 12:25:09,Dine-in,Completed,,10630.00,0.00,1594.50,12224.50,Card,orphan_foreign_key
ORD00023762,CUST0009263,LOC0006,2025-02-15 13:26:33,Dine-in,Completed,,9070.00,0.00,1360.50,10430.50,Cash,orphan_foreign_key
ORD00023995,CUST0028539,LOC0002,2099-12-31 17:28:00,Dine-in,Completed,,5440.00,0.00,816.00,6256.00,Cash,invalid_date
ORD00024099,CUST0045000,LOC0010,2025-02-15 20:55:27,Website,Completed,PROMO002,4680.00,7401.63,685.44,4969.44,Online,discount_exceeds_subtotal
ORD00024108,CUST7572952,LOC0005,2025-02-15 21:00:28,Dine-in,Completed,,8010.00,0.00,1201.50,9211.50,Card,orphan_foreign_key
ORD00024322,CUST0021203,LOC0018,2025-02-16 11:49:04,App,Completed,PROMO003,2640.00,3471.82,343.04,2487.04,Wallet,discount_exceeds_subtotal
ORD00024441,,LOC0013,2025-02-16 13:46:50,App,Completed,,12510.00,0.00,1876.50,14386.50,Wallet,missing_value
ORD00024544,CUST0010545,LOC0010,2025-02-16 16:25:43,Website,Completed,,6630.00,0.00,1060.80,7690.80,Wallet,orphan_foreign_key
ORD00024650,CUST3060951,LOC0003,2025-02-16 19:42:44,Dine-in,Completed,,2435.00,0.00,365.25,2800.25,Cash,orphan_foreign_key
ORD00024698,CUST0001723,LOC0005,2027-11-05 22:07:00,Dine-in,Completed,,8060.00,0.00,1209.00,9269.00,Cash,invalid_date
ORD00024941,CUST0444793,LOC0020,2025-02-17 12:18:07,App,Completed,,6490.00,0.00,973.50,7463.50,Card,orphan_foreign_key
ORD00025496,CUST9277345,LOC0021,2025-02-18 20:17:43,App,Completed,,7920.00,0.00,1188.00,9108.00,Cash,orphan_foreign_key
ORD00025658,CUST0028880,LOC0001,2025-02-19 13:02:27,Website,Completed,,8020.00,16600.11,1203.00,9223.00,Card,discount_exceeds_subtotal
ORD00025974,CUST0018747,LOC0001,,Dine-in,Completed,,3190.00,0.00,478.50,3668.50,Card,invalid_date
ORD00025996,CUST0025144,LOC0003,2025-02-20 12:33:36,Dine-in,Completed,,17050.00,0.00,2557.50,19607.50,Card,orphan_foreign_key
ORD00026462,CUST9186572,LOC0016,2025-02-21 13:13:07,Dine-in,Completed,,3280.00,0.00,524.80,3804.80,Card,orphan_foreign_key
ORD00026663,CUST0018037,LOC0003,2025-02-21 19:18:10,Website,Completed,,7170.00,0.00,1075.50,8245.50,Online,orphan_foreign_key
ORD00026794,CUST0004437,LOC0011,2025-02-21 21:28:13,Takeaway,Completed,,1195.00,0.00,191.20,1386.20,Wallet,orphan_foreign_key
ORD00026961,CUST0018177,LOC0009,2025-02-22 12:29:26,Takeaway,Cancelled,,4700.00,10750.75,752.00,5452.00,Cash,discount_exceeds_subtotal
ORD00027053,CUST0050134,LOC0016,2031-07-22 20:53:00,ThirdPartyDelivery,Completed,,7400.00,0.00,1184.00,8584.00,Cash,invalid_date
ORD00027060,CUST0034752,LOC0003,2025-02-22 14:07:04,ThirdPartyDelivery,Completed,,8065.00,0.00,1209.75,9274.75,Online,orphan_foreign_key
ORD00027259,CUST0049294,LOC0020,,ThirdPartyDelivery,Completed,,4250.00,0.00,637.50,4887.50,Online,invalid_date
ORD00027293,,LOC0021,2025-02-22 20:45:29,Takeaway,Completed,,3350.00,0.00,502.50,3852.50,Card,missing_value
ORD00027328,,LOC0014,2025-02-22 21:12:18,ThirdPartyDelivery,Completed,,8595.00,0.00,1289.25,9884.25,Cash,missing_value
ORD00027415,CUST0041572,LOC4335,2025-02-22 22:35:14,Takeaway,Completed,,3280.00,0.00,524.80,3804.80,Cash,invalid_restaurant_id
