rating_id,customer_id,item_id,location_id,order_id,rating_value,rating_date,review_text,quarantine_reason
RAT0000444,CUST0018983,ITEM0148,LOC0009,ORD00000548,5,,Highly recommended.,invalid_date
RAT0000446,CUST0017713,,LOC0003,ORD00001156,,2025-01-03,,missing_value
RAT0000450,CUST0042190,ITEM0131,LOC0016,ORD00001332,5,2025-01-03,,orphan_foreign_key
RAT0000455,CUST0014156,,LOC0016,ORD00000973,,2025-01-03,,missing_value
RAT0000466,CUST0044468,,LOC0025,ORD00000888,10,2025-01-03,,invalid_rating
RAT0000469,CUST0015630,ITEM0054,LOC0003,ORD00001259,3,1900-01-01,Decent but overpriced.,invalid_date
RAT0000483,CUST0039298,ITEM0148,LOC0003,ORD00001188,7,2025-01-03,,invalid_rating
RAT0000491,CUST0048156,ITEM0081,LOC0012,ORD00001243,4,,,invalid_date
RAT0000503,CUST0035462,ITEM0033,LOC0002,ORD00001264,3,2025-01-03,,orphan_foreign_key
RAT0000509,CUST0001903,ITEM0113,LOC0013,ORD00000744,5,1900-01-01,,invalid_date
RAT0000510,CUST0000989,ITEM0113,LOC0025,ORD00000879,3,2025-01-03,,orphan_foreign_key
RAT0000516,CUST0034072,ITEM0151,LOC9255,ORD00000439,3,2025-01-03,Good taste but late delivery.,invalid_restaurant_id
RAT0000573,CUST0044759,ITEM0129,LOC0002,ORD00002134,,2025-01-04,,missing_value
RAT0000609,CUST0000989,ITEM0077,LOC0025,ORD00000879,5,2025-01-04,,orphan_foreign_key
RAT0000611,CUST0013971,ITEM0100,LOC0010,ORD00000980,,2025-01-04,Decent but overpriced.,missing_value
RAT0000612,CUST4599135,ITEM0006,LOC0015,ORD00001704,3,2025-01-04,,orphan_foreign_key
RAT0000669,CUST9957863,ITEM0151,LOC0009,ORD00001906,4,2025-01-04,Tasty and fresh.,orphan_foreign_key
RAT0000688,CUST0023305,ITEM0027,LOC0015,ORD00000741,,2025-01-04,"Taste was fine, packaging poor.",missing_value
RAT0000689,CUST0011232,ITEM0057,LOC0020,ORD00002132,4,2025-01-04,,orphan_foreign_key
RAT0000697,CUST0030462,ITEM0143,LOC0013,ORD00001417,5,2025-01-04,Amazing food and friendly staff.,orphan_foreign_key
RAT0000708,CUST0024945,ITEM0050,LOC0007,ORD00001200,4,2025-01-04,,orphan_foreign_key
RAT0000715,CUST0008833,ITEM0160,LOC0013,ORD00000279,,2025-01-04,,missing_value
RAT0000717,CUST0005097,ITEM0148,LOC3335,ORD00002023,4,2025-01-04,,invalid_restaurant_id
RAT0000724,CUST0015204,ITEM0140,LOC8332,ORD00001346,4,2025-01-04,,invalid_restaurant_id
RAT0000748,CUST0028501,ITEM0131,LOC0018,ORD00001980,4,2025-01-04,,orphan_foreign_key
RAT0000764,CUST0032659,,LOC0014,ORD00001545,3,2025-01-04,"Average, nothing special.",orphan_foreign_key
RAT0000803,CUST0042267,ITEM0134,LOC0024,ORD00001033,3,2025-01-04,"Taste was fine, packaging poor.",orphan_foreign_key
RAT0000811,CUST0012449,ITEM0136,LOC0014,ORD00001948,,2025-01-04,"Taste was fine, packaging poor.",missing_value
RAT0000816,CUST0037990,ITEM0149,LOC0007,ORD00001922,3,2025-01-04,"Taste was fine, packaging poor.",orphan_foreign_key
RAT0000817,CUST0015496,,LOC0001,ORD00002006,3,2025-01-04,"Average, nothing special.",orphan_foreign_key
RAT0000823,CUST0024895,ITEM0109,LOC0013,ORD00001060,4,2025-01-04,,orphan_foreign_key
RAT0000825,CUST0023900,,LOC0009,ORD00001514,4,2025-01-04,,orphan_foreign_key
RAT0000849,CUST0052747,ITEM0148,LOC0004,ORD00000742,7,2025-01-04,,invalid_rating
RAT0000866,CUST0027735,,LOC0003,ORD00001869,4,1900-01-01,,invalid_date
RAT0000874,CUST0054807,ITEM0151,LOC0016,ORD00000906,4,2025-01-05,,orphan_foreign_key
RAT0000876,CUST0017220,ITEM0129,LOC0005,ORD00002729,4,2025-01-05,,orphan_foreign_key
RAT0000878,CUST0043344,ITEM0073,LOC0009,ORD00001604,55,2025-01-05,,invalid_rating
RAT0000886,CUST0043232,ITEM0135,LOC0001,ORD00002678,6,2025-01-05,,invalid_rating
RAT0000895,CUST0025041,ITEM0160,LOC0008,ORD00001180,5,2025-01-05,,orphan_foreign_key
RAT0000897,CUST0050761,ITEM0005,LOC0009,ORD00002769,3,2025-01-05,,orphan_foreign_key
RAT0000901,CUST0005583,ITEM0143,LOC0009,ORD00002339,6,2025-01-05,,invalid_rating
RAT0000913,CUST0692776,ITEM0022,LOC0002,ORD00002234,5,2025-01-05,,orphan_foreign_key
RAT0000932,CUST0006569,ITEM0134,LOC0016,ORD00001705,3,2031-07-22,,invalid_date
RAT0000944,CUST0012980,ITEM0068,LOC0007,ORD00002383,,2025-01-05,,missing_value
RAT0000962,CUST0024945,ITEM0146,LOC0007,ORD00001200,4,2025-01-05,,orphan_foreign_key
RAT0000974,CUST0029240,ITEM0148,LOC0014,ORD00002726,5,2025-01-05,,orphan_foreign_key
RAT0000981,CUST0004057,ITEM0066,LOC0008,ORD00002253,55,2025-01-05,,invalid_rating
RAT0000991,CUST0002281,ITEM0138,LOC0004,ORD00002149,4,2025-01-05,,orphan_foreign_key
RAT0000993,CUST3039656,ITEM0135,LOC0025,ORD00000795,4,2025-01-05,"Good food, will order again.",orphan_foreign_key
RAT0001013,CUST0024740,ITEM0046,LOC0024,ORD00001799,2,2025-01-05,,orphan_foreign_key
RAT0001030,CUST0021434,ITEM0034,LOC0008,ORD00000471,4,2031-07-22,,invalid_date
RAT0001032,CUST0002127,,LOC9302,ORD00001735,4,2025-01-05,,invalid_restaurant_id
RAT0001037,CUST0024897,ITEM0112,LOC0020,ORD00000501,4,2025-01-05,,orphan_foreign_key
RAT0001039,CUST0052996,ITEM0048,LOC4800,ORD00000594,5,2025-01-05,,invalid_restaurant_id
RAT0001058,CUST0051962,ITEM0041,LOC0009,ORD00001409,,2025-01-05,Tasty and fresh.,missing_value
RAT0001068,CUST0008813,ITEM0061,LOC0006,ORD00002471,2,2025-01-05,Portion was too small.,orphan_foreign_key
RAT0001072,CUST0020634,ITEM0014,LOC0009,ORD00002619,10,2025-01-05,,invalid_rating
RAT0001079,CUST0052867,ITEM0037,LOC0019,ORD00002139,5,2027-11-05,,invalid_date
RAT0001083,CUST0011232,,LOC0020,ORD00002132,3,2025-01-05,,orphan_foreign_key
RAT0001085,CUST0006151,ITEM0061,LOC0002,ORD00000873,,2025-01-05,,missing_value
RAT0001092,CUST0029827,ITEM0086,LOC1980,ORD00002632,3,2025-01-05,It was okay.,invalid_restaurant_id
RAT0001098,CUST0036430,ITEM0135,LOC0016,ORD00002415,5,2025-01-05,Amazing food and friendly staff.,orphan_foreign_key
RAT0001126,CUST0006428,,LOC0004,ORD00002448,,2025-01-05,,missing_value
RAT0001133,CUST0032659,ITEM0045,LOC0014,ORD00001545,4,2025-01-05,Nice ambience and good service.,orphan_foreign_key
RAT0001143,CUST0024897,ITEM0125,LOC0010,ORD00002423,3,2025-01-05,,orphan_foreign_key
RAT0001146,CUST0020505,ITEM0042,LOC0005,ORD00002759,,2025-01-05,,missing_value
RAT0001166,CUST0019517,ITEM0021,LOC0018,ORD00002620,,2025-01-05,It was okay.,missing_value
RAT0001174,CUST0042295,ITEM0068,LOC0022,ORD00002815,0,2025-01-05,,invalid_rating
RAT0001182,CUST0053473,ITEM0160,LOC0013,ORD00001481,5,2025-01-05,Best in town.,orphan_foreign_key
RAT0001183,CUST0008412,ITEM0046,LOC0018,ORD00002236,3,2025-01-05,,orphan_foreign_key
RAT0001192,CUST0050495,ITEM0048,LOC0012,ORD00002160,5,2025-01-05,Amazing food and friendly staff.,orphan_foreign_key
RAT0001194,CUST0005097,ITEM0129,LOC0005,ORD00002023,4,,"Good food, will order again.",invalid_date
RAT0001210,CUST0034063,ITEM0129,LOC0003,ORD00001263,4,2025-01-06,,orphan_foreign_key
RAT0001217,CUST2735495,ITEM0098,LOC0003,ORD00003165,3,2025-01-06,"Taste was fine, packaging poor.",orphan_foreign_key
RAT0001225,CUST0053613,ITEM0016,LOC0011,ORD00002903,,2025-01-06,"Average, nothing special.",missing_value
RAT0001236,CUST0000989,ITEM0057,LOC0025,ORD00000879,4,2025-01-06,,orphan_foreign_key
RAT0001239,CUST2345975,ITEM0154,LOC0025,ORD00001557,3,2025-01-06,,orphan_foreign_key
RAT0001240,CUST0039441,ITEM0147,LOC0017,ORD00002356,3,2025-01-06,Decent but overpriced.,orphan_foreign_key
RAT0001252,CUST0031286,ITEM0112,LOC0001,ORD00002595,4,2025-01-06,,orphan_foreign_key
RAT0001253,CUST0007897,ITEM0148,LOC7382,ORD00002882,4,2025-01-06,Enjoyed the meal.,invalid_restaurant_id
RAT0001264,CUST0042676,ITEM0086,LOC0018,ORD00002696,2,2025-01-06,,orphan_foreign_key
RAT0001274,CUST0041396,ITEM0018,LOC0011,ORD00003219,,2025-01-06,,missing_value
RAT0001297,CUST0021984,ITEM0153,LOC0022,ORD00002952,2,2025-01-06,Portion was too small.,orphan_foreign_key
RAT0001299,CUST0023627,ITEM0125,LOC0020,ORD00002728,5,1900-01-01,,invalid_date
RAT0001300,CUST0046273,ITEM0057,LOC0013,ORD00002853,,2025-01-06,,missing_value
RAT0001320,CUST0003701,ITEM0005,LOC0019,ORD00002631,4,2025-01-06,,orphan_foreign_key
RAT0001323,CUST0041983,,LOC0016,ORD00002548,4,2025-01-06,"Good food, will order again.",orphan_foreign_key
RAT0001324,CUST0013462,ITEM0062,LOC0009,ORD00003214,6,2025-01-06,,invalid_rating
RAT0001333,CUST0002237,ITEM0148,LOC0025,ORD00003196,4,2025-01-06,,orphan_foreign_key
RAT0001336,CUST0022750,ITEM0088,LOC0018,ORD00002681,3,2025-01-06,,orphan_foreign_key
RAT0001355,CUST0020895,ITEM0141,LOC0002,ORD00000661,2,2025-01-06,,orphan_foreign_key
RAT0001395,CUST0027838,ITEM0054,LOC0005,ORD00003098,5,,,invalid_date
RAT0001396,CUST0021334,ITEM0055,LOC0015,ORD00003167,,2025-01-06,,missing_value
RAT0001397,CUST0054575,ITEM0070,LOC0008,ORD00002898,4,2025-01-06,,orphan_foreign_key
RAT0001404,CUST0014863,ITEM0154,LOC0019,ORD00001283,4,2025-01-06,,orphan_foreign_key
RAT0001410,CUST1303189,ITEM0113,LOC0022,ORD00001346,5,2025-01-06,,orphan_foreign_key
RAT0001414,CUST0008412,ITEM0155,LOC0018,ORD00002236,3,2025-01-06,It was okay.,orphan_foreign_key
RAT0001419,CUST0035735,,LOC0883,ORD00000475,5,2025-01-06,,invalid_restaurant_id
RAT0001422,CUST0039441,ITEM0148,LOC0017,ORD00002356,4,2025-01-06,,orphan_foreign_key
RAT0001424,CUST0018244,ITEM0048,LOC0018,ORD00003105,,2025-01-06,Portion was too small.,missing_value
RAT0001428,CUST0027505,ITEM0134,LOC0004,ORD00003082,5,2025-01-06,Amazing food and friendly staff.,orphan_foreign_key
RAT0001434,CUST0042676,ITEM0044,LOC0018,ORD00002696,4,2025-01-06,,orphan_foreign_key
RAT0001442,CUST0036430,ITEM0018,LOC0016,ORD00002415,5,2025-01-06,,orphan_foreign_key
RAT0001477,CUST0031357,,LOC0005,ORD00003620,,2025-01-07,,missing_value
RAT0001490,CUST0016805,ITEM0002,LOC8441,ORD00003282,4,2025-01-07,,invalid_restaurant_id
RAT0001491,CUST0019303,ITEM0094,LOC0003,ORD00003486,1,,Order was wrong and tasted stale.,invalid_date
RAT0001510,CUST0037609,,LOC0012,ORD00003398,5,2025-01-07,,orphan_foreign_key
RAT0001516,CUST0052543,ITEM0113,LOC0023,ORD00003341,3,2025-01-07,,orphan_foreign_key
RAT0001525,CUST0029216,ITEM0058,LOC0014,ORD00002330,,2025-01-07,Tasty and fresh.,missing_value
RAT0001549,CUST4840844,ITEM0134,LOC0004,ORD00002966,3,2025-01-07,,orphan_foreign_key
RAT0001594,CUST0019155,ITEM0066,LOC0016,ORD00003327,4,2025-01-07,,orphan_foreign_key
RAT0001622,CUST0008357,,LOC0002,ORD00002268,,2025-01-07,,missing_value
RAT0001636,CUST0012286,ITEM0022,LOC0008,ORD00001352,4,2025-01-07,"Good food, will order again.",orphan_foreign_key
RAT0001643,CUST0023060,ITEM0034,LOC0023,ORD00002931,3,2025-01-07,"Taste was fine, packaging poor.",orphan_foreign_key
RAT0001645,CUST0053828,ITEM0147,LOC0014,ORD00003364,-1,2025-01-07,,invalid_rating
RAT0001658,CUST0020368,ITEM0148,LOC0004,ORD00000065,3,2025-01-07,Good taste but late delivery.,orphan_foreign_key
RAT0001674,CUST0034625,ITEM0073,LOC0003,ORD00003418,2,2025-01-07,,orphan_foreign_key
RAT0001678,CUST0001484,ITEM0033,LOC0013,ORD00002890,3,2025-01-07,It was okay.,orphan_foreign_key
RAT0001689,CUST0034405,ITEM0063,LOC2406,ORD00003512,4,2025-01-07,,invalid_restaurant_id
RAT0001690,CUST0046441,ITEM0046,LOC0005,ORD00002854,,2025-01-07,"Good food, will order again.",missing_value
RAT0001700,CUST0006151,,LOC0002,ORD00000873,4,1970-01-01,,invalid_date
RAT0001705,CUST0012671,ITEM0068,LOC0014,ORD00003388,4,2025-01-08,,orphan_foreign_key
RAT0001706,CUST0035561,ITEM0061,LOC0005,ORD00004032,2,2025-01-08,,orphan_foreign_key
RAT0001759,CUST0045153,ITEM0137,LOC0017,ORD00000901,10,2025-01-08,"Taste was fine, packaging poor.",invalid_rating
RAT0001770,CUST0018320,ITEM0040,LOC0016,ORD00002446,4,2025-01-08,,orphan_foreign_key
RAT0001789,CUST0012804,ITEM0134,LOC0020,ORD00003631,4,2025-01-08,,orphan_foreign_key
RAT0001795,CUST0002237,,LOC0025,ORD00003285,3,2025-01-08,,orphan_foreign_key
RAT0001796,CUST0015359,,LOC0013,ORD00000015,5,2025-01-08,,orphan_foreign_key
RAT0001802,CUST0013800,ITEM0090,LOC0018,ORD00003038,-1,2025-01-08,,invalid_rating
RAT0001805,CUST0042596,ITEM0058,LOC0021,ORD00003963,4,2025-01-08,Tasty and fresh.,orphan_foreign_key
RAT0001834,CUST0036781,ITEM0046,LOC0025,ORD00004024,2,2025-01-08,Below average taste.,orphan_foreign_key
RAT0001854,CUST0052809,ITEM0122,LOC0020,ORD00003190,6,2025-01-08,,invalid_rating
RAT0001863,CUST0029803,ITEM0134,LOC0013,ORD00003644,5,2025-01-08,,orphan_foreign_key
RAT0001879,CUST0008319,ITEM0050,LOC0009,ORD00002657,,2025-01-08,,missing_value
RAT0001880,CUST0048664,,LOC0017,ORD00004010,4,,,invalid_date
RAT0001900,CUST0040086,ITEM0045,LOC0018,ORD00003531,4,2025-01-08,"Good food, will order again.",orphan_foreign_key
RAT0001902,CUST0051069,ITEM0134,LOC6223,ORD00000672,4,2025-01-08,,invalid_restaurant_id
RAT0001903,CUST0019043,ITEM0134,LOC0023,ORD00003774,,2025-01-08,Nice ambience and good service.,missing_value
RAT0001917,CUST0038421,ITEM0045,LOC0015,ORD00004183,3,2025-01-09,,orphan_foreign_key
RAT0001935,CUST0028501,ITEM0071,LOC0018,ORD00001980,4,2025-01-09,,orphan_foreign_key
RAT0001988,CUST0021521,ITEM0061,LOC0021,ORD00003948,2,2025-01-09,,orphan_foreign_key
RAT0001998,CUST0029057,,LOC0001,ORD00004568,6,2025-01-09,,invalid_rating
RAT0002004,CUST0014803,ITEM0021,LOC0023,ORD00003520,3,2025-01-09,,orphan_foreign_key
RAT0002030,CUST0042726,ITEM0015,LOC0020,ORD00003467,4,2025-01-09,Good value for money.,orphan_foreign_key
RAT0002032,CUST0049576,ITEM0151,LOC0005,ORD00001910,6,2025-01-09,"Good food, will order again.",invalid_rating
RAT0002060,CUST0034880,ITEM0124,LOC0010,ORD00004211,4,2025-01-09,Enjoyed the meal.,orphan_foreign_key
RAT0002068,CUST0042637,ITEM0109,LOC0020,ORD00004373,3,2025-01-09,,orphan_foreign_key
RAT0002113,CUST0021082,ITEM0067,LOC0007,ORD00004570,3,2025-01-09,,orphan_foreign_key
RAT0002130,CUST0052272,ITEM0068,LOC0020,ORD00004330,4,2025-01-09,Tasty and fresh.,orphan_foreign_key
RAT0002180,CUST0030755,ITEM0048,LOC0003,ORD00004775,3,2025-01-10,Good taste but late delivery.,orphan_foreign_key
RAT0002201,CUST0021082,ITEM0040,LOC0007,ORD00004570,4,2025-01-10,,orphan_foreign_key
RAT0002215,CUST0031236,ITEM0134,LOC5601,ORD00004637,5,2025-01-10,Best in town.,invalid_restaurant_id
RAT0002228,CUST8233304,ITEM0151,LOC0023,ORD00004158,3,2025-01-10,,orphan_foreign_key
RAT0002231,CUST0005306,ITEM0061,LOC0002,ORD00004834,1,2025-01-10,,orphan_foreign_key
RAT0002253,CUST0015359,ITEM0040,LOC0003,ORD00004955,4,2025-01-10,,orphan_foreign_key
RAT0002254,CUST0047041,ITEM0121,LOC4634,ORD00004724,5,2025-01-10,,invalid_restaurant_id
RAT0002277,CUST0041270,ITEM0139,LOC0005,ORD00002411,4,,,invalid_date
RAT0002291,CUST0044006,ITEM0035,LOC0010,ORD00004756,,2025-01-10,,missing_value
RAT0002295,CUST0019155,ITEM0068,LOC0016,ORD00003327,3,2025-01-10,It was okay.,orphan_foreign_key
RAT0002306,CUST0049833,ITEM0055,LOC0003,ORD00005246,4,2025-01-10,,orphan_foreign_key
RAT0002314,CUST0027709,ITEM0060,LOC0004,ORD00004247,4,2025-01-10,,orphan_foreign_key
RAT0002316,CUST0004788,,LOC0003,ORD00005154,5,1900-01-01,"Excellent, loved it!",invalid_date
RAT0002319,CUST0030423,ITEM0121,LOC0001,ORD00004866,,2025-01-10,It was okay.,missing_value
RAT0002321,CUST3461756,ITEM0025,LOC0015,ORD00004542,4,2025-01-10,,orphan_foreign_key
RAT0002338,CUST0015359,ITEM0061,LOC0003,ORD00004955,1,2025-01-10,,orphan_foreign_key
RAT0002341,CUST0030773,,LOC0001,ORD00004288,-1,2025-01-10,,invalid_rating
RAT0002343,CUST0040249,ITEM0083,LOC0022,ORD00004216,5,,Amazing food and friendly staff.,invalid_date
RAT0002346,CUST0038684,ITEM0016,LOC0018,ORD00002672,,2025-01-10,,missing_value
RAT0002348,CUST0021082,ITEM0081,LOC0007,ORD00004570,,2025-01-10,,missing_value
RAT0002362,CUST0012691,ITEM0033,LOC0014,ORD00004982,7,2025-01-10,,invalid_rating
RAT0002367,CUST0049165,ITEM0160,LOC6454,ORD00005082,4,2025-01-10,"Good food, will order again.",invalid_restaurant_id
RAT0002377,CUST0023979,ITEM0155,LOC0012,ORD00004963,55,2025-01-10,,invalid_rating
RAT0002393,CUST9128852,ITEM0089,LOC0018,ORD00004671,4,2025-01-10,,orphan_foreign_key
RAT0002406,CUST0002617,ITEM0046,LOC0008,ORD00002891,3,2025-01-10,,orphan_foreign_key
RAT0002439,CUST0027709,ITEM0133,LOC0004,ORD00004247,3,2025-01-10,,orphan_foreign_key
RAT0002469,CUST0053671,ITEM0088,LOC0011,ORD00004567,4,2025-01-10,,orphan_foreign_key
RAT0002481,CUST0006622,ITEM0061,LOC0006,ORD00004631,2,2025-01-10,Not fresh.,orphan_foreign_key
RAT0002592,CUST0036295,ITEM0016,LOC1217,ORD00005556,2,2025-01-11,Portion was too small.,invalid_restaurant_id
RAT0002593,CUST2076948,ITEM0058,LOC0005,ORD00005758,3,2025-01-11,Decent but overpriced.,orphan_foreign_key
RAT0002594,CUST0040325,ITEM0112,LOC0011,ORD00004841,4,2025-01-11,,orphan_foreign_key
RAT0002599,CUST0030130,ITEM0143,LOC0008,ORD00005141,6,2025-01-11,,invalid_rating
RAT0002600,CUST0052901,ITEM0036,LOC0023,ORD00005819,4,2025-01-11,,orphan_foreign_key
RAT0002619,CUST7185116,ITEM0054,LOC0007,ORD00004510,3,2025-01-11,,orphan_foreign_key
RAT0002635,CUST0023839,,LOC0004,ORD00005867,3,2025-01-11,"Average, nothing special.",orphan_foreign_key
RAT0002636,CUST0026078,ITEM0126,LOC0007,ORD00005662,,2025-01-11,,missing_value
RAT0002648,CUST0047085,,LOC0003,ORD00003780,3,2025-01-11,,orphan_foreign_key
RAT0002652,CUST0047132,ITEM0081,LOC5330,ORD00003571,5,2025-01-11,,invalid_restaurant_id
RAT0002660,CUST0017349,,LOC0008,ORD00005842,5,2025-01-11,"Excellent, loved it!",orphan_foreign_key
RAT0002661,CUST0038866,ITEM0051,LOC0012,ORD00005559,5,2025-01-11,,orphan_foreign_key
RAT0002668,CUST0046838,ITEM0058,LOC0014,ORD00005460,4,2025-01-11,,orphan_foreign_key
RAT0002677,CUST0008837,ITEM0141,LOC0004,ORD00005416,2,2025-01-11,Took too long to arrive.,orphan_foreign_key
RAT0002681,CUST0023369,ITEM0113,LOC0020,ORD00005561,-1,2025-01-11,Enjoyed the meal.,invalid_rating
RAT0002684,CUST0016008,ITEM0148,LOC8864,ORD00005591,3,2025-01-11,,invalid_restaurant_id
RAT0002696,CUST0052901,ITEM0134,LOC0023,ORD00005819,5,2025-01-11,Perfect taste and quick service.,orphan_foreign_key
RAT0002698,CUST0032128,ITEM0157,LOC0005,ORD00004766,3,2025-01-11,,orphan_foreign_key
RAT0002706,CUST0024535,ITEM0073,LOC0009,ORD00003193,2,2025-01-11,,orphan_foreign_key
RAT0002708,CUST0032224,ITEM0040,LOC0017,ORD00005307,3,2025-01-11,It was okay.,orphan_foreign_key
RAT0002710,CUST0031553,ITEM0059,LOC0008,ORD00005390,5,2025-01-11,Perfect taste and quick service.,orphan_foreign_key
RAT0002716,CUST0054718,ITEM0071,LOC0009,ORD00005817,3,2025-01-11,,orphan_foreign_key
RAT0002726,CUST0053473,ITEM0090,LOC0013,ORD00005451,3,2025-01-11,Good taste but late delivery.,orphan_foreign_key
RAT0002729,CUST0003905,ITEM0034,LOC0004,ORD00005652,4,2025-01-11,,orphan_foreign_key
RAT0002761,CUST0015663,ITEM0130,LOC0006,ORD00005802,,2025-01-11,,missing_value
RAT0002780,CUST0008837,ITEM0151,LOC0004,ORD00005416,3,2025-01-11,,orphan_foreign_key
RAT0002791,CUST0052901,ITEM0022,LOC0023,ORD00005819,4,2025-01-11,,orphan_foreign_key
RAT0002793,CUST0017349,ITEM0042,LOC0008,ORD00005842,5,2025-01-11,,orphan_foreign_key
RAT0002805,CUST0015639,ITEM0151,LOC0010,ORD00005519,3,2025-01-11,,orphan_foreign_key
RAT0002823,CUST7095714,,LOC0008,ORD00005372,5,2025-01-12,Perfect taste and quick service.,orphan_foreign_key
RAT0002833,CUST0024897,ITEM0068,LOC0010,ORD00006029,3,2025-01-12,,orphan_foreign_key
RAT0002838,CUST0007311,ITEM0151,LOC0020,ORD00004848,6,2025-01-12,,invalid_rating
RAT0002861,CUST0004957,ITEM0011,LOC0015,ORD00005365,4,2025-01-12,,orphan_foreign_key
RAT0002862,CUST0009206,ITEM0157,LOC0007,ORD00003044,,2025-01-12,,missing_value
RAT0002867,CUST0049618,ITEM0102,LOC0005,ORD00006162,2,2025-01-12,,orphan_foreign_key
RAT0002892,CUST0031251,ITEM0081,LOC0004,ORD00006219,,2025-01-12,,missing_value
RAT0002902,CUST0018240,,LOC0022,ORD00004223,4,2025-01-12,,orphan_foreign_key
RAT0002926,CUST0031642,,LOC0013,ORD00004689,5,2025-01-12,Best in town.,orphan_foreign_key
RAT0002929,CUST0008837,ITEM0045,LOC0004,ORD00005416,2,2025-01-12,,orphan_foreign_key
RAT0002933,CUST0042339,ITEM0124,LOC0002,ORD00006418,,2025-01-12,,missing_value
