order_item_id,order_id,item_id,quantity,unit_price,unit_cost,discount_amount,line_total,quarantine_reason
OI000004631,ORD00000869,ITEM0054,1,1210.00,385.90,0.00,1210.00,orphan_foreign_key
OI000004632,ORD00000869,ITEM0067,1,300.00,102.15,0.00,300.00,orphan_foreign_key
OI000004633,ORD00000869,ITEM0086,2,1300.00,531.95,0.00,2600.00,orphan_foreign_key
OI000004635,ORD00000869,ITEM0148,3,300.00,200.34,0.00,900.00,orphan_foreign_key
OI000004662,ORD25603572,ITEM0045,1,1450.00,570.49,0.00,1450.00,orphan_foreign_key
OI000004685,ORD00000879,ITEM0077,2,750.00,276.70,0.00,1500.00,orphan_foreign_key
OI000004686,ORD00000879,ITEM0085,1,1550.00,614.53,0.00,1550.00,orphan_foreign_key
OI000004689,ORD00000879,ITEM0135,1,100.00,65.34,0.00,100.00,orphan_foreign_key
OI000004710,ORD00000883,ITEM0075,1,600.00,252.86,0.00,600.00,orphan_foreign_key
OI000004768,ORD00000895,ITEM0134,3,,97.79,67.50,382.50,invalid_price
OI000004830,ORD91454324,ITEM0055,2,680.00,217.90,0.00,1360.00,orphan_foreign_key
OI000004840,ORD00000906,ITEM0112,2,300.00,131.51,0.00,600.00,orphan_foreign_key
OI000004879,ORD00000912,ITEM0033,1,850.00,287.18,0.00,850.00,orphan_foreign_key
OI000004883,ORD00000912,ITEM0133,1,170.00,73.21,0.00,170.00,orphan_foreign_key
OI000004964,ORD00000928,,1,480.00,164.43,72.00,408.00,missing_value
OI000005542,ORD00001033,ITEM0048,3,1400.00,543.12,630.00,3570.00,orphan_foreign_key
OI000005543,ORD00001033,ITEM0067,2,300.00,102.15,90.00,510.00,orphan_foreign_key
OI000005544,ORD00001033,ITEM0081,2,1450.00,986.58,435.00,2465.00,orphan_foreign_key
OI000005547,ORD00001033,ITEM0158,2,350.00,143.84,105.00,595.00,orphan_foreign_key
OI000005647,ORD00001053,,3,750.00,305.45,0.00,2250.00,missing_value
OI000005688,ORD00001060,ITEM0109,5,1450.00,490.96,0.00,7250.00,orphan_foreign_key
OI000005690,ORD00001061,ITEM6630,3,1450.00,986.58,0.00,4350.00,orphan_foreign_key
OI000005754,ORD00001072,ITEM0148,2,300.00,200.34,0.00,600.00,orphan_foreign_key
OI000005755,ORD00001072,ITEM0152,3,90.00,36.25,0.00,270.00,orphan_foreign_key
OI000005801,ORD00001081,ITEM0001,2,250.00,88.66,0.00,500.00,orphan_foreign_key
OI000005802,ORD00001081,ITEM0014,2,470.00,172.13,0.00,940.00,orphan_foreign_key
OI000005805,ORD00001081,ITEM0116,2,750.00,128.08,0.00,1500.00,orphan_foreign_key
OI000006155,ORD00001149,ITEM0111,2,250.00,86.44,0.00,500.00,orphan_foreign_key
OI000006157,ORD00001149,ITEM0135,9,100.00,65.34,0.00,900.00,orphan_foreign_key
OI000006254,ORD00001169,,9,250.00,103.07,0.00,2250.00,missing_value
OI000006270,ORD00001172,,1,890.00,295.80,0.00,890.00,missing_value
OI000006297,ORD00001176,,3,350.00,145.91,157.50,892.50,missing_value
OI000006317,ORD00001180,ITEM0068,2,650.00,449.04,195.00,1105.00,orphan_foreign_key
OI000006587,ORD00001234,,1,400.00,140.09,0.00,400.00,missing_value
OI000006625,ORD00001241,ITEM0148,3,300.00,200.34,0.00,900.00,orphan_foreign_key
OI000006664,ORD00001248,ITEM0136,3,450.00,155.29,0.00,1350.00,orphan_foreign_key
OI000006711,ORD00001256,ITEM0046,3,2600.00,1025.48,0.00,7800.00,orphan_foreign_key
OI000006747,ORD00001263,ITEM0058,1,950.00,355.70,0.00,950.00,orphan_foreign_key
OI000006751,ORD00001263,ITEM0137,2,300.00,106.56,0.00,600.00,orphan_foreign_key
OI000006752,ORD00001263,ITEM0149,1,350.00,156.59,0.00,350.00,orphan_foreign_key
OI000006753,ORD00001263,ITEM0152,2,90.00,36.25,0.00,180.00,orphan_foreign_key
OI000006756,ORD00001264,ITEM0041,2,1200.00,476.05,360.00,2040.00,orphan_foreign_key
OI000006757,ORD00001264,ITEM0057,1,650.00,425.65,97.50,552.50,orphan_foreign_key
OI000006765,ORD00001264,ITEM0146,2,550.00,188.38,165.00,935.00,orphan_foreign_key
OI000006848,ORD00001281,ITEM0054,-1,1210.00,385.90,0.00,1210.00,negative_quantity
OI000006863,ORD00001283,ITEM0072,1,750.00,311.14,0.00,750.00,orphan_foreign_key
OI000006940,ORD00001296,ITEM6187,2,100.00,44.23,0.00,200.00,orphan_foreign_key
OI000007049,ORD00001313,ITEM4331,2,1650.00,579.66,0.00,3300.00,orphan_foreign_key
OI000007072,ORD00001319,ITEM0061,2,950.00,345.20,0.00,1900.00,orphan_foreign_key
OI000007075,ORD00001319,ITEM0135,5,100.00,65.34,0.00,500.00,orphan_foreign_key
OI000007137,ORD00001332,ITEM0131,1,350.00,145.91,0.00,350.00,orphan_foreign_key
OI000007245,ORD00001352,ITEM0058,1,950.00,355.70,0.00,950.00,orphan_foreign_key
OI000007248,ORD00001352,ITEM0151,1,60.00,40.23,0.00,60.00,orphan_foreign_key
OI000007403,ORD00001379,ITEM0124,2,180.00,123.74,0.00,360.00,orphan_foreign_key
OI000007518,ORD00001401,ITEM0057,1,650.00,425.65,0.00,650.00,orphan_foreign_key
OI000007735,ORD00001444,ITEM0044,1,1350.00,462.06,202.50,1147.50,orphan_foreign_key
OI000007737,ORD00001444,,1,550.00,230.52,82.50,467.50,missing_value
OI000007740,ORD00001444,ITEM0113,4,470.00,182.39,282.00,1598.00,orphan_foreign_key
OI000007741,ORD00001444,ITEM0160,1,100.00,44.23,15.00,85.00,orphan_foreign_key
OI000007832,ORD00001457,,1,1250.00,526.22,187.50,1062.50,missing_value
OI000007952,ORD00001481,ITEM0057,1,650.00,425.65,0.00,650.00,orphan_foreign_key
OI000008033,ORD00001495,ITEM0033,-1,850.00,287.18,0.00,850.00,negative_quantity
OI000008129,ORD00001514,ITEM0004,1,550.00,205.81,0.00,550.00,orphan_foreign_key
OI000008132,ORD00001514,ITEM0113,2,470.00,182.39,0.00,940.00,orphan_foreign_key
OI000008493,ORD00001581,ITEM0057,-1,650.00,425.65,0.00,650.00,negative_quantity
OI000008541,ORD00001590,ITEM0068,-3,650.00,449.04,292.50,1657.50,negative_quantity
OI000008704,ORD00001624,ITEM0057,-1,650.00,425.65,0.00,650.00,negative_quantity
OI000009106,ORD00001696,ITEM0054,-1,1210.00,385.90,0.00,1210.00,negative_quantity
OI000009141,ORD00001703,,3,220.00,84.83,99.00,561.00,missing_value
OI000009194,ORD00001714,ITEM6346,1,700.00,267.62,0.00,700.00,orphan_foreign_key
OI000009207,ORD00001716,ITEM0048,3,1400.00,543.12,0.00,4200.00,orphan_foreign_key
OI000009307,ORD00001735,ITEM0068,1,650.00,449.04,0.00,650.00,orphan_foreign_key
OI000009308,ORD00001735,ITEM0129,1,550.00,174.84,0.00,550.00,orphan_foreign_key
OI000009309,ORD00001735,ITEM0151,1,60.00,40.23,0.00,60.00,orphan_foreign_key
OI000009311,ORD00001736,ITEM0051,1,650.00,249.59,0.00,650.00,orphan_foreign_key
OI000009314,ORD00001736,ITEM0084,1,1200.00,403.02,0.00,1200.00,orphan_foreign_key
OI000009316,ORD00001736,ITEM0151,3,60.00,40.23,0.00,180.00,orphan_foreign_key
OI000009393,ORD00001751,ITEM0051,-2,650.00,249.59,0.00,1300.00,negative_quantity
OI000009445,ORD00001762,,1,180.00,123.74,0.00,180.00,missing_value
OI000009541,ORD00001783,ITEM0045,1,1450.00,570.49,217.50,1232.50,orphan_foreign_key
OI000009542,ORD60904094,ITEM0086,2,1300.00,531.95,390.00,2210.00,orphan_foreign_key
OI000009543,ORD00001783,ITEM0136,2,450.00,155.29,135.00,765.00,orphan_foreign_key
OI000009565,ORD00001788,ITEM0054,2,1210.00,385.90,363.00,2057.00,orphan_foreign_key
OI000009566,ORD00001788,ITEM0082,1,1500.00,645.85,225.00,1275.00,orphan_foreign_key
OI000009617,ORD00001799,ITEM0003,1,350.00,133.74,0.00,350.00,orphan_foreign_key
OI000009621,ORD00001799,ITEM0046,1,2600.00,1025.48,0.00,2600.00,orphan_foreign_key
OI000009655,ORD00001806,ITEM5994,2,1350.00,591.21,405.00,2295.00,orphan_foreign_key
OI000009938,ORD45811190,ITEM0137,4,300.00,106.56,0.00,1200.00,orphan_foreign_key
OI000010069,ORD00001885,ITEM0033,1,850.00,287.18,0.00,850.00,orphan_foreign_key
OI000010070,ORD00001885,ITEM0066,1,900.00,324.79,0.00,900.00,orphan_foreign_key
OI000010223,ORD00001910,ITEM0141,1,480.00,157.00,0.00,480.00,orphan_foreign_key
OI000010224,ORD77825510,ITEM0151,3,60.00,40.23,0.00,180.00,orphan_foreign_key
OI000010295,ORD00001922,ITEM0055,1,680.00,217.90,102.00,578.00,orphan_foreign_key
OI000010298,ORD00001922,ITEM0150,1,120.00,45.55,18.00,102.00,orphan_foreign_key
OI000010326,ORD00001927,,1,750.00,276.70,0.00,750.00,missing_value
OI000010618,ORD00001980,ITEM0020,4,780.00,303.62,0.00,3120.00,orphan_foreign_key
OI000010622,ORD00001980,ITEM0071,1,650.00,240.39,0.00,650.00,orphan_foreign_key
OI000010623,ORD00001980,ITEM0131,1,350.00,145.91,0.00,350.00,orphan_foreign_key
OI000010700,ORD00001995,ITEM0118,1,700.00,312.06,105.00,595.00,orphan_foreign_key
OI000010767,ORD00002006,ITEM0109,3,1450.00,490.96,0.00,4350.00,orphan_foreign_key
OI000010769,ORD00002006,ITEM0133,2,170.00,73.21,0.00,340.00,orphan_foreign_key
OI000010808,ORD00002013,ITEM0045,-1,1450.00,570.49,0.00,1450.00,negative_quantity
OI000010980,ORD00002043,,1,1450.00,986.58,0.00,1450.00,missing_value
OI000011224,ORD00002090,,2,295.00,115.01,0.00,590.00,missing_value
OI000011313,ORD00002106,,1,580.00,222.66,0.00,580.00,missing_value
OI000011320,ORD00002106,ITEM8180,2,150.00,97.79,0.00,300.00,orphan_foreign_key
OI000011407,ORD00002124,ITEM0066,1,900.00,324.79,0.00,900.00,orphan_foreign_key
OI000011416,ORD00002125,ITEM0055,-1,680.00,217.90,102.00,578.00,negative_quantity
OI000011432,ORD00002128,ITEM0048,2,1400.00,543.12,0.00,2800.00,orphan_foreign_key
OI000011444,ORD00002132,ITEM0057,1,650.00,425.65,0.00,650.00,orphan_foreign_key
OI000011445,ORD00002132,ITEM0060,1,750.00,305.45,0.00,750.00,orphan_foreign_key
OI000011448,ORD00002132,ITEM0152,3,90.00,36.25,0.00,270.00,orphan_foreign_key
OI000011527,ORD00002149,ITEM0052,1,750.00,298.46,0.00,750.00,orphan_foreign_key
OI000011528,ORD00002149,ITEM0138,1,250.00,103.07,0.00,250.00,orphan_foreign_key
OI000011576,ORD00002160,ITEM0012,1,850.00,376.85,0.00,850.00,orphan_foreign_key
OI000011743,ORD00002190,,1,650.00,449.04,0.00,650.00,missing_value
OI000011799,ORD00002201,ITEM2419,1,250.00,86.44,0.00,250.00,orphan_foreign_key
OI000011944,ORD00002229,ITEM0054,-1,1210.00,385.90,0.00,1210.00,negative_quantity
OI000011983,ORD00002236,ITEM0155,1,200.00,88.60,30.00,170.00,orphan_foreign_key
OI000012094,ORD00002257,,2,60.00,40.23,0.00,120.00,missing_value
OI000012167,ORD00002271,ITEM2269,2,550.00,174.84,0.00,1100.00,orphan_foreign_key
OI000012213,ORD00002279,ITEM0046,1,2600.00,1025.48,0.00,2600.00,orphan_foreign_key
OI000012277,ORD00002291,ITEM0019,1,350.00,148.60,52.50,297.50,orphan_foreign_key
OI000012282,ORD00002291,ITEM0137,3,300.00,106.56,135.00,765.00,orphan_foreign_key
OI000012290,ORD00002292,ITEM5241,1,1050.00,377.21,0.00,1050.00,orphan_foreign_key
OI000012628,ORD00002356,ITEM0062,3,750.00,327.59,0.00,2250.00,orphan_foreign_key
OI000012629,ORD00002356,ITEM0077,1,750.00,276.70,0.00,750.00,orphan_foreign_key
OI000012632,ORD00002356,ITEM0148,3,300.00,200.34,0.00,900.00,orphan_foreign_key
OI000012956,ORD00002415,ITEM0021,1,420.00,168.96,0.00,420.00,orphan_foreign_key
OI000012958,ORD00002415,ITEM0135,2,100.00,65.34,0.00,200.00,orphan_foreign_key
OI000013003,ORD00002423,ITEM0125,2,295.00,115.01,0.00,590.00,orphan_foreign_key
OI000013031,ORD00002429,ITEM0068,3,650.00,449.04,0.00,1950.00,orphan_foreign_key
OI000013125,ORD00002447,ITEM0045,2,1450.00,570.49,0.00,2900.00,orphan_foreign_key
OI000013168,ORD00002458,ITEM0023,3,450.00,186.99,202.50,1147.50,orphan_foreign_key
OI000013172,ORD00002458,ITEM0048,1,1400.00,543.12,210.00,1190.00,orphan_foreign_key
OI000013218,ORD41208179,ITEM0084,1,1200.00,403.02,0.00,1200.00,orphan_foreign_key
OI000013242,ORD00002471,ITEM0033,1,850.00,287.18,0.00,850.00,orphan_foreign_key
OI000013245,ORD00002471,ITEM0068,2,650.00,449.04,0.00,1300.00,orphan_foreign_key
OI000013247,ORD00002471,ITEM0155,5,200.00,88.60,0.00,1000.00,orphan_foreign_key
OI000013337,ORD00002488,ITEM0323,1,850.00,287.18,0.00,850.00,orphan_foreign_key
OI000013376,ORD00002495,ITEM0083,1,1650.00,664.65,0.00,1650.00,orphan_foreign_key
OI000013377,ORD00002495,ITEM0139,2,380.00,63.48,0.00,760.00,orphan_foreign_key
OI000013495,ORD00002518,ITEM0121,5,350.00,114.60,0.00,1750.00,orphan_foreign_key
OI000013645,ORD00002548,ITEM0023,2,450.00,186.99,0.00,900.00,orphan_foreign_key
OI000013646,ORD00002548,ITEM0025,1,780.00,320.05,0.00,780.00,orphan_foreign_key
OI000013647,ORD00002548,ITEM0040,1,700.00,247.06,0.00,700.00,orphan_foreign_key
OI000013649,ORD00002548,ITEM0060,2,750.00,305.45,0.00,1500.00,orphan_foreign_key
OI000013890,ORD00002595,ITEM0148,1,300.00,200.34,45.00,255.00,orphan_foreign_key
OI000013987,ORD00002614,ITEM0108,1,1650.00,579.66,0.00,1650.00,orphan_foreign_key
OI000014024,ORD00002621,ITEM0047,2,1550.00,589.90,0.00,3100.00,orphan_foreign_key
OI000014027,ORD00002621,ITEM0067,2,300.00,102.15,0.00,600.00,orphan_foreign_key
OI000014029,ORD00002621,ITEM0151,2,60.00,40.23,0.00,120.00,orphan_foreign_key
OI000014078,ORD00002631,ITEM0082,2,1500.00,645.85,0.00,3000.00,orphan_foreign_key
OI000014080,ORD00002631,ITEM0124,1,180.00,123.74,0.00,180.00,orphan_foreign_key
OI000014144,ORD00002643,ITEM0081,1,1450.00,986.58,0.00,1450.00,orphan_foreign_key
OI000014147,ORD00002644,,1,440.00,139.41,66.00,374.00,missing_value
OI000014226,ORD00002662,,1,180.00,123.74,27.00,153.00,missing_value
OI000014257,ORD00002669,ITEM0022,1,480.00,164.43,72.00,408.00,orphan_foreign_key
OI000014258,ORD00002669,ITEM0058,1,950.00,355.70,142.50,807.50,orphan_foreign_key
OI000014322,ORD00002681,ITEM0075,2,600.00,252.86,180.00,1020.00,orphan_foreign_key
OI000014324,ORD00002681,ITEM0124,1,180.00,123.74,27.00,153.00,orphan_foreign_key
OI000014418,ORD00002696,ITEM0148,3,300.00,200.34,135.00,765.00,orphan_foreign_key
OI000014456,ORD00002706,ITEM0016,1,550.00,202.60,0.00,550.00,orphan_foreign_key
OI000014458,ORD00002706,ITEM0148,2,300.00,200.34,0.00,600.00,orphan_foreign_key
OI000014459,ORD00002706,ITEM0151,2,60.00,40.23,0.00,120.00,orphan_foreign_key
OI000014510,ORD00002716,ITEM0134,2,150.00,97.79,0.00,300.00,orphan_foreign_key
OI000014517,ORD00002717,ITEM0131,2,350.00,145.91,0.00,700.00,orphan_foreign_key
OI000014566,ORD00002726,ITEM0135,1,100.00,65.34,0.00,100.00,orphan_foreign_key
OI000014568,ORD00002726,ITEM0151,2,60.00,40.23,0.00,120.00,orphan_foreign_key
OI000014582,ORD00002729,ITEM0033,2,850.00,287.18,0.00,1700.00,orphan_foreign_key
OI000014584,ORD00002729,ITEM0123,2,300.00,132.18,0.00,600.00,orphan_foreign_key
OI000014698,ORD00002747,ITEM0045,-2,1450.00,570.49,0.00,2900.00,negative_quantity
OI000014813,ORD00002769,ITEM0094,1,1450.00,637.13,217.50,1232.50,orphan_foreign_key
OI000015015,ORD00002806,ITEM0068,2,650.00,449.04,0.00,1300.00,orphan_foreign_key
OI000015346,ORD00002868,ITEM0131,-1,350.00,145.91,0.00,350.00,negative_quantity
OI000015351,ORD00002869,ITEM0157,-4,750.00,296.36,0.00,3000.00,negative_quantity
OI000015364,ORD00002872,ITEM0135,-3,100.00,65.34,0.00,300.00,negative_quantity
OI000015405,ORD00002880,,1,950.00,420.83,0.00,950.00,missing_value
OI000015575,ORD00002907,ITEM0042,1,5500.00,2384.10,825.00,4675.00,orphan_foreign_key
OI000015576,ORD00002907,ITEM0070,1,1350.00,591.21,202.50,1147.50,orphan_foreign_key
OI000015817,ORD00002952,ITEM0153,3,40.00,15.78,0.00,120.00,orphan_foreign_key
OI000016007,ORD00002987,ITEM1370,2,650.00,425.65,0.00,1300.00,orphan_foreign_key
OI000016051,ORD00002994,,1,950.00,355.70,0.00,950.00,missing_value
OI000016054,ORD00002995,ITEM0029,2,890.00,295.80,0.00,1780.00,orphan_foreign_key
OI000016056,ORD00002995,ITEM0153,1,40.00,15.78,0.00,40.00,orphan_foreign_key
OI000016143,ORD00003013,ITEM0137,2,300.00,106.56,0.00,600.00,orphan_foreign_key
OI000016145,ORD00003013,ITEM0147,2,440.00,139.41,0.00,880.00,orphan_foreign_key
OI000016211,ORD29440907,ITEM0064,1,500.00,177.58,75.00,425.00,orphan_foreign_key
OI000016265,ORD00003035,ITEM0151,2,60.00,40.23,0.00,120.00,orphan_foreign_key
OI000016327,ORD00003045,ITEM0049,-1,2450.00,1027.31,367.50,2082.50,negative_quantity
OI000016413,ORD00003060,ITEM0155,2,200.00,88.60,0.00,400.00,orphan_foreign_key
OI000016418,ORD00003062,ITEM0045,2,1450.00,570.49,0.00,2900.00,orphan_foreign_key
OI000016421,ORD00003062,ITEM0063,1,550.00,230.52,0.00,550.00,orphan_foreign_key
OI000016423,ORD00003062,ITEM0077,1,750.00,276.70,0.00,750.00,orphan_foreign_key
OI000016425,ORD00003062,ITEM0093,1,1050.00,377.21,0.00,1050.00,orphan_foreign_key
OI000016621,ORD95802187,ITEM0113,1,470.00,182.39,0.00,470.00,orphan_foreign_key
OI000016833,ORD00003137,ITEM0027,1,400.00,134.87,60.00,340.00,orphan_foreign_key
OI000016834,ORD00003137,ITEM0059,1,700.00,294.46,105.00,595.00,orphan_foreign_key
OI000016846,ORD00003139,,1,500.00,177.58,0.00,500.00,missing_value
OI000017045,ORD00003171,ITEM0022,1,480.00,164.43,0.00,480.00,orphan_foreign_key
OI000017046,ORD00003171,ITEM0046,1,2600.00,1025.48,0.00,2600.00,orphan_foreign_key
OI000017049,ORD00003171,ITEM0081,1,1450.00,986.58,0.00,1450.00,orphan_foreign_key
OI000017052,ORD00003171,ITEM0134,2,150.00,97.79,0.00,300.00,orphan_foreign_key
OI000017053,ORD00003171,ITEM0147,3,440.00,139.41,0.00,1320.00,orphan_foreign_key
OI000017088,ORD00003178,ITEM7003,1,2400.00,796.22,0.00,2400.00,orphan_foreign_key
OI000017101,ORD00003180,ITEM0126,2,150.00,64.34,0.00,300.00,orphan_foreign_key
OI000017136,ORD38314830,ITEM0085,2,1550.00,614.53,0.00,3100.00,orphan_foreign_key
OI000017184,ORD00003193,ITEM0073,1,800.00,313.51,0.00,800.00,orphan_foreign_key
OI000017186,ORD00003193,ITEM0159,1,450.00,181.98,0.00,450.00,orphan_foreign_key
OI000017199,ORD00003196,ITEM0004,1,550.00,205.81,0.00,550.00,orphan_foreign_key
OI000017201,ORD00003196,ITEM0016,2,550.00,202.60,0.00,1100.00,orphan_foreign_key
OI000017207,ORD00003196,ITEM0159,1,450.00,181.98,0.00,450.00,orphan_foreign_key
OI000017307,ORD00003217,ITEM2448,1,150.00,97.79,0.00,150.00,orphan_foreign_key
OI000017317,ORD00003219,ITEM0054,1,1210.00,385.90,181.50,1028.50,orphan_foreign_key
OI000017319,ORD00003219,ITEM0151,3,60.00,40.23,27.00,153.00,orphan_foreign_key
OI000017459,ORD00003249,ITEM0021,2,420.00,168.96,0.00,840.00,orphan_foreign_key
OI000017461,ORD00003249,ITEM0064,1,500.00,177.58,0.00,500.00,orphan_foreign_key
OI000017462,ORD00003249,ITEM0113,2,470.00,182.39,0.00,940.00,orphan_foreign_key
OI000017464,ORD00003249,ITEM0147,2,440.00,139.41,0.00,880.00,orphan_foreign_key
OI000017655,ORD00003285,ITEM0016,3,550.00,202.60,0.00,1650.00,orphan_foreign_key
