wastage_id,item_id,location_id,date,quantity_wasted,unit,cost_of_waste,reason,quarantine_reason
WST0042722,ITEM0016,LOC0002,2025-09-16,1.190,liters,21.08,Spoilage,wastage_exceeds_prepared
WST0032288,ITEM0016,LOC0006,2025-07-18,1.070,liters,7.03,Overproduction,wastage_exceeds_prepared
WST0031597,ITEM0018,LOC0004,,0.020,liters,15.76,Expired,invalid_date
WST0010156,ITEM0020,LOC0001,,0.020,liters,20.24,Overproduction,invalid_date
WST0025028,ITEM0020,LOC0017,2025-06-03,1.600,liters,53.97,Spoilage,wastage_exceeds_prepared
WST0045037,ITEM0023,LOC0001,,1.000,pcs,200.14,Overproduction,invalid_date
WST0051147,ITEM0023,LOC0001,,1.000,pcs,200.14,Spoilage,invalid_date
WST0050676,ITEM0023,LOC0003,2025-11-04,5.000,pcs,200.14,Spoilage,wastage_exceeds_prepared
WST0040536,ITEM0023,LOC0007,2025-09-02,5.000,pcs,200.14,Overproduction,wastage_exceeds_prepared
WST0055644,ITEM0023,LOC0011,1970-01-01,1.000,pcs,200.14,Spoilage,invalid_date
WST0054489,ITEM0023,LOC0013,2025-11-27,4.000,pcs,200.14,Spoilage,wastage_exceeds_prepared
WST0054501,ITEM0023,LOC0015,,1.000,pcs,200.14,Overproduction,invalid_date
WST0029579,ITEM0023,LOC0015,2025-07-01,4.000,pcs,200.14,Spoilage,wastage_exceeds_prepared
WST0034738,ITEM0023,LOC0020,2025-08-01,6.000,pcs,400.28,Spoilage,wastage_exceeds_prepared
WST0028518,ITEM0023,LOC0021,2025-06-24,5.000,pcs,200.14,Expired,wastage_exceeds_prepared
WST0032539,ITEM0023,LOC0022,2025-07-19,5.000,pcs,200.14,Overproduction,wastage_exceeds_prepared
WST0034420,ITEM0023,LOC0025,,1.000,pcs,200.14,Overproduction,invalid_date
WST0037183,ITEM0023,LOC2172,2025-08-15,2.000,pcs,400.28,Overproduction,invalid_restaurant_id
WST0002977,ITEM0023,LOC3879,2025-01-19,1.000,pcs,186.99,Expired,invalid_restaurant_id
WST0040302,ITEM0023,LOC5618,2025-08-31,1.000,pcs,200.14,Overproduction,invalid_restaurant_id
WST0033002,ITEM0023,LOC5996,2025-07-22,3.000,pcs,600.42,Overproduction,invalid_restaurant_id
WST0047968,ITEM0023,LOC7147,2025-10-18,1.000,pcs,200.14,Spoilage,invalid_restaurant_id
WST0056014,ITEM0024,LOC0020,2025-12-06,5.000,pcs,285.28,PrepError,wastage_exceeds_prepared
WST0038322,ITEM0027,LOC0004,2025-08-21,8.000,pcs,144.90,Expired,wastage_exceeds_prepared
WST0009144,ITEM0027,LOC4728,2025-02-26,1.000,pcs,144.90,Expired,invalid_restaurant_id
WST0007955,ITEM0027,LOC7441,2025-02-19,1.000,pcs,144.90,Overproduction,invalid_restaurant_id
WST0035247,ITEM0029,LOC0018,2025-08-04,4.000,pcs,312.12,Overproduction,wastage_exceeds_prepared
WST0033645,ITEM0031,LOC0011,2025-07-26,4.000,pcs,364.08,Overproduction,wastage_exceeds_prepared
WST0025729,ITEM0031,LOC0054,2025-06-07,1.000,pcs,364.08,Expired,invalid_restaurant_id
WST0007282,ITEM0033,LOC0001,2025-02-15,2.170,kg,277.61,Overproduction,wastage_exceeds_prepared
WST0009996,ITEM0033,LOC0001,2025-03-04,8.830,kg,861.54,Expired,wastage_exceeds_prepared
WST0030765,ITEM0033,LOC0003,,0.550,kg,549.67,Expired,invalid_date
WST0038707,ITEM0033,LOC0005,2025-08-23,8.730,kg,1279.23,Overproduction,wastage_exceeds_prepared
WST0057090,ITEM0033,LOC0006,2025-12-13,1.960,kg,91.81,Overproduction,wastage_exceeds_prepared
WST0007023,ITEM0033,LOC0008,2025-02-13,6.340,kg,583.93,Spoilage,wastage_exceeds_prepared
WST0027960,ITEM0033,LOC0009,1900-01-01,0.210,kg,209.87,Overproduction,invalid_date
WST0034659,ITEM0033,LOC0009,2025-08-01,18.240,kg,589.65,Spoilage,wastage_exceeds_prepared
WST0004819,ITEM0033,LOC0009,2031-07-22,0.340,kg,325.47,Spoilage,invalid_date
WST0029239,ITEM0033,LOC0010,1900-01-01,0.320,kg,319.81,Overproduction,invalid_date
WST0040215,ITEM0033,LOC0012,2025-08-31,5.800,kg,1029.38,PrepError,wastage_exceeds_prepared
WST0010423,ITEM0033,LOC0015,2025-03-06,2.430,kg,287.18,CustomerReturn,wastage_exceeds_prepared
WST0039897,ITEM0033,LOC0015,2025-08-29,6.870,kg,309.81,Overproduction,wastage_exceeds_prepared
WST0035807,ITEM0033,LOC0018,2025-08-07,5.700,kg,309.81,Spoilage,wastage_exceeds_prepared
WST0024376,ITEM0033,LOC0019,2025-05-30,4.120,kg,79.95,Overproduction,wastage_exceeds_prepared
WST0016872,ITEM0033,LOC0020,2031-07-22,0.150,kg,149.91,Overproduction,invalid_date
WST0046136,ITEM0033,LOC0021,2025-10-06,1.600,kg,91.81,Overproduction,wastage_exceeds_prepared
WST0031254,ITEM0033,LOC0023,2025-07-11,8.790,kg,149.91,Overproduction,wastage_exceeds_prepared
WST0047770,ITEM0033,LOC0023,2025-10-16,4.720,kg,377.42,Overproduction,wastage_exceeds_prepared
WST0000193,ITEM0033,LOC0025,,0.110,kg,105.30,Overproduction,invalid_date
WST0038097,ITEM0033,LOC0025,,0.350,kg,349.79,Spoilage,invalid_date
WST0022004,ITEM0033,LOC2031,2025-05-16,0.400,kg,399.76,Spoilage,invalid_restaurant_id
WST0029589,ITEM0033,LOC3317,2025-07-01,0.260,kg,259.84,PrepError,invalid_restaurant_id
WST0048236,ITEM0033,LOC4427,2025-10-19,0.010,kg,10.20,Overproduction,invalid_restaurant_id
WST0041809,ITEM0033,LOC7254,2025-09-10,0.080,kg,81.61,Spoilage,invalid_restaurant_id
WST0059968,ITEM0033,LOC7341,2025-12-30,1.000,kg,1020.07,Overproduction,invalid_restaurant_id
WST0036068,ITEM0033,LOC9447,2025-08-09,1.770,kg,1768.94,Overproduction,invalid_restaurant_id
WST0038992,ITEM0033,LOC9600,2025-08-24,0.830,kg,829.50,Spoilage,invalid_restaurant_id
WST0049101,ITEM0034,LOC0007,2025-10-25,1.420,kg,74.28,PrepError,wastage_exceeds_prepared
WST0020771,ITEM0035,LOC0020,,0.050,kg,67.17,Overproduction,invalid_date
WST0003459,ITEM0038,LOC0003,2025-01-22,1.450,kg,139.71,Overproduction,wastage_exceeds_prepared
WST0030523,ITEM0038,LOC0014,,0.030,kg,49.71,Overproduction,invalid_date
WST0013764,ITEM0038,LOC0014,2031-07-22,0.030,kg,49.71,PrepError,invalid_date
WST0014643,ITEM0039,LOC0024,2025-03-31,1.060,kg,15.01,Overproduction,wastage_exceeds_prepared
WST0050550,ITEM0040,LOC0008,2025-11-03,1.860,kg,44.63,PrepError,wastage_exceeds_prepared
WST0018221,ITEM0042,LOC0001,2025-04-23,1.250,kg,332.00,Expired,wastage_exceeds_prepared
WST0054757,ITEM0042,LOC0002,2025-11-29,1.300,kg,432.83,PrepError,wastage_exceeds_prepared
WST0011180,ITEM0042,LOC4931,2025-03-11,0.040,kg,317.88,Expired,invalid_restaurant_id
WST0041810,ITEM0045,LOC0002,2025-09-10,3.060,kg,1119.60,Spoilage,wastage_exceeds_prepared
WST0059931,ITEM0045,LOC0006,,1.000,kg,1191.06,Overproduction,invalid_date
WST0010026,ITEM0045,LOC0006,1970-01-01,0.340,kg,404.96,Overproduction,invalid_date
WST0035734,ITEM0045,LOC0008,2025-08-07,30.310,kg,5026.27,Overproduction,wastage_exceeds_prepared
WST0025991,ITEM0045,LOC0011,2025-06-09,13.440,kg,535.98,Spoilage,wastage_exceeds_prepared
WST0036487,ITEM0045,LOC0012,2099-12-31,2.390,kg,2846.63,Overproduction,invalid_date
WST0000962,ITEM0045,LOC0017,2025-01-06,11.400,kg,490.62,Expired,wastage_exceeds_prepared
WST0018938,ITEM0045,LOC0018,2025-04-27,20.160,kg,1429.27,Spoilage,wastage_exceeds_prepared
WST0039912,ITEM0045,LOC0018,2025-08-29,130.290,kg,15126.46,Expired,wastage_exceeds_prepared
WST0020609,ITEM0045,LOC0020,2025-05-07,9.570,kg,1917.61,Overproduction,wastage_exceeds_prepared
WST0033203,ITEM0045,LOC0021,,1.030,kg,1226.79,Spoilage,invalid_date
WST0000805,ITEM0045,LOC0021,2027-11-05,0.750,kg,855.74,Spoilage,invalid_date
WST0027220,ITEM0045,LOC0021,2027-11-05,1.220,kg,1453.09,Overproduction,invalid_date
WST0024875,ITEM0045,LOC0023,2025-06-02,11.480,kg,1286.34,Overproduction,wastage_exceeds_prepared
WST0052888,ITEM0045,LOC0023,2025-11-17,5.120,kg,774.19,Expired,wastage_exceeds_prepared
WST0027542,ITEM0045,LOC0024,2025-06-18,3.810,kg,988.58,Spoilage,wastage_exceeds_prepared
WST0008373,ITEM0045,LOC0025,1900-01-01,0.640,kg,762.28,Spoilage,invalid_date
WST0058412,ITEM0045,LOC1620,2025-12-21,2.380,kg,2834.72,Overproduction,invalid_restaurant_id
WST0013408,ITEM0045,LOC4537,2025-03-24,0.130,kg,154.84,Overproduction,invalid_restaurant_id
WST0022807,ITEM0045,LOC5159,2025-05-21,0.890,kg,1060.04,Overproduction,invalid_restaurant_id
WST0037714,ITEM0045,LOC5280,2025-08-18,2.230,kg,2656.06,Spoilage,invalid_restaurant_id
WST0048020,ITEM0045,LOC6293,2025-10-18,0.380,kg,452.60,Overproduction,invalid_restaurant_id
WST0005375,ITEM0046,LOC0002,2025-02-03,2.490,kg,762.12,Overproduction,wastage_exceeds_prepared
WST0035502,ITEM0046,LOC0002,2025-08-06,8.110,kg,631.47,Overproduction,wastage_exceeds_prepared
WST0010342,ITEM0046,LOC0003,2025-03-06,9.350,kg,1175.85,Overproduction,wastage_exceeds_prepared
WST0003472,ITEM0046,LOC0005,2025-01-22,6.560,kg,287.13,Spoilage,wastage_exceeds_prepared
WST0027941,ITEM0046,LOC0006,2025-06-21,3.870,kg,1437.15,Overproduction,wastage_exceeds_prepared
WST0052787,ITEM0046,LOC0007,2025-11-17,12.480,kg,1695.96,Overproduction,wastage_exceeds_prepared
WST0021860,ITEM0046,LOC0009,2025-05-15,2.200,kg,936.32,Spoilage,wastage_exceeds_prepared
WST0047872,ITEM0046,LOC0011,,0.230,kg,513.25,Spoilage,invalid_date
WST0002213,ITEM0046,LOC0013,,0.100,kg,205.10,Overproduction,invalid_date
WST0032645,ITEM0046,LOC0013,,1.310,kg,2852.52,Overproduction,invalid_date
WST0025696,ITEM0046,LOC0013,2025-06-07,10.190,kg,217.75,Overproduction,wastage_exceeds_prepared
WST0049786,ITEM0046,LOC0015,2025-10-29,2.380,kg,781.03,Spoilage,wastage_exceeds_prepared
WST0023684,ITEM0046,LOC0016,2025-05-26,8.720,kg,457.28,Overproduction,wastage_exceeds_prepared
WST0033834,ITEM0046,LOC0016,2025-07-27,4.920,kg,609.70,Overproduction,wastage_exceeds_prepared
WST0026573,ITEM0046,LOC0020,2025-06-12,6.970,kg,3396.90,Expired,wastage_exceeds_prepared
WST0021461,ITEM0046,LOC0024,2025-05-12,2.730,kg,1219.40,PrepError,wastage_exceeds_prepared
WST0016902,ITEM0046,LOC0025,,0.340,kg,740.35,Spoilage,invalid_date
WST0048122,ITEM0046,LOC7721,2025-10-19,0.370,kg,825.66,Spoilage,invalid_restaurant_id
WST0008914,ITEM0046,LOC9244,2025-02-25,0.240,kg,522.60,Expired,invalid_restaurant_id
WST0033948,ITEM0047,LOC0010,,0.030,kg,37.64,Spoilage,invalid_date
WST0041730,ITEM0047,LOC0016,2025-09-09,1.690,kg,175.64,Overproduction,wastage_exceeds_prepared
WST0036261,ITEM0048,LOC0007,2025-08-10,20.610,kg,1982.27,Overproduction,wastage_exceeds_prepared
WST0058024,ITEM0048,LOC0007,2025-12-19,23.590,kg,1792.92,PrepError,wastage_exceeds_prepared
WST0020528,ITEM0048,LOC0008,,0.780,kg,893.74,Overproduction,invalid_date
WST0037969,ITEM0048,LOC0008,2025-08-19,15.220,kg,1443.73,Expired,wastage_exceeds_prepared
WST0016971,ITEM0048,LOC0010,2027-11-05,0.490,kg,561.45,PrepError,invalid_date
WST0005000,ITEM0048,LOC0013,2031-07-22,0.560,kg,608.29,Spoilage,invalid_date
WST0009733,ITEM0048,LOC0015,,1.430,kg,1638.52,Spoilage,invalid_date
WST0017349,ITEM0048,LOC0015,2025-04-17,7.960,kg,1443.73,Spoilage,wastage_exceeds_prepared
WST0030859,ITEM0048,LOC0017,2025-07-09,3.630,kg,607.28,Overproduction,wastage_exceeds_prepared
WST0032403,ITEM0048,LOC0023,,0.130,kg,148.96,Spoilage,invalid_date
WST0024707,ITEM0048,LOC0023,2025-06-01,5.510,kg,710.41,Spoilage,wastage_exceeds_prepared
WST0052272,ITEM0048,LOC0024,1970-01-01,0.060,kg,71.72,PrepError,invalid_date
WST0028981,ITEM0048,LOC0024,2025-06-27,1.640,kg,320.83,Spoilage,wastage_exceeds_prepared
WST0037078,ITEM0048,LOC0082,2025-08-14,1.670,kg,1913.52,Overproduction,invalid_restaurant_id
WST0003510,ITEM0048,LOC3948,2025-01-22,0.450,kg,488.81,Spoilage,invalid_restaurant_id
WST0006438,ITEM0048,LOC5437,2025-02-09,0.230,kg,263.54,Spoilage,invalid_restaurant_id
WST0010484,ITEM0048,LOC6359,2025-03-06,1.740,kg,1993.73,Expired,invalid_restaurant_id
WST0026501,ITEM0048,LOC9449,2025-06-12,0.580,kg,664.58,Overproduction,invalid_restaurant_id
WST0046533,ITEM0049,LOC0004,2025-10-09,2.530,kg,543.63,Expired,wastage_exceeds_prepared
WST0035842,ITEM0051,LOC0023,2031-07-22,0.110,kg,58.67,Overproduction,invalid_date
WST0057809,ITEM0053,LOC0022,2099-12-31,0.100,kg,121.15,Expired,invalid_date
WST0035758,ITEM0054,LOC0011,2025-08-07,1.640,kg,155.55,Overproduction,wastage_exceeds_prepared
WST0001640,ITEM0054,LOC0016,2027-11-05,0.100,kg,77.18,Spoilage,invalid_date
WST0032529,ITEM0057,LOC0020,2025-07-19,16.540,kg,55.87,Expired,wastage_exceeds_prepared
WST0004826,ITEM0057,LOC2832,2025-01-30,0.070,kg,74.49,Expired,invalid_restaurant_id
WST0039906,ITEM0058,LOC0016,2025-08-29,7.330,kg,66.25,Expired,wastage_exceeds_prepared
WST0004700,ITEM0058,LOC0017,2025-01-29,2.170,kg,80.03,Expired,wastage_exceeds_prepared
WST0054887,ITEM0059,LOC0022,2025-11-29,7.640,kg,190.73,Spoilage,wastage_exceeds_prepared
WST0048654,ITEM0060,LOC0010,1970-01-01,0.030,kg,24.99,Overproduction,invalid_date
WST0023216,ITEM0060,LOC0019,2025-05-23,1.320,kg,16.17,CustomerReturn,wastage_exceeds_prepared
WST0018082,ITEM0061,LOC0004,,0.110,kg,100.03,Overproduction,invalid_date
WST0046579,ITEM0061,LOC0011,2025-10-09,1.480,kg,100.03,PrepError,wastage_exceeds_prepared
WST0011120,ITEM0063,LOC4636,2025-03-10,0.070,kg,40.34,Overproduction,invalid_restaurant_id
WST0054596,ITEM0064,LOC4121,2025-11-28,0.110,kg,52.56,Overproduction,invalid_restaurant_id
WST0029813,ITEM0065,LOC7070,2025-07-02,0.060,kg,73.37,PrepError,invalid_restaurant_id
WST0051227,ITEM0066,LOC0011,2025-11-07,3.860,kg,275.02,Expired,wastage_exceeds_prepared
WST0008872,ITEM0067,LOC8021,2025-02-25,0.150,kg,38.31,Expired,invalid_restaurant_id
WST0051855,ITEM0068,LOC0014,2025-11-11,12.000,pcs,470.19,Expired,wastage_exceeds_prepared
WST0010858,ITEM0069,LOC9781,2025-03-09,1.000,pcs,391.06,Overproduction,invalid_restaurant_id
WST0056251,ITEM0070,LOC0005,2025-12-08,4.000,pcs,627.42,Overproduction,wastage_exceeds_prepared
WST0019067,ITEM0070,LOC0010,,1.000,pcs,627.42,Overproduction,invalid_date
WST0015172,ITEM0072,LOC0006,2025-04-04,5.000,pcs,332.55,Overproduction,wastage_exceeds_prepared
WST0024420,ITEM0075,LOC0001,2025-05-31,9.000,pcs,269.61,Overproduction,wastage_exceeds_prepared
WST0015845,ITEM0075,LOC0013,2025-04-08,6.000,pcs,269.61,Overproduction,wastage_exceeds_prepared
WST0025301,ITEM0081,LOC0003,2025-06-05,9.000,pcs,2094.88,Overproduction,wastage_exceeds_prepared
WST0024716,ITEM0081,LOC0024,2025-06-01,12.000,pcs,1047.44,PrepError,wastage_exceeds_prepared
WST0040335,ITEM0082,LOC0003,,1.000,pcs,707.81,Spoilage,invalid_date
WST0041962,ITEM0082,LOC0025,2025-09-10,4.000,pcs,707.81,Spoilage,wastage_exceeds_prepared
WST0055794,ITEM0083,LOC1624,2025-12-05,1.000,pcs,701.86,CustomerReturn,invalid_restaurant_id
WST0028036,ITEM0084,LOC0020,2025-06-21,5.000,pcs,425.59,Expired,wastage_exceeds_prepared
WST0044888,ITEM0085,LOC0005,,1.000,pcs,650.03,Overproduction,invalid_date
WST0043725,ITEM0091,LOC0010,2025-09-22,9.000,pcs,724.96,Expired,wastage_exceeds_prepared
WST0002414,ITEM0092,LOC0019,2025-01-15,5.000,pcs,434.13,Expired,wastage_exceeds_prepared
WST0009091,ITEM0093,LOC0015,,1.000,pcs,392.41,Overproduction,invalid_date
WST0006113,ITEM0093,LOC0020,2099-12-31,1.000,pcs,392.41,Overproduction,invalid_date
WST0045241,ITEM0094,LOC0005,,1.000,pcs,716.43,Overproduction,invalid_date
WST0014567,ITEM0094,LOC0010,2025-03-31,4.000,pcs,682.35,Overproduction,wastage_exceeds_prepared
WST0020892,ITEM0094,LOC0013,,1.000,pcs,682.35,Overproduction,invalid_date
WST0002932,ITEM0094,LOC0021,2025-01-18,3.000,pcs,637.13,Overproduction,wastage_exceeds_prepared
WST0009131,ITEM0095,LOC0021,2025-02-26,4.000,pcs,485.13,Overproduction,wastage_exceeds_prepared
WST0049855,ITEM0095,LOC0025,,1.000,pcs,508.41,Overproduction,invalid_date
WST0046413,ITEM0096,LOC0011,2025-10-08,3.000,pcs,298.74,Overproduction,wastage_exceeds_prepared
WST0007931,ITEM0099,LOC0004,2027-11-05,1.000,pcs,471.54,Expired,invalid_date
