wastage_id,item_id,location_id,date,quantity_wasted,unit,cost_of_waste,reason
WST0040871,ITEM0007,LOC0005,2025-09-04,1.000,pcs,711.90,Overproduction
WST0015346,ITEM0007,LOC0006,2025-04-05,1.000,pcs,711.90,Overproduction
WST0019721,ITEM0007,LOC0006,2025-05-02,1.000,pcs,711.90,PrepError
WST0046372,ITEM0007,LOC0006,2025-10-08,1.000,pcs,711.90,Overproduction
WST0051334,ITEM0007,LOC0006,2025-11-08,1.000,pcs,711.90,PrepError
WST0056929,ITEM0007,LOC0006,2025-12-12,1.000,pcs,711.90,PrepError
WST0006176,ITEM0007,LOC0007,2025-02-08,1.000,pcs,711.90,Overproduction
WST0009032,ITEM0007,LOC0007,2025-02-26,1.000,pcs,711.90,PrepError
WST0043538,ITEM0007,LOC0007,2025-09-21,1.000,pcs,711.90,Overproduction
WST0022977,ITEM0007,LOC0009,2025-05-22,1.000,pcs,711.90,Overproduction
WST0033458,ITEM0007,LOC0009,2025-07-25,1.000,pcs,711.90,Overproduction
WST0018110,ITEM0007,LOC0010,2025-04-22,1.000,pcs,711.90,Overproduction
WST0019431,ITEM0007,LOC0010,2025-04-30,1.000,pcs,711.90,Overproduction
WST0015196,ITEM0007,LOC0011,2025-04-04,1.000,pcs,711.90,PrepError
WST0025514,ITEM0007,LOC0011,2025-06-06,1.000,pcs,711.90,Overproduction
WST0041207,ITEM0007,LOC0011,2025-09-06,1.000,pcs,711.90,Overproduction
WST0002205,ITEM0007,LOC0012,2025-01-14,1.000,pcs,664.76,Expired
WST0005440,ITEM0007,LOC0013,2025-02-03,1.000,pcs,711.90,Overproduction
WST0019280,ITEM0007,LOC0013,2025-04-29,1.000,pcs,711.90,Overproduction
WST0036135,ITEM0007,LOC0014,2025-08-09,1.000,pcs,711.90,Expired
WST0010594,ITEM0007,LOC0015,2025-03-07,1.000,pcs,711.90,Spoilage
WST0035949,ITEM0007,LOC0015,2025-08-08,1.000,pcs,711.90,Expired
WST0052369,ITEM0007,LOC0015,2025-11-14,1.000,pcs,711.90,Expired
WST0008325,ITEM0007,LOC0017,2025-02-21,1.000,pcs,711.90,Overproduction
WST0008764,ITEM0007,LOC0017,2025-02-24,1.000,pcs,711.90,Spoilage
WST0017515,ITEM0007,LOC0017,2025-04-18,1.000,pcs,711.90,CustomerReturn
WST0057622,ITEM0007,LOC0018,2025-12-16,1.000,pcs,711.90,Overproduction
WST0010116,ITEM0007,LOC0019,2025-03-04,1.000,pcs,711.90,Overproduction
WST0032195,ITEM0007,LOC0019,2025-07-17,1.000,pcs,711.90,Overproduction
WST0040097,ITEM0007,LOC0019,2025-08-30,1.000,pcs,711.90,Expired
WST0038063,ITEM0007,LOC0021,2025-08-19,1.000,pcs,711.90,Expired
WST0046139,ITEM0007,LOC0022,2025-10-06,1.000,pcs,711.90,Expired
WST0055381,ITEM0007,LOC0022,2025-12-02,1.000,pcs,711.90,Overproduction
WST0052424,ITEM0007,LOC0023,2025-11-14,1.000,pcs,711.90,PrepError
WST0052729,ITEM0007,LOC0023,2025-11-16,1.000,pcs,711.90,Spoilage
WST0002276,ITEM0007,LOC0024,2025-01-14,1.000,pcs,664.76,Overproduction
WST0006445,ITEM0007,LOC0024,2025-02-09,1.000,pcs,711.90,CustomerReturn
WST0003947,ITEM0007,LOC0025,2025-01-24,1.000,pcs,664.76,Overproduction
WST0029647,ITEM0007,LOC0025,2025-07-01,1.000,pcs,711.90,Overproduction
WST0050673,ITEM0008,LOC0002,2025-11-04,1.000,pcs,165.58,Overproduction
WST0019029,ITEM0008,LOC0005,2025-04-28,1.000,pcs,157.77,Overproduction
WST0030286,ITEM0008,LOC0005,2025-07-06,1.000,pcs,157.77,Expired
WST0055102,ITEM0008,LOC0005,2025-12-01,1.000,pcs,165.58,Expired
WST0025329,ITEM0008,LOC0007,2025-06-05,1.000,pcs,157.77,Overproduction
WST0029548,ITEM0008,LOC0011,2025-07-01,1.000,pcs,157.77,Expired
WST0002206,ITEM0008,LOC0012,2025-01-14,1.000,pcs,146.52,Expired
WST0007514,ITEM0008,LOC0012,2025-02-16,1.000,pcs,157.77,Spoilage
WST0048831,ITEM0008,LOC0012,2025-10-23,1.000,pcs,165.58,Expired
WST0056137,ITEM0008,LOC0012,2025-12-07,1.000,pcs,165.58,Spoilage
WST0005623,ITEM0008,LOC0013,2025-02-04,1.000,pcs,157.77,Overproduction
WST0054998,ITEM0008,LOC0014,2025-11-30,1.000,pcs,165.58,Overproduction
WST0002895,ITEM0008,LOC0016,2025-01-18,1.000,pcs,146.52,Overproduction
WST0025020,ITEM0008,LOC0016,2025-06-03,1.000,pcs,157.77,Expired
WST0003557,ITEM0008,LOC0017,2025-01-22,1.000,pcs,146.52,Overproduction
WST0006243,ITEM0008,LOC0018,2025-02-08,1.000,pcs,157.77,Overproduction
WST0005665,ITEM0008,LOC0020,2025-02-04,1.000,pcs,157.77,Expired
WST0051587,ITEM0008,LOC0020,2025-11-09,1.000,pcs,165.58,Overproduction
WST0013272,ITEM0008,LOC0022,2025-03-23,1.000,pcs,157.77,Overproduction
WST0016884,ITEM0008,LOC0022,2025-04-14,1.000,pcs,157.77,Overproduction
WST0008066,ITEM0009,LOC0001,2025-02-20,1.000,pcs,178.25,Overproduction
WST0058163,ITEM0009,LOC0002,2025-12-20,1.000,pcs,185.03,Spoilage
WST0024116,ITEM0009,LOC0003,2025-05-29,1.000,pcs,178.25,PrepError
WST0028863,ITEM0009,LOC0003,2025-06-27,1.000,pcs,178.25,Spoilage
WST0043696,ITEM0009,LOC0005,2025-09-22,1.000,pcs,185.03,Overproduction
WST0000885,ITEM0009,LOC0006,2025-01-06,1.000,pcs,166.20,CustomerReturn
WST0014383,ITEM0009,LOC0006,2025-03-30,1.000,pcs,178.25,Overproduction
WST0001076,ITEM0009,LOC0007,2025-01-07,1.000,pcs,166.20,Overproduction
WST0013719,ITEM0009,LOC0009,2025-03-26,1.000,pcs,178.25,CustomerReturn
WST0046574,ITEM0009,LOC0011,2025-10-09,1.000,pcs,185.03,Expired
WST0009246,ITEM0009,LOC0012,2025-02-27,1.000,pcs,178.25,Expired
WST0045778,ITEM0009,LOC0013,2025-10-04,1.000,pcs,185.03,CustomerReturn
WST0031999,ITEM0009,LOC0014,2025-07-16,1.000,pcs,178.25,CustomerReturn
WST0033819,ITEM0009,LOC0014,2025-07-27,1.000,pcs,178.25,Overproduction
WST0039172,ITEM0009,LOC0017,2025-08-25,1.000,pcs,178.25,Expired
WST0032031,ITEM0009,LOC0018,2025-07-16,1.000,pcs,178.25,Overproduction
WST0002598,ITEM0009,LOC0021,2025-01-16,1.000,pcs,166.20,CustomerReturn
WST0019819,ITEM0009,LOC0024,2025-05-02,1.000,pcs,178.25,CustomerReturn
WST0045026,ITEM0009,LOC0025,2025-09-29,1.000,pcs,185.03,Expired
WST0059537,ITEM0009,LOC0025,2025-12-27,1.000,pcs,185.03,CustomerReturn
WST0033478,ITEM0010,LOC0011,2025-07-25,1.000,pcs,552.35,Expired
WST0055538,ITEM0010,LOC0018,2025-12-03,1.000,pcs,568.66,Overproduction
WST0047933,ITEM0010,LOC0020,2025-10-17,1.000,pcs,568.66,Expired
WST0051607,ITEM0010,LOC0024,2025-11-09,1.000,pcs,568.66,Overproduction
WST0007448,ITEM0011,LOC0002,2025-02-16,1.000,pcs,332.30,Overproduction
WST0052119,ITEM0011,LOC0002,2025-11-13,1.000,pcs,340.59,Overproduction
WST0028584,ITEM0011,LOC0007,2025-06-25,1.000,pcs,332.30,Expired
WST0045260,ITEM0011,LOC0009,2025-10-01,1.000,pcs,340.59,Spoilage
WST0029560,ITEM0011,LOC0012,2025-07-01,1.000,pcs,332.30,Overproduction
WST0052511,ITEM0011,LOC0012,2025-11-15,1.000,pcs,340.59,CustomerReturn
WST0036303,ITEM0011,LOC0013,2025-08-10,1.000,pcs,332.30,PrepError
WST0056805,ITEM0011,LOC0013,2025-12-11,1.000,pcs,340.59,Overproduction
WST0018165,ITEM0011,LOC0018,2025-04-22,1.000,pcs,332.30,Overproduction
WST0010943,ITEM0011,LOC0020,2025-03-09,1.000,pcs,332.30,Overproduction
WST0003099,ITEM0011,LOC0021,2025-01-19,1.000,pcs,319.15,Spoilage
WST0017542,ITEM0011,LOC0021,2025-04-18,1.000,pcs,332.30,Overproduction
WST0055562,ITEM0011,LOC0022,2025-12-03,1.000,pcs,340.59,Overproduction
WST0031405,ITEM0011,LOC0024,2025-07-12,1.000,pcs,332.30,PrepError
WST0035845,ITEM0011,LOC0024,2025-08-07,1.000,pcs,332.30,Overproduction
WST0008989,ITEM0012,LOC0001,2025-02-26,1.000,pcs,402.60,Expired
WST0001033,ITEM0012,LOC0002,2025-01-07,1.000,pcs,376.85,Expired
WST0033908,ITEM0012,LOC0003,2025-07-28,1.000,pcs,402.60,PrepError
WST0034790,ITEM0012,LOC0003,2025-08-02,1.000,pcs,402.60,Expired
WST0056092,ITEM0012,LOC0006,2025-12-07,1.000,pcs,402.60,Expired
WST0042150,ITEM0012,LOC0009,2025-09-12,1.000,pcs,402.60,Overproduction
WST0038375,ITEM0012,LOC0011,2025-08-21,1.000,pcs,402.60,Expired
WST0002556,ITEM0012,LOC0013,2025-01-16,1.000,pcs,376.85,Spoilage
WST0043279,ITEM0012,LOC0016,2025-09-19,1.000,pcs,402.60,Expired
WST0048051,ITEM0012,LOC0016,2025-10-18,1.000,pcs,402.60,CustomerReturn
WST0017009,ITEM0012,LOC0018,2025-04-15,1.000,pcs,402.60,CustomerReturn
WST0040255,ITEM0012,LOC0018,2025-08-31,1.000,pcs,402.60,CustomerReturn
WST0028033,ITEM0012,LOC0020,2025-06-21,1.000,pcs,402.60,Overproduction
WST0054165,ITEM0012,LOC0020,2025-11-25,1.000,pcs,402.60,PrepError
WST0044506,ITEM0012,LOC0022,2025-09-26,1.000,pcs,402.60,Overproduction
WST0006957,ITEM0012,LOC0023,2025-02-12,1.000,pcs,402.60,Spoilage
WST0040689,ITEM0013,LOC0006,2025-09-03,1.000,pcs,179.48,Overproduction
WST0051361,ITEM0013,LOC0010,2025-11-08,1.000,pcs,179.48,Overproduction
WST0055006,ITEM0013,LOC0015,2025-11-30,1.000,pcs,179.48,Overproduction
WST0021902,ITEM0013,LOC0016,2025-05-15,1.000,pcs,179.48,Overproduction
WST0044296,ITEM0013,LOC0016,2025-09-25,1.000,pcs,179.48,Overproduction
WST0023697,ITEM0013,LOC0018,2025-05-26,1.000,pcs,179.48,PrepError
WST0044675,ITEM0013,LOC0021,2025-09-27,1.000,pcs,179.48,Overproduction
WST0059881,ITEM0013,LOC0024,2025-12-29,1.000,pcs,179.48,Expired
WST0043252,ITEM0014,LOC0012,2025-09-19,0.010,liters,6.00,Spoilage
WST0054999,ITEM0014,LOC0014,2025-11-30,0.110,liters,66.00,Overproduction
WST0013229,ITEM0014,LOC0015,2025-03-23,0.040,liters,24.00,PrepError
WST0028344,ITEM0014,LOC0020,2025-06-23,0.080,liters,48.00,Spoilage
WST0022373,ITEM0014,LOC0021,2025-05-18,0.040,liters,24.00,Expired
WST0026910,ITEM0014,LOC0025,2025-06-14,0.010,liters,6.00,Overproduction
WST0028222,ITEM0015,LOC0001,2025-06-23,0.020,liters,12.31,Overproduction
WST0048584,ITEM0015,LOC0001,2025-10-22,0.040,liters,24.61,Spoilage
WST0037707,ITEM0015,LOC0002,2025-08-18,0.050,liters,30.77,Overproduction
WST0031109,ITEM0015,LOC0003,2025-07-11,0.060,liters,36.92,Overproduction
WST0026647,ITEM0015,LOC0006,2025-06-13,0.040,liters,24.61,Expired
WST0015176,ITEM0015,LOC0007,2025-04-04,0.060,liters,36.92,Spoilage
WST0054452,ITEM0015,LOC0008,2025-11-27,0.010,liters,6.15,Spoilage
WST0055295,ITEM0015,LOC0010,2025-12-02,0.020,liters,12.31,Expired
WST0041420,ITEM0015,LOC0018,2025-09-07,0.030,liters,18.46,PrepError
WST0029120,ITEM0015,LOC0019,2025-06-28,0.010,liters,6.15,Overproduction
WST0042087,ITEM0015,LOC0024,2025-09-11,0.020,liters,12.31,Spoilage
WST0009492,ITEM0016,LOC0001,2025-03-01,0.020,liters,13.51,Overproduction
WST0017750,ITEM0016,LOC0003,2025-04-20,0.010,liters,7.03,PrepError
WST0020486,ITEM0016,LOC0003,2025-05-07,0.040,liters,28.11,Overproduction
WST0011508,ITEM0016,LOC0005,2025-03-13,0.020,liters,13.51,PrepError
WST0028414,ITEM0016,LOC0005,2025-06-24,0.020,liters,14.06,Overproduction
WST0035335,ITEM0016,LOC0005,2025-08-05,0.020,liters,14.06,Spoilage
WST0021681,ITEM0016,LOC0006,2025-05-14,0.010,liters,7.03,Overproduction
WST0052314,ITEM0016,LOC0006,2025-11-14,0.030,liters,21.08,Overproduction
WST0009866,ITEM0016,LOC0009,2025-03-03,0.020,liters,13.51,CustomerReturn
WST0031003,ITEM0016,LOC0010,2025-07-10,0.010,liters,7.03,PrepError
WST0045271,ITEM0016,LOC0010,2025-10-01,0.010,liters,7.03,PrepError
WST0052000,ITEM0016,LOC0012,2025-11-12,0.020,liters,14.06,Spoilage
WST0010910,ITEM0016,LOC0015,2025-03-09,0.040,liters,27.01,Overproduction
WST0045465,ITEM0016,LOC0015,2025-10-02,0.020,liters,14.06,Overproduction
WST0052527,ITEM0016,LOC0015,2025-11-15,0.040,liters,28.11,Spoilage
WST0031057,ITEM0016,LOC0017,2025-07-10,0.010,liters,7.03,Overproduction
WST0001938,ITEM0016,LOC0020,2025-01-12,0.020,liters,13.51,Spoilage
WST0003755,ITEM0016,LOC0020,2025-01-23,0.040,liters,27.01,Expired
WST0016223,ITEM0016,LOC0020,2025-04-10,0.020,liters,14.06,Spoilage
WST0034380,ITEM0016,LOC0020,2025-07-30,0.010,liters,7.03,Spoilage
WST0009336,ITEM0016,LOC0024,2025-02-27,0.010,liters,6.75,Expired
WST0019820,ITEM0016,LOC0024,2025-05-02,0.050,liters,35.14,Overproduction
WST0029170,ITEM0016,LOC0025,2025-06-28,0.010,liters,7.03,Spoilage
WST0032264,ITEM0017,LOC0003,2025-07-18,0.010,liters,9.74,Overproduction
WST0053888,ITEM0017,LOC0003,2025-11-24,0.010,liters,9.74,Overproduction
WST0039081,ITEM0017,LOC0005,2025-08-25,0.050,liters,48.72,Spoilage
WST0054443,ITEM0017,LOC0006,2025-11-27,0.020,liters,19.49,Spoilage
WST0051215,ITEM0017,LOC0010,2025-11-07,0.020,liters,19.49,Overproduction
WST0020563,ITEM0017,LOC0013,2025-05-07,0.010,liters,9.74,Overproduction
WST0028792,ITEM0017,LOC0013,2025-06-26,0.010,liters,9.74,Overproduction
WST0003725,ITEM0017,LOC0015,2025-01-23,0.010,liters,9.32,Overproduction
WST0027822,ITEM0017,LOC0015,2025-06-20,0.020,liters,19.49,Overproduction
WST0049444,ITEM0017,LOC0015,2025-10-27,0.020,liters,19.49,Spoilage
WST0008756,ITEM0017,LOC0016,2025-02-24,0.020,liters,18.65,Expired
WST0053980,ITEM0017,LOC0016,2025-11-24,0.010,liters,9.74,Spoilage
WST0027524,ITEM0017,LOC0021,2025-06-18,0.020,liters,19.49,Overproduction
WST0045164,ITEM0017,LOC0021,2025-09-30,0.020,liters,19.49,Spoilage
WST0050333,ITEM0017,LOC0024,2025-11-01,0.010,liters,9.74,Overproduction
WST0027247,ITEM0018,LOC0001,2025-06-17,0.010,liters,7.88,CustomerReturn
WST0004429,ITEM0018,LOC0003,2025-01-28,0.150,liters,111.33,Spoilage
WST0056604,ITEM0018,LOC0008,2025-12-10,0.050,liters,39.39,Expired
WST0049115,ITEM0018,LOC0009,2025-10-25,0.130,liters,102.41,Spoilage
WST0039503,ITEM0018,LOC0010,2025-08-27,0.020,liters,15.76,Spoilage
WST0046404,ITEM0018,LOC0010,2025-10-08,0.030,liters,23.63,Overproduction
WST0005602,ITEM0018,LOC0011,2025-02-04,0.020,liters,14.84,Expired
WST0035924,ITEM0018,LOC0011,2025-08-08,0.020,liters,15.76,Overproduction
WST0033488,ITEM0018,LOC0012,2025-07-25,0.030,liters,23.63,PrepError
WST0038937,ITEM0018,LOC0012,2025-08-24,0.020,liters,15.76,Overproduction
WST0028466,ITEM0018,LOC0013,2025-06-24,0.030,liters,23.63,Overproduction
WST0034869,ITEM0018,LOC0014,2025-08-02,0.030,liters,23.63,PrepError
WST0001631,ITEM0018,LOC0015,2025-01-10,0.050,liters,37.11,Expired
WST0030870,ITEM0018,LOC0019,2025-07-09,0.090,liters,70.90,Overproduction
WST0048552,ITEM0018,LOC0020,2025-10-21,0.010,liters,7.88,Overproduction
WST0026888,ITEM0018,LOC0021,2025-06-14,0.020,liters,15.76,Spoilage
WST0000829,ITEM0018,LOC0024,2025-01-05,0.020,liters,14.84,Overproduction
WST0028848,ITEM0018,LOC0025,2025-06-26,0.010,liters,7.88,Overproduction
WST0030138,ITEM0019,LOC0001,2025-07-05,0.040,liters,20.65,Overproduction
WST0006477,ITEM0019,LOC0004,2025-02-10,0.060,liters,29.72,Overproduction
WST0026450,ITEM0019,LOC0005,2025-06-12,0.060,liters,30.97,Expired
WST0022811,ITEM0019,LOC0009,2025-05-21,0.030,liters,15.48,CustomerReturn
WST0056447,ITEM0019,LOC0009,2025-12-09,0.040,liters,20.65,Spoilage
WST0027297,ITEM0019,LOC0010,2025-06-17,0.020,liters,10.32,Overproduction
WST0008289,ITEM0019,LOC0011,2025-02-21,0.030,liters,14.86,Overproduction
WST0029888,ITEM0019,LOC0011,2025-07-03,0.010,liters,5.16,Overproduction
WST0051681,ITEM0019,LOC0011,2025-11-10,0.110,liters,56.77,Overproduction
WST0001612,ITEM0019,LOC0012,2025-01-10,0.030,liters,14.86,PrepError
WST0004664,ITEM0019,LOC0012,2025-01-29,0.050,liters,24.77,PrepError
WST0044931,ITEM0019,LOC0012,2025-09-29,0.080,liters,41.29,Spoilage
WST0055484,ITEM0019,LOC0012,2025-12-03,0.040,liters,20.65,Spoilage
WST0002418,ITEM0019,LOC0020,2025-01-15,0.010,liters,4.95,PrepError
WST0019344,ITEM0019,LOC0022,2025-04-29,0.030,liters,15.48,Expired
WST0049531,ITEM0020,LOC0003,2025-10-28,0.090,liters,97.15,Expired
WST0058690,ITEM0020,LOC0005,2025-12-23,0.020,liters,21.59,PrepError
WST0054265,ITEM0020,LOC0008,2025-11-26,0.090,liters,97.15,Expired
WST0002029,ITEM0020,LOC0009,2025-01-13,0.050,liters,50.60,Overproduction
WST0025153,ITEM0020,LOC0009,2025-06-04,0.050,liters,53.97,Spoilage
WST0015989,ITEM0020,LOC0010,2025-04-09,0.040,liters,43.18,Overproduction
WST0028291,ITEM0020,LOC0011,2025-06-23,0.060,liters,64.76,Overproduction
WST0043743,ITEM0020,LOC0012,2025-09-22,0.060,liters,64.76,Spoilage
WST0051524,ITEM0020,LOC0012,2025-11-09,0.090,liters,97.15,Overproduction
WST0027335,ITEM0020,LOC0016,2025-06-17,0.010,liters,10.79,Expired
WST0048544,ITEM0020,LOC0019,2025-10-21,0.040,liters,43.18,PrepError
WST0015102,ITEM0020,LOC0021,2025-04-03,0.030,liters,32.38,Overproduction
WST0024883,ITEM0020,LOC0024,2025-06-02,0.050,liters,53.97,Overproduction
WST0032551,ITEM0020,LOC0024,2025-07-19,0.010,liters,10.79,Expired
WST0041786,ITEM0020,LOC0024,2025-09-09,0.030,liters,32.38,Spoilage
WST0010817,ITEM0021,LOC0001,2025-03-09,0.070,liters,39.42,Overproduction
WST0016271,ITEM0021,LOC0001,2025-04-11,0.080,liters,47.93,PrepError
WST0023417,ITEM0021,LOC0001,2025-05-25,0.040,liters,23.97,Overproduction
WST0057846,ITEM0021,LOC0004,2025-12-18,0.210,liters,129.29,Overproduction
WST0001092,ITEM0021,LOC0009,2025-01-07,0.010,liters,5.63,PrepError
WST0024971,ITEM0021,LOC0010,2025-06-03,0.040,liters,23.97,Overproduction
WST0027460,ITEM0021,LOC0011,2025-06-18,0.010,liters,5.99,Overproduction
WST0026005,ITEM0021,LOC0013,2025-06-09,0.080,liters,47.93,Spoilage
WST0001459,ITEM0021,LOC0014,2025-01-09,0.020,liters,11.26,Expired
WST0038784,ITEM0021,LOC0015,2025-08-23,0.030,liters,17.97,Spoilage
WST0042647,ITEM0021,LOC0016,2025-09-15,0.060,liters,36.94,CustomerReturn
