price_id,item_id,location_id,price,cost,effective_start_date,effective_end_date,change_reason
PRC00137,ITEM0029,,890.00,295.80,2024-07-01,2025-01-31,menu revision
PRC00138,ITEM0029,,950.00,312.12,2025-02-01,,inflation
PRC00139,ITEM0029,LOC0003,1030.00,312.12,2025-03-01,,location premium
PRC00140,ITEM0029,LOC0006,1030.00,312.12,2025-03-01,,location premium
PRC00141,ITEM0029,LOC0009,1030.00,312.12,2025-03-01,,location premium
PRC00142,ITEM0029,LOC0014,1030.00,312.12,2025-03-01,,location premium
PRC00143,ITEM0029,LOC0018,1030.00,312.12,2025-03-01,,location premium
PRC00144,ITEM0029,LOC0024,1030.00,312.12,2025-03-01,,location premium
PRC00145,ITEM0029,LOC0025,1030.00,312.12,2025-03-01,,location premium
PRC00146,ITEM0030,,250.00,103.59,2024-07-01,2025-01-31,menu revision
PRC00147,ITEM0030,,265.00,110.76,2025-02-01,,inflation
PRC00148,ITEM0030,LOC0003,285.00,110.76,2025-03-01,,location premium
PRC00149,ITEM0030,LOC0006,285.00,110.76,2025-03-01,,location premium
PRC00150,ITEM0030,LOC0009,285.00,110.76,2025-03-01,,location premium
PRC00151,ITEM0030,LOC0014,285.00,110.76,2025-03-01,,location premium
PRC00152,ITEM0030,LOC0018,285.00,110.76,2025-03-01,,location premium
PRC00153,ITEM0030,LOC0024,285.00,110.76,2025-03-01,,location premium
PRC00154,ITEM0030,LOC0025,285.00,110.76,2025-03-01,,location premium
PRC00155,ITEM0031,,990.00,364.08,2025-03-10,2025-03-30,introductory price
PRC00156,ITEM0031,,1100.00,364.08,2025-03-31,,introductory offer ended
PRC00157,ITEM0031,LOC0003,1070.00,364.08,2025-03-10,2025-03-30,location premium
PRC00158,ITEM0031,LOC0003,1190.00,364.08,2025-03-31,,location premium
PRC00159,ITEM0031,LOC0006,1070.00,364.08,2025-03-10,2025-03-30,location premium
PRC00160,ITEM0031,LOC0006,1190.00,364.08,2025-03-31,,location premium
PRC00161,ITEM0031,LOC0009,1070.00,364.08,2025-03-10,2025-03-30,location premium
PRC00162,ITEM0031,LOC0009,1190.00,364.08,2025-03-31,,location premium
PRC00163,ITEM0031,LOC0014,1070.00,364.08,2025-03-10,2025-03-30,location premium
PRC00164,ITEM0031,LOC0014,1190.00,364.08,2025-03-31,,location premium
PRC00166,ITEM0031,LOC0018,1190.00,364.08,2025-03-31,,location premium
PRC00167,ITEM0031,LOC0024,1070.00,364.08,2025-03-10,2025-03-30,location premium
PRC00168,ITEM0031,LOC0024,1190.00,364.08,2025-03-31,,location premium
PRC00169,ITEM0031,LOC0025,1070.00,364.08,2025-03-10,2025-03-30,location premium
PRC00170,ITEM0031,LOC0025,1190.00,364.08,2025-03-31,,location premium
PRC00171,ITEM0032,,750.00,331.25,2024-07-01,2025-03-14,menu revision
PRC00172,ITEM0032,,780.00,356.48,2025-03-15,,inflation
PRC00173,ITEM0032,LOC0003,810.00,331.25,2025-03-01,2025-03-14,location premium
PRC00174,ITEM0032,LOC0003,840.00,356.48,2025-03-15,,location premium
PRC00175,ITEM0032,LOC0006,810.00,331.25,2025-03-01,2025-03-14,location premium
PRC00176,ITEM0032,LOC0006,840.00,356.48,2025-03-15,,location premium
PRC00177,ITEM0032,LOC0009,810.00,331.25,2025-03-01,2025-03-14,location premium
PRC00178,ITEM0032,LOC0009,840.00,356.48,2025-03-15,,location premium
PRC00179,ITEM0032,LOC0014,810.00,331.25,2025-03-01,2025-03-14,location premium
PRC00180,ITEM0032,LOC0014,840.00,356.48,2025-03-15,,location premium
PRC00181,ITEM0032,LOC0018,810.00,331.25,2025-03-01,2025-03-14,location premium
PRC00182,ITEM0032,LOC0018,840.00,356.48,2025-03-15,,location premium
PRC00183,ITEM0032,LOC0024,810.00,331.25,2025-03-01,2025-03-14,location premium
PRC00184,ITEM0032,LOC0024,840.00,356.48,2025-03-15,,location premium
PRC00185,ITEM0032,LOC0025,810.00,331.25,2025-03-01,2025-03-14,location premium
PRC00186,ITEM0032,LOC0025,840.00,356.48,2025-03-15,,location premium
PRC00187,ITEM0033,,850.00,287.18,2024-07-01,2025-03-14,menu revision
PRC00188,ITEM0033,,900.00,299.82,2025-03-15,2025-08-31,inflation
PRC00189,ITEM0033,,940.00,306.02,2025-09-01,,inflation
PRC00190,ITEM0034,,950.00,422.42,2024-07-01,2025-03-14,menu revision
PRC00191,ITEM0034,,1020.00,445.69,2025-03-15,2025-07-14,inflation
PRC00192,ITEM0034,,1220.00,445.69,2025-07-15,,menu repricing
PRC00193,ITEM0035,,900.00,381.70,2024-07-01,2025-03-14,menu revision
PRC00194,ITEM0035,,960.00,403.00,2025-03-15,2025-08-31,inflation
PRC00195,ITEM0035,,1000.00,418.08,2025-09-01,,inflation
PRC00196,ITEM0036,,800.00,317.74,2024-07-01,2025-03-14,menu revision
PRC00197,ITEM0036,,840.00,338.10,2025-03-15,,inflation
PRC00198,ITEM0037,,2200.00,927.83,2024-07-01,2025-03-14,menu revision
PRC00199,ITEM0037,,2310.00,972.25,2025-03-15,2025-08-31,inflation
PRC00200,ITEM0037,,2380.00,995.51,2025-09-01,,inflation
PRC00201,ITEM0038,,1100.00,465.70,2024-07-01,2025-03-14,menu revision
PRC00202,ITEM0038,,1140.00,497.08,2025-03-15,2025-08-31,inflation
PRC00203,ITEM0038,,1200.00,510.66,2025-09-01,,inflation
PRC00204,ITEM0039,,950.00,420.83,2024-07-01,2025-03-14,menu revision
PRC00205,ITEM0039,,980.00,450.35,2025-03-15,,inflation
PRC00206,ITEM0040,,700.00,247.06,2024-07-01,2025-03-14,menu revision
PRC00207,ITEM0040,,730.00,258.94,2025-03-15,2025-08-31,inflation
PRC00208,ITEM0040,,750.00,267.75,2025-09-01,,inflation
PRC00209,ITEM0041,,1200.00,476.05,2024-07-01,2025-03-14,menu revision
PRC00210,ITEM0041,,1250.00,495.95,2025-03-15,2025-08-31,inflation
PRC00211,ITEM0041,,1310.00,515.58,2025-09-01,,inflation
PRC00212,ITEM0042,,5500.00,2384.10,2024-07-01,2025-03-14,menu revision
PRC00213,ITEM0042,,5770.00,2490.02,2025-03-15,2025-04-30,inflation
PRC00214,ITEM0042,,5310.00,2490.02,2025-05-01,2025-08-31,promotion-adjustment
PRC00215,ITEM0042,,5470.00,2596.95,2025-09-01,,inflation
PRC00216,ITEM0043,,4800.00,1920.49,2024-07-01,2025-03-14,menu revision
PRC00217,ITEM0043,,5110.00,2066.57,2025-03-15,,inflation
PRC00218,ITEM0044,,1350.00,462.06,2024-07-01,2025-03-14,menu revision
PRC00219,ITEM0044,,1440.00,498.16,2025-03-15,2025-08-31,inflation
PRC00220,ITEM0044,,1480.00,512.67,2025-09-01,,inflation
PRC00221,ITEM0044,LOC0003,1460.00,462.06,2025-03-01,2025-03-14,location premium
PRC00222,ITEM0044,LOC0003,1560.00,498.16,2025-03-15,2025-08-31,location premium
PRC00223,ITEM0044,LOC0003,1600.00,512.67,2025-09-01,,location premium
PRC00224,ITEM0044,LOC0006,1460.00,462.06,2025-03-01,2025-03-14,location premium
PRC00225,ITEM0044,LOC0006,1560.00,498.16,2025-03-15,2025-08-31,location premium
PRC00226,ITEM0044,LOC0006,1600.00,512.67,2025-09-01,,location premium
PRC00227,ITEM0044,LOC0009,1460.00,462.06,2025-03-01,2025-03-14,location premium
PRC00228,ITEM0044,LOC0009,1560.00,498.16,2025-03-15,2025-08-31,location premium
PRC00229,ITEM0044,LOC0009,1600.00,512.67,2025-09-01,,location premium
PRC00230,ITEM0044,LOC0014,1460.00,462.06,2025-03-01,2025-03-14,location premium
PRC00231,ITEM0044,LOC0014,1560.00,498.16,2025-03-15,2025-08-31,location premium
PRC00232,ITEM0044,LOC0014,1600.00,512.67,2025-09-01,,location premium
PRC00233,ITEM0044,LOC0018,1460.00,462.06,2025-03-01,2025-03-14,location premium
PRC00234,ITEM0044,LOC0018,1560.00,498.16,2025-03-15,2025-08-31,location premium
PRC00236,ITEM0044,LOC0024,1460.00,462.06,2025-03-01,2025-03-14,location premium
PRC00237,ITEM0044,LOC0024,1560.00,498.16,2025-03-15,2025-08-31,location premium
PRC00238,ITEM0044,LOC0024,1600.00,512.67,2025-09-01,,location premium
PRC00239,ITEM0044,LOC0025,1460.00,462.06,2025-03-01,2025-03-14,location premium
PRC00240,ITEM0044,LOC0025,1560.00,498.16,2025-03-15,2025-08-31,location premium
PRC00241,ITEM0044,LOC0025,1600.00,512.67,2025-09-01,,location premium
PRC00242,ITEM0045,,1450.00,570.49,2024-07-01,2025-01-31,menu revision
PRC00243,ITEM0045,,1530.00,595.53,2025-02-01,,inflation
PRC00244,ITEM0046,,2600.00,1025.48,2024-07-01,2025-01-31,menu revision
PRC00246,ITEM0046,,2820.00,1115.76,2025-09-01,,inflation
PRC00247,ITEM0047,,1550.00,589.90,2024-07-01,2025-01-31,menu revision
PRC00248,ITEM0047,,1650.00,627.28,2025-02-01,,inflation
PRC00249,ITEM0047,LOC0003,1780.00,627.28,2025-03-01,,location premium
PRC00250,ITEM0047,LOC0006,1780.00,627.28,2025-03-01,,location premium
PRC00252,ITEM0047,LOC0014,1780.00,627.28,2025-03-01,,location premium
PRC00253,ITEM0047,LOC0018,1780.00,627.28,2025-03-01,,location premium
PRC00254,ITEM0047,LOC0024,1780.00,627.28,2025-03-01,,location premium
PRC00255,ITEM0047,LOC0025,1780.00,627.28,2025-03-01,,location premium
PRC00256,ITEM0048,,1400.00,543.12,2024-07-01,2025-01-31,menu revision
PRC00257,ITEM0048,,1460.00,572.91,2025-02-01,2025-08-31,inflation
PRC00259,ITEM0049,,2450.00,1027.31,2024-07-01,2025-01-31,menu revision
PRC00260,ITEM0049,,2540.00,1107.09,2025-02-01,2025-08-31,inflation
PRC00261,ITEM0049,,2660.00,1132.57,2025-09-01,,inflation
PRC00262,ITEM0049,LOC0003,2740.00,1107.09,2025-03-01,2025-08-31,location premium
PRC00263,ITEM0049,LOC0003,2870.00,1132.57,2025-09-01,,location premium
PRC00264,ITEM0049,LOC0006,2740.00,1107.09,2025-03-01,2025-08-31,location premium
PRC00265,ITEM0049,LOC0006,2870.00,1132.57,2025-09-01,,location premium
PRC00266,ITEM0049,LOC0009,2740.00,1107.09,2025-03-01,2025-08-31,location premium
PRC00267,ITEM0049,LOC0009,2870.00,1132.57,2025-09-01,,location premium
PRC00268,ITEM0049,LOC0014,2740.00,1107.09,2025-03-01,2025-08-31,location premium
PRC00269,ITEM0049,LOC0014,2870.00,1132.57,2025-09-01,,location premium
PRC00270,ITEM0049,LOC0018,2740.00,1107.09,2025-03-01,2025-08-31,location premium
PRC00271,ITEM0049,LOC0018,2870.00,1132.57,2025-09-01,,location premium
PRC00272,ITEM0049,LOC0024,2740.00,1107.09,2025-03-01,2025-08-31,location premium
PRC00273,ITEM0049,LOC0024,2870.00,1132.57,2025-09-01,,location premium
PRC00274,ITEM0049,LOC0025,2740.00,1107.09,2025-03-01,2025-08-31,location premium
PRC00275,ITEM0049,LOC0025,2870.00,1132.57,2025-09-01,,location premium
PRC00276,ITEM0050,,1650.00,699.44,2024-07-01,2025-01-31,menu revision
PRC00277,ITEM0050,,1720.00,751.10,2025-02-01,2025-08-31,inflation
PRC00278,ITEM0050,,1770.00,776.26,2025-09-01,,inflation
PRC00279,ITEM0050,LOC0003,1860.00,751.10,2025-03-01,2025-08-31,location premium
PRC00280,ITEM0050,LOC0003,1910.00,776.26,2025-09-01,,location premium
PRC00281,ITEM0050,LOC0006,1860.00,751.10,2025-03-01,2025-08-31,location premium
PRC00282,ITEM0050,LOC0006,1910.00,776.26,2025-09-01,,location premium
PRC00283,ITEM0050,LOC0009,1860.00,751.10,2025-03-01,2025-08-31,location premium
PRC00284,ITEM0050,LOC0009,1910.00,776.26,2025-09-01,,location premium
PRC00285,ITEM0050,LOC0014,1860.00,751.10,2025-03-01,2025-08-31,location premium
PRC00286,ITEM0050,LOC0014,1910.00,776.26,2025-09-01,,location premium
PRC00287,ITEM0050,LOC0018,1860.00,751.10,2025-03-01,2025-08-31,location premium
PRC00288,ITEM0050,LOC0018,1910.00,776.26,2025-09-01,,location premium
PRC00289,ITEM0050,LOC0024,1860.00,751.10,2025-03-01,2025-08-31,location premium
PRC00290,ITEM0050,LOC0024,1910.00,776.26,2025-09-01,,location premium
PRC00291,ITEM0050,LOC0025,1860.00,751.10,2025-03-01,2025-08-31,location premium
PRC00292,ITEM0050,LOC0025,1910.00,776.26,2025-09-01,,location premium
PRC00293,ITEM0051,,650.00,249.59,2024-07-01,2025-01-31,menu revision
PRC00294,ITEM0051,,680.00,266.66,2025-02-01,,inflation
PRC00295,ITEM0051,LOC0003,730.00,266.66,2025-03-01,,location premium
PRC00296,ITEM0051,LOC0006,730.00,266.66,2025-03-01,,location premium
PRC00297,ITEM0051,LOC0009,730.00,266.66,2025-03-01,,location premium
PRC00298,ITEM0051,LOC0014,730.00,266.66,2025-03-01,,location premium
PRC00299,ITEM0051,LOC0018,730.00,266.66,2025-03-01,,location premium
PRC00300,ITEM0051,LOC0024,730.00,266.66,2025-03-01,,location premium
PRC00301,ITEM0051,LOC0025,730.00,266.66,2025-03-01,,location premium
PRC00302,ITEM0052,,750.00,298.46,2024-07-01,2025-01-31,menu revision
PRC00303,ITEM0052,,800.00,314.45,2025-02-01,,inflation
PRC00304,ITEM0053,,1250.00,551.33,2024-07-01,2025-01-31,menu revision
PRC00305,ITEM0053,,1300.00,578.78,2025-02-01,2025-08-31,inflation
PRC00306,ITEM0053,,1360.00,605.77,2025-09-01,,inflation
PRC00307,ITEM0053,LOC0003,1400.00,578.78,2025-03-01,2025-08-31,location premium
PRC00308,ITEM0053,LOC0003,1470.00,605.77,2025-09-01,,location premium
PRC00309,ITEM0053,LOC0006,1400.00,578.78,2025-03-01,2025-08-31,location premium
PRC00310,ITEM0053,LOC0006,1470.00,605.77,2025-09-01,,location premium
PRC00311,ITEM0053,LOC0009,1400.00,578.78,2025-03-01,2025-08-31,location premium
PRC00312,ITEM0053,LOC0009,1470.00,605.77,2025-09-01,,location premium
PRC00313,ITEM0053,LOC0014,1400.00,578.78,2025-03-01,2025-08-31,location premium
PRC00314,ITEM0053,LOC0014,1470.00,605.77,2025-09-01,,location premium
PRC00315,ITEM0053,LOC0018,1400.00,578.78,2025-03-01,2025-08-31,location premium
PRC00316,ITEM0053,LOC0018,1470.00,605.77,2025-09-01,,location premium
PRC00318,ITEM0053,LOC0024,1470.00,605.77,2025-09-01,,location premium
PRC00319,ITEM0053,LOC0025,1400.00,578.78,2025-03-01,2025-08-31,location premium
PRC00320,ITEM0053,LOC0025,1470.00,605.77,2025-09-01,,location premium
PRC00321,ITEM0054,,1210.00,385.90,2024-11-01,2025-01-31,seasonal
PRC00322,ITEM0054,,1280.00,409.33,2025-02-01,2025-02-28,inflation
PRC00323,ITEM0054,,1220.00,409.33,2025-03-01,2025-08-31,seasonal
PRC00324,ITEM0054,,1260.00,424.10,2025-09-01,2025-10-31,inflation
PRC00325,ITEM0054,,1330.00,424.10,2025-11-01,,seasonal
PRC00326,ITEM0054,LOC0003,1320.00,409.33,2025-03-01,2025-08-31,location premium
PRC00327,ITEM0054,LOC0003,1360.00,424.10,2025-09-01,2025-10-31,location premium
PRC00328,ITEM0054,LOC0003,1440.00,424.10,2025-11-01,,location premium
PRC00329,ITEM0054,LOC0006,1320.00,409.33,2025-03-01,2025-08-31,location premium
PRC00330,ITEM0054,LOC0006,1360.00,424.10,2025-09-01,2025-10-31,location premium
PRC00331,ITEM0054,LOC0006,1440.00,424.10,2025-11-01,,location premium
PRC00332,ITEM0054,LOC0009,1320.00,409.33,2025-03-01,2025-08-31,location premium
PRC00333,ITEM0054,LOC0009,1360.00,424.10,2025-09-01,2025-10-31,location premium
PRC00334,ITEM0054,LOC0009,1440.00,424.10,2025-11-01,,location premium
PRC00335,ITEM0054,LOC0014,1320.00,409.33,2025-03-01,2025-08-31,location premium
PRC00336,ITEM0054,LOC0014,1360.00,424.10,2025-09-01,2025-10-31,location premium
PRC00337,ITEM0054,LOC0014,1440.00,424.10,2025-11-01,,location premium
PRC00338,ITEM0054,LOC0018,1320.00,409.33,2025-03-01,2025-08-31,location premium
PRC00339,ITEM0054,LOC0018,1360.00,424.10,2025-09-01,2025-10-31,location premium
PRC00340,ITEM0054,LOC0018,1440.00,424.10,2025-11-01,,location premium
PRC00341,ITEM0054,LOC0024,1320.00,409.33,2025-03-01,2025-08-31,location premium
PRC00342,ITEM0054,LOC0024,1360.00,424.10,2025-09-01,2025-10-31,location premium
PRC00343,ITEM0054,LOC0024,1440.00,424.10,2025-11-01,,location premium
PRC00344,ITEM0054,LOC0025,1320.00,409.33,2025-03-01,2025-08-31,location premium
PRC00345,ITEM0054,LOC0025,1360.00,424.10,2025-09-01,2025-10-31,location premium
PRC00346,ITEM0054,LOC0025,1440.00,424.10,2025-11-01,,location premium
PRC00347,ITEM0055,,680.00,217.90,2024-11-01,2025-01-31,seasonal
PRC00348,ITEM0055,,710.00,227.76,2025-02-01,2025-02-28,inflation
