customer_id,signup_date,age_group,gender,home_location_id,preferred_channel,loyalty_member
CUST0000033,2025-11-15,25-34,Male,LOC0022,App,True
CUST0000034,2022-11-17,25-34,Female,LOC0024,Takeaway,False
CUST0000035,2024-03-03,45-54,Undisclosed,LOC0012,Dine-in,False
CUST0000036,2025-01-28,35-44,Undisclosed,LOC0019,Dine-in,False
CUST0000037,2023-07-21,55+,Male,LOC0007,Takeaway,True
CUST0000038,2023-06-14,25-34,Female,LOC0013,Dine-in,True
CUST0000039,2024-07-14,25-34,Male,LOC0013,App,False
CUST0000040,2025-09-09,35-44,Male,LOC0004,Dine-in,False
CUST0000041,2023-02-08,55+,Female,LOC0020,ThirdPartyDelivery,False
CUST0000042,2022-01-05,18-24,Undisclosed,LOC0007,App,False
CUST0000043,2025-10-14,25-34,Female,LOC0015,App,False
CUST0000044,2022-07-07,35-44,Male,,App,False
CUST0000045,2025-04-25,35-44,Female,LOC0017,Takeaway,False
CUST0000046,2024-04-28,35-44,Male,,Dine-in,False
CUST0000047,2022-02-15,25-34,Female,LOC0020,Dine-in,True
CUST0000048,2023-01-22,35-44,Female,LOC0004,Dine-in,False
CUST0000049,2022-06-13,35-44,Male,LOC0012,Dine-in,False
CUST0000050,2024-07-26,25-34,Female,LOC0002,App,False
CUST0000051,2025-06-22,45-54,Female,LOC0005,Website,False
CUST0000052,2022-05-27,35-44,Male,LOC0015,Dine-in,False
CUST0000053,2024-01-31,25-34,Male,LOC0016,Takeaway,False
CUST0000054,2025-08-10,18-24,Male,LOC0003,Dine-in,False
CUST0000055,2022-03-13,25-34,Male,,Dine-in,False
CUST0000056,2025-05-09,25-34,Male,LOC0022,App,False
CUST0000057,2025-11-26,45-54,Male,LOC0018,Dine-in,True
CUST0000058,2022-07-04,25-34,Female,LOC0019,App,True
CUST0000059,2024-10-05,35-44,Undisclosed,LOC0004,Dine-in,False
CUST0000060,2022-01-14,35-44,Female,LOC0016,Takeaway,False
CUST0000061,2023-06-23,35-44,Female,,Takeaway,True
CUST0000062,2024-08-24,25-34,Female,,ThirdPartyDelivery,False
CUST0000063,2022-12-08,35-44,Male,LOC0003,ThirdPartyDelivery,False
CUST0000064,2022-11-13,25-34,Female,LOC0023,ThirdPartyDelivery,True
CUST0000065,2024-03-08,55+,Male,LOC0009,Dine-in,True
CUST0000066,2022-09-22,35-44,Male,LOC0010,Dine-in,False
CUST0000067,2023-07-06,45-54,Undisclosed,LOC0022,Dine-in,True
CUST0000068,2025-08-17,18-24,Male,LOC0023,App,True
CUST0000069,2025-10-04,18-24,Male,LOC0002,ThirdPartyDelivery,False
CUST0000070,2025-12-11,35-44,Female,LOC0001,Takeaway,False
CUST0000071,2025-10-29,35-44,Undisclosed,LOC0019,ThirdPartyDelivery,False
CUST0000072,2023-07-29,35-44,Male,LOC0020,Dine-in,False
CUST0000073,2023-06-23,35-44,Male,LOC0005,Website,False
CUST0000074,2025-10-29,25-34,Male,LOC0023,Dine-in,False
CUST0000075,2025-11-27,35-44,Female,LOC0003,App,False
CUST0000076,2024-07-21,55+,Male,LOC0022,Dine-in,False
CUST0000077,2025-08-24,25-34,Male,,App,False
CUST0000078,2022-08-05,25-34,Female,,Dine-in,False
CUST0000079,2022-08-15,45-54,Female,,Dine-in,False
CUST0000080,2024-03-29,18-24,Female,LOC0018,App,False
CUST0000081,2023-03-08,18-24,Male,LOC0023,ThirdPartyDelivery,True
CUST0000082,2025-03-19,18-24,Female,LOC0015,App,False
CUST0000083,2025-12-15,35-44,Male,LOC0008,Dine-in,False
CUST0000084,2025-07-28,18-24,Female,LOC0005,ThirdPartyDelivery,True
CUST0000085,2025-11-09,45-54,Male,LOC0018,Website,False
CUST0000086,2024-04-03,18-24,Female,LOC0022,App,True
CUST0000087,2022-07-01,35-44,Female,LOC0004,Takeaway,False
CUST0000088,2022-10-28,18-24,Female,LOC0003,App,False
CUST0000089,2024-11-29,45-54,Female,LOC0014,App,False
CUST0000090,2023-05-06,25-34,Male,LOC0024,App,False
CUST0000091,2024-02-02,18-24,Female,LOC0007,Website,False
CUST0000092,2025-03-30,35-44,Female,LOC0018,Dine-in,False
CUST0000093,2025-04-15,25-34,Female,LOC0008,Takeaway,False
CUST0000094,2022-11-19,35-44,Female,LOC0007,Dine-in,False
CUST0000095,2025-02-21,18-24,Female,LOC0022,Takeaway,False
CUST0000096,2025-07-01,35-44,Male,LOC0011,ThirdPartyDelivery,False
CUST0000097,2025-08-18,25-34,Female,LOC0014,Dine-in,False
CUST0000098,2022-09-13,45-54,Male,LOC0017,Dine-in,False
CUST0000099,2023-03-24,25-34,Male,LOC0018,Dine-in,False
CUST0000100,2022-02-05,18-24,Female,LOC0010,Dine-in,False
CUST0000101,2025-10-24,35-44,Male,LOC0022,Takeaway,False
CUST0000102,2024-10-26,25-34,Male,LOC0015,ThirdPartyDelivery,False
CUST0000103,2024-02-09,35-44,Male,LOC0013,App,True
CUST0000104,2024-09-08,35-44,Male,LOC0013,Dine-in,False
CUST0000105,2025-05-12,35-44,Male,LOC0002,Dine-in,False
CUST0000106,2023-12-15,35-44,Female,LOC0006,Dine-in,True
CUST0000107,2023-12-10,45-54,Female,LOC0023,Dine-in,False
CUST0000108,2022-12-23,35-44,Male,LOC0004,Dine-in,False
CUST0000109,2024-02-07,45-54,Undisclosed,LOC0017,ThirdPartyDelivery,False
CUST0000110,2024-10-30,45-54,Male,LOC0007,Dine-in,False
CUST0000111,2022-09-13,25-34,Male,LOC0009,ThirdPartyDelivery,False
CUST0000112,2024-12-01,18-24,Female,LOC0018,Website,False
CUST0000113,2023-07-28,35-44,Male,LOC0014,Dine-in,False
CUST0000114,2024-05-20,45-54,Male,LOC0020,Dine-in,False
CUST0000115,2025-06-15,45-54,Female,,Dine-in,True
CUST0000116,2024-01-18,55+,Undisclosed,LOC0013,Dine-in,True
CUST0000117,2025-11-11,25-34,Female,LOC0007,Dine-in,False
CUST0000118,2022-12-27,55+,Male,LOC0024,Dine-in,False
CUST0000119,2022-01-30,25-34,Undisclosed,LOC0005,Takeaway,False
CUST0000120,2024-08-26,25-34,Female,,ThirdPartyDelivery,False
CUST0000121,2025-06-08,45-54,Male,LOC0019,Website,False
CUST0000122,2023-07-02,35-44,Male,LOC0009,Dine-in,False
CUST0000123,2025-12-16,35-44,Male,LOC0019,Takeaway,False
CUST0000124,2023-11-25,35-44,Female,LOC0008,Dine-in,False
CUST0000125,2022-01-29,25-34,Female,LOC0008,App,False
CUST0000126,2022-07-09,45-54,Undisclosed,LOC0003,Dine-in,True
CUST0000127,2025-03-22,25-34,Male,LOC0007,ThirdPartyDelivery,False
CUST0000128,2025-11-27,45-54,Undisclosed,LOC0007,Takeaway,False
CUST0000129,2022-05-01,55+,Male,LOC0014,Dine-in,False
CUST0000130,2024-12-18,25-34,Male,LOC0003,Takeaway,True
CUST0000131,2025-10-19,18-24,Male,LOC0023,Dine-in,False
CUST0000132,2025-06-13,45-54,Male,LOC0005,Dine-in,False
CUST0000133,2024-10-03,18-24,Female,LOC0013,App,True
CUST0000134,2024-01-22,18-24,Undisclosed,LOC0008,Dine-in,False
CUST0000135,2022-04-07,45-54,Female,LOC0001,Takeaway,False
CUST0000136,2025-09-10,35-44,Male,LOC0025,Dine-in,False
CUST0000137,2025-05-16,55+,Male,,Dine-in,True
CUST0000138,2023-04-07,35-44,Female,LOC0019,App,True
CUST0000139,2023-01-22,55+,Male,LOC0012,Dine-in,False
CUST0000140,2025-11-06,18-24,Female,,Dine-in,False
CUST0000141,2024-05-25,25-34,Male,LOC0014,App,True
CUST0000142,2024-07-04,45-54,Male,LOC0016,App,True
CUST0000143,2025-02-18,18-24,Female,LOC0010,Takeaway,False
CUST0000144,2023-06-17,25-34,Male,LOC0018,ThirdPartyDelivery,False
CUST0000145,2023-10-11,25-34,Male,LOC0020,Takeaway,False
CUST0000146,2025-04-22,45-54,Male,LOC0023,Takeaway,True
CUST0000147,2023-02-05,25-34,Undisclosed,LOC0009,ThirdPartyDelivery,False
CUST0000148,2022-06-12,25-34,Male,LOC0024,Dine-in,True
CUST0000149,2023-05-28,55+,Male,LOC0010,App,False
CUST0000150,2023-02-25,55+,Male,,Dine-in,True
CUST0000151,2025-06-05,18-24,Male,LOC0007,ThirdPartyDelivery,False
CUST0000152,2023-02-01,25-34,Male,LOC0014,App,True
CUST0000153,2025-10-11,45-54,Male,LOC0001,ThirdPartyDelivery,False
CUST0000154,2024-05-12,18-24,Female,LOC0005,Takeaway,False
CUST0000155,2024-05-31,25-34,Female,LOC0018,App,False
CUST0000156,2024-07-17,35-44,Male,LOC0009,Takeaway,False
CUST0000157,2024-12-13,18-24,Female,LOC0007,App,False
CUST0000158,2023-02-20,55+,Male,LOC0025,Dine-in,False
CUST0000159,2024-09-07,55+,Male,LOC0002,Dine-in,False
CUST0000160,2023-03-26,25-34,Male,LOC0005,Dine-in,False
CUST0000161,2025-10-21,35-44,Female,LOC0016,ThirdPartyDelivery,True
CUST0000162,2025-03-19,45-54,Male,LOC0015,Dine-in,True
CUST0000163,2023-12-13,55+,Male,LOC0003,ThirdPartyDelivery,True
CUST0000164,2025-11-18,25-34,Male,LOC0003,App,False
CUST0000165,2025-10-24,25-34,Male,LOC0010,App,False
CUST0000166,2023-11-20,35-44,Male,LOC0015,Dine-in,False
CUST0000167,2024-12-30,45-54,Female,LOC0018,Dine-in,False
CUST0000168,2025-12-09,55+,Female,,Dine-in,False
CUST0000169,2022-10-10,18-24,Female,LOC0025,Dine-in,False
CUST0000170,2025-05-13,18-24,Female,LOC0023,App,True
CUST0000171,2024-06-04,25-34,Male,LOC0009,Dine-in,True
CUST0000172,2022-09-22,35-44,Male,LOC0014,App,True
CUST0000173,2025-03-18,35-44,Female,LOC0019,Dine-in,False
CUST0000174,2022-09-24,18-24,Female,LOC0007,ThirdPartyDelivery,False
CUST0000175,2024-02-15,25-34,Female,LOC0004,ThirdPartyDelivery,False
CUST0000176,2022-09-14,45-54,Male,LOC8680,Dine-in,False
CUST0000177,2022-04-16,18-24,Male,LOC0015,Dine-in,True
CUST0000178,2023-06-05,25-34,Female,LOC0016,Takeaway,False
CUST0000179,2022-01-02,18-24,Undisclosed,LOC0017,ThirdPartyDelivery,True
CUST0000180,2022-11-19,35-44,Male,LOC0023,ThirdPartyDelivery,False
CUST0000181,2024-11-25,25-34,Male,LOC0017,ThirdPartyDelivery,False
CUST0000182,2024-06-14,18-24,Male,LOC0023,App,False
CUST0000183,2025-11-13,55+,Male,LOC0020,Dine-in,True
CUST0000184,2023-05-07,55+,Female,,Dine-in,False
CUST0000185,2024-06-05,25-34,Male,LOC0014,Takeaway,True
CUST0000186,2022-03-02,35-44,Female,LOC0020,Takeaway,False
CUST0000187,2021-06-06,35-44,Male,LOC0008,Takeaway,True
CUST0000188,2027-11-05,25-34,Male,,Dine-in,False
CUST0000189,2022-01-19,45-54,Male,LOC0019,Takeaway,False
CUST0000190,2022-04-19,45-54,Male,LOC0013,Website,False
CUST0000191,2023-04-18,25-34,Female,LOC0018,Website,False
CUST0000192,2022-06-11,25-34,Male,LOC0014,App,True
CUST0000193,2024-12-20,18-24,Female,LOC0018,App,True
CUST0000194,2022-05-29,18-24,Male,LOC0003,ThirdPartyDelivery,False
CUST0000195,2022-02-02,18-24,Male,LOC0004,Dine-in,True
CUST0000196,2024-05-18,55+,Male,LOC0002,ThirdPartyDelivery,False
CUST0000197,2025-08-24,25-34,Male,LOC0016,App,False
CUST0000198,2025-04-19,55+,Male,LOC0017,Dine-in,False
CUST0000199,2022-10-19,18-24,Male,LOC0003,ThirdPartyDelivery,False
CUST0000200,2022-01-02,25-34,Female,LOC0020,Dine-in,True
CUST0000201,2024-02-26,45-54,Female,LOC0014,Dine-in,False
CUST0000202,2023-07-15,25-34,Female,LOC0022,Dine-in,True
CUST0000203,2023-03-11,35-44,Male,LOC0002,ThirdPartyDelivery,True
CUST0000204,2022-08-09,25-34,Male,LOC0016,App,False
CUST0000205,2022-05-29,18-24,Male,LOC0003,Takeaway,True
CUST0000206,2024-02-26,25-34,Male,LOC0002,Dine-in,True
CUST0000207,2022-03-15,55+,Male,LOC0007,Dine-in,True
CUST0000208,2025-03-30,25-34,Female,,Dine-in,False
CUST0000209,2023-08-11,35-44,Male,LOC0020,Dine-in,True
CUST0000210,2022-07-06,35-44,Male,LOC0015,Takeaway,False
CUST0000211,2024-08-27,55+,Male,LOC0012,Takeaway,True
CUST0000212,2022-02-12,35-44,Undisclosed,LOC0006,Takeaway,True
CUST0000213,2025-01-19,25-34,Undisclosed,LOC0014,App,False
CUST0000214,2024-02-20,35-44,Male,LOC0016,Dine-in,True
CUST0000215,2024-01-22,25-34,Female,LOC0002,ThirdPartyDelivery,True
CUST0000216,2025-05-19,35-44,Undisclosed,LOC0024,Dine-in,False
CUST0000217,2025-12-14,18-24,Male,LOC0010,App,False
CUST0000218,2024-06-26,45-54,Male,LOC0016,Dine-in,False
CUST0000219,2023-05-25,45-54,Female,LOC0023,ThirdPartyDelivery,True
CUST0000220,2023-12-13,25-34,Male,LOC0016,Dine-in,False
CUST0000221,2023-05-21,25-34,Male,LOC0010,Dine-in,False
CUST0000222,2022-07-29,25-34,Female,LOC0015,ThirdPartyDelivery,True
CUST0000223,2025-06-24,25-34,Female,LOC3166,App,True
CUST0000224,2024-07-04,18-24,Female,LOC0008,ThirdPartyDelivery,False
CUST0000225,2023-07-13,25-34,Male,,Website,False
CUST0000226,2025-10-29,18-24,Male,LOC0019,Dine-in,False
CUST0000227,2022-03-15,25-34,Male,LOC0022,App,False
CUST0000228,2022-04-02,18-24,Female,LOC0001,Dine-in,False
CUST0000229,2024-06-12,18-24,Female,LOC0007,Dine-in,False
CUST0000230,2025-01-03,55+,Male,,Dine-in,False
CUST0000231,2023-07-06,35-44,Female,LOC0023,Website,False
CUST0000232,2023-10-02,18-24,Female,LOC0016,App,True
CUST0000233,2023-07-23,55+,Female,,Website,False
CUST0000234,2025-06-16,35-44,Female,LOC0015,App,False
CUST0000235,2024-04-21,25-34,Male,LOC0025,Dine-in,False
CUST0000236,2022-10-08,35-44,Male,LOC0013,Dine-in,False
CUST0000237,2025-08-01,35-44,Female,,Dine-in,True
CUST0000238,2025-12-07,45-54,Male,LOC0023,App,True
CUST0000239,2023-09-27,25-34,Female,LOC0008,Website,True
CUST0000240,2023-09-06,35-44,Male,LOC0018,App,True
CUST0000241,2025-10-05,55+,Male,LOC0023,Dine-in,False
CUST0000242,2024-08-11,35-44,Female,,Dine-in,False
CUST0000243,2022-07-26,18-24,Male,LOC0011,Dine-in,False
CUST0000244,2025-06-14,18-24,Male,,ThirdPartyDelivery,False
CUST0000245,2025-09-09,35-44,Male,LOC0005,Dine-in,False
CUST0000246,2024-04-15,18-24,Female,LOC0020,App,False
CUST0000247,2025-02-09,18-24,Male,LOC0004,App,True
CUST0000248,2025-03-22,35-44,Male,LOC0018,Dine-in,True
CUST0000249,2024-03-20,25-34,Female,LOC0003,App,False
CUST0000250,2022-01-11,55+,Undisclosed,LOC0012,Website,False
CUST0000251,2022-08-21,25-34,Male,LOC0005,ThirdPartyDelivery,False
CUST0000252,2023-05-03,18-24,Female,LOC0020,Dine-in,True
CUST0000253,2023-01-28,25-34,Female,LOC0019,App,True
CUST0000254,2022-02-09,25-34,Male,LOC0013,Dine-in,False
CUST0000255,2024-04-27,25-34,Female,LOC0007,Dine-in,True
CUST0000256,2022-03-31,55+,Female,LOC0016,App,True
CUST0000257,2024-04-13,18-24,Female,LOC0013,Website,True
CUST0000258,2025-02-03,18-24,Undisclosed,LOC6168,Dine-in,False
CUST0000259,2023-10-21,45-54,Female,LOC0013,ThirdPartyDelivery,True
CUST0000260,2024-09-01,25-34,Male,LOC0002,Takeaway,False
CUST0000261,2023-02-03,25-34,Male,,App,False
CUST0000262,2025-07-13,55+,Male,LOC0016,App,False
CUST0000263,2025-05-17,18-24,Female,LOC0019,App,True
CUST0000264,2022-02-04,18-24,Male,LOC0016,App,True
CUST0000265,2022-11-19,45-54,Male,LOC0008,Takeaway,False
CUST0000266,2025-08-01,25-34,Male,LOC0023,Takeaway,True
CUST0000267,2024-07-10,18-24,Female,LOC0011,App,False
CUST0000268,2024-01-14,18-24,Female,LOC0011,ThirdPartyDelivery,False
CUST0000269,2025-04-20,35-44,Female,LOC0001,Dine-in,False
CUST0000270,2022-05-26,35-44,Male,LOC0016,Dine-in,False
CUST0000271,2022-09-11,35-44,Male,LOC0012,Dine-in,False
CUST0000272,2025-07-26,35-44,Male,LOC0007,Dine-in,False
CUST0000273,2024-06-12,25-34,Female,LOC0010,Dine-in,False
CUST0000274,2025-07-16,35-44,Female,LOC0012,App,False
CUST0000275,2025-10-18,35-44,Male,LOC0014,Dine-in,False
CUST0000276,2023-05-02,55+,Female,LOC0023,ThirdPartyDelivery,False
CUST0000277,2023-08-29,18-24,Male,LOC0007,Dine-in,False
CUST0000278,2022-08-27,25-34,Male,LOC0015,Website,False
CUST0000279,2024-01-26,25-34,Female,,Dine-in,False
CUST0000280,2025-07-24,18-24,Male,LOC0002,Dine-in,True
CUST0000281,2022-03-17,25-34,Female,,Takeaway,False
CUST0000282,2025-10-07,25-34,Male,,App,False
CUST0000283,2025-12-15,55+,Female,,Dine-in,False
CUST0000284,2023-07-18,35-44,Male,LOC0014,Dine-in,True
CUST0000285,2023-04-24,35-44,Female,LOC0020,Dine-in,False
CUST0000286,2022-05-17,25-34,Male,LOC0014,App,False
CUST0000287,2024-05-19,25-34,Female,LOC0019,App,False
CUST0000288,2024-09-18,55+,Male,LOC0001,Takeaway,False
CUST0000289,2024-09-19,35-44,Female,LOC0003,Dine-in,False
CUST0000290,2024-10-06,18-24,Female,LOC0020,ThirdPartyDelivery,False
CUST0000291,2025-11-02,25-34,Female,LOC0018,Dine-in,True
CUST0000292,2025-04-13,45-54,Female,LOC0003,ThirdPartyDelivery,True
CUST0000293,2025-04-10,18-24,Male,LOC0014,Website,False
CUST0000294,2025-04-10,55+,Male,LOC0015,Dine-in,False
CUST0000295,2023-02-01,35-44,Male,LOC0014,Dine-in,False
CUST0000296,2022-07-06,35-44,Male,LOC0005,Takeaway,False
CUST0000297,2022-02-16,18-24,Female,LOC0001,ThirdPartyDelivery,False
CUST0000298,2023-10-05,55+,Male,LOC0007,App,False
CUST0000299,2022-03-29,18-24,Female,LOC0012,ThirdPartyDelivery,False
CUST0000300,2025-12-14,18-24,Male,LOC0004,Dine-in,False
CUST0000301,2025-02-26,35-44,Male,LOC0007,Dine-in,False
CUST0000302,2025-08-15,25-34,Female,LOC0021,ThirdPartyDelivery,True
CUST0000303,2023-06-29,45-54,Male,LOC0015,ThirdPartyDelivery,False
CUST0000304,2025-05-19,55+,Male,LOC0023,Dine-in,False
CUST0000305,2025-09-15,35-44,Male,LOC0023,Dine-in,True
CUST0000306,2022-07-18,55+,Male,,Takeaway,False
CUST0000307,2022-10-04,55+,Female,LOC0014,App,False
CUST0000308,2022-09-05,55+,Female,LOC0020,Dine-in,False
CUST0000309,2025-08-12,18-24,Male,LOC0012,App,False
CUST0000310,2022-04-10,35-44,Male,LOC0013,Takeaway,True
CUST0000311,2025-08-26,25-34,Male,LOC0013,ThirdPartyDelivery,False
CUST0000312,2022-12-12,18-24,Female,LOC0013,App,False
CUST0000313,2022-04-25,18-24,Female,LOC0007,Dine-in,False
CUST0000314,2024-08-24,18-24,Female,LOC0021,ThirdPartyDelivery,False
CUST0000315,2025-05-13,25-34,Undisclosed,LOC0016,Takeaway,False
CUST0000316,2021-05-06,18-24,Male,LOC0016,Dine-in,False
CUST0000317,2024-03-18,35-44,Male,LOC0017,Takeaway,False
CUST0000318,2025-04-04,25-34,Female,LOC0020,Takeaway,True
CUST0000319,2023-01-20,18-24,Female,LOC0018,App,False
CUST0000320,2025-12-04,55+,Male,LOC0012,ThirdPartyDelivery,False
CUST0000321,2021-01-08,55+,Undisclosed,LOC0017,Takeaway,True
CUST0000322,2022-12-15,45-54,Female,LOC0023,Dine-in,False
CUST0000323,2022-06-30,45-54,Female,LOC0003,Dine-in,False
CUST0000324,2023-01-30,18-24,Female,LOC0018,App,True
CUST0000325,2023-03-03,25-34,Undisclosed,LOC0007,App,False
CUST0000326,2025-08-30,25-34,Male,LOC0007,Website,False
CUST0000327,2023-11-03,25-34,Male,LOC0012,Website,True
CUST0000328,2024-06-20,45-54,Female,LOC0011,Website,False
CUST0000329,2025-04-25,35-44,Male,LOC0001,Takeaway,False
CUST0000330,2022-02-14,18-24,Female,LOC0012,Takeaway,True
CUST0000331,2022-10-30,45-54,Male,LOC0011,Website,True
CUST0000332,2023-09-24,25-34,Male,LOC0003,App,False
CUST0000333,2022-06-27,25-34,Male,LOC0009,Dine-in,False
CUST0000334,2025-10-01,25-34,Female,LOC0003,ThirdPartyDelivery,False
CUST0000335,2025-02-02,55+,Male,LOC0003,Website,True
CUST0000336,2025-04-22,35-44,Female,LOC0004,Takeaway,False
CUST0000337,2023-12-01,55+,Male,LOC0011,Dine-in,False
CUST0000338,2022-08-10,55+,Female,LOC0017,Dine-in,False
CUST0000339,2024-05-11,25-34,Female,,Takeaway,False
CUST0000340,2022-07-26,25-34,Female,LOC0009,Dine-in,True
CUST0000341,2024-02-08,25-34,Female,LOC0020,ThirdPartyDelivery,False
CUST0000342,2024-04-16,18-24,Male,,Takeaway,False
CUST0000343,2025-10-18,55+,Male,LOC0003,Dine-in,False
CUST0000344,2025-10-19,45-54,Male,LOC0005,Dine-in,False
CUST0000345,2023-03-18,18-24,Male,LOC0023,ThirdPartyDelivery,False
CUST0000346,2025-03-18,25-34,Male,LOC0023,App,False
CUST0000347,2025-04-14,18-24,Female,LOC0009,App,False
CUST0000348,2024-11-27,55+,Female,,Website,True
CUST0000349,2022-06-19,18-24,Female,LOC0005,ThirdPartyDelivery,False
CUST0000350,2023-03-16,45-54,Male,LOC0007,Dine-in,False
CUST0000351,2025-08-13,35-44,Female,LOC0015,Takeaway,True
CUST0000352,2023-09-01,35-44,Male,LOC0011,Dine-in,False
CUST0000353,2023-05-16,25-34,Male,LOC0004,Dine-in,True
CUST0000354,2024-12-02,35-44,Female,LOC0005,Dine-in,False
CUST0000355,2023-06-18,35-44,Male,LOC0007,Dine-in,False
CUST0000356,2022-07-02,35-44,Male,LOC0007,Dine-in,False
CUST0000357,2023-02-22,25-34,Male,,Website,False
CUST0000358,2022-03-01,18-24,Male,,ThirdPartyDelivery,False
CUST0000359,2022-11-15,35-44,Female,LOC0003,Takeaway,True
CUST0000360,2023-05-30,55+,Female,LOC0012,ThirdPartyDelivery,True
CUST0000361,2025-08-10,45-54,Male,LOC0014,Dine-in,True
CUST0000362,2023-06-19,18-24,Female,LOC0020,ThirdPartyDelivery,False
CUST0000363,2022-08-30,25-34,Male,LOC0016,App,True
CUST0000364,2025-09-08,45-54,Male,LOC0011,Takeaway,True
CUST0000365,2025-03-22,45-54,Female,LOC0022,Website,False
CUST0000366,2025-06-12,25-34,Female,,App,False
CUST0000367,2025-05-26,18-24,Male,LOC0005,ThirdPartyDelivery,True
CUST0000368,2023-05-02,35-44,Male,LOC0001,Dine-in,False
CUST0000369,2023-06-11,35-44,Female,LOC0001,Dine-in,False
CUST0000370,2023-06-30,45-54,Undisclosed,,Takeaway,False
CUST0000371,2025-11-08,35-44,Male,,ThirdPartyDelivery,False
CUST0000372,2023-05-04,35-44,Male,,ThirdPartyDelivery,False
CUST0000373,2022-11-11,18-24,Male,LOC0020,ThirdPartyDelivery,True
CUST0000374,2024-09-12,18-24,Male,LOC0015,App,False
CUST0000375,2025-10-13,55+,Female,LOC0009,ThirdPartyDelivery,False
CUST0000376,2023-11-09,25-34,Female,LOC0016,Takeaway,False
CUST0000377,2025-05-22,55+,Undisclosed,LOC0002,ThirdPartyDelivery,True
CUST0000378,2024-05-22,18-24,Undisclosed,,Takeaway,False
CUST0000379,2024-01-17,18-24,Female,LOC0022,ThirdPartyDelivery,False
CUST0000380,2025-06-01,55+,Male,LOC0009,Takeaway,False
CUST0000381,2025-05-08,18-24,Undisclosed,LOC0023,Dine-in,False
CUST0000382,2024-08-18,25-34,Male,LOC0004,ThirdPartyDelivery,False
CUST0000383,2024-08-21,45-54,Undisclosed,LOC0024,Dine-in,False
CUST0000384,2025-07-21,25-34,Female,LOC0016,App,False
CUST0000385,2024-04-02,25-34,Male,LOC0013,App,True
CUST0000386,2024-11-14,45-54,Male,LOC0015,Website,False
CUST0000387,2022-10-04,25-34,Male,,Dine-in,False
CUST0000388,2025-01-25,25-34,Undisclosed,LOC0008,Website,False
CUST0000389,2025-08-01,25-34,Male,LOC0019,ThirdPartyDelivery,True
CUST0000390,2024-02-04,55+,Male,LOC0001,Dine-in,False
CUST0000391,2025-07-11,25-34,Female,LOC0002,Takeaway,True
CUST0000392,2024-01-06,18-24,Male,LOC0015,App,False
CUST0000393,2022-05-01,45-54,Male,LOC0024,ThirdPartyDelivery,False
CUST0000394,2025-11-19,45-54,Female,LOC0002,ThirdPartyDelivery,False
CUST0000395,2025-07-04,35-44,Undisclosed,LOC0009,Dine-in,False
CUST0000396,2022-11-07,35-44,Male,LOC0017,Dine-in,False
CUST0000397,2025-01-21,55+,Female,LOC0264,Dine-in,False
CUST0000398,2024-05-12,18-24,Female,LOC0023,Takeaway,False
CUST0000399,2025-02-23,25-34,Male,LOC0002,Dine-in,True
CUST0000400,2023-01-31,35-44,Female,LOC0002,App,True
CUST0000401,2022-04-27,25-34,Female,LOC0008,App,False
CUST0000402,2023-11-12,35-44,Male,LOC0025,Dine-in,True
